dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.293161,5.615648,0.000037,0.003743,0.187154,9.357687,0.000224
0.020000,0.293178,5.615648,0.000055,0.000871,-0.143602,-16.537784,0.000208
0.020000,0.293218,5.615648,0.000094,0.001962,0.054530,9.906574,0.000172
0.020000,0.293287,5.615648,0.000164,0.003493,0.076593,1.103149,0.000109
0.020000,0.293397,5.615648,0.000273,0.005474,0.099041,1.122424,0.000009
0.020000,0.294814,5.615648,0.001691,0.070874,3.269991,158.547500,6.283051
0.020000,0.296865,5.615647,0.003742,0.102546,1.583607,-84.319222,6.282854
0.020000,0.299546,5.615646,0.006423,0.134051,1.575231,-0.418787,6.282594
0.020000,0.302943,5.615644,0.009820,0.169840,1.789466,10.711745,6.282262
0.020000,0.307143,5.615639,0.014019,0.209966,2.006294,10.841391,6.281848
0.020000,0.312232,5.615631,0.019109,0.254477,2.225530,10.961835,6.281338
0.020000,0.318301,5.615618,0.025178,0.303450,2.448666,11.156768,6.280721
0.020000,0.325440,5.615598,0.032317,0.356966,2.675824,11.357943,6.279981
0.020000,0.333743,5.615567,0.040619,0.415130,2.908194,11.618458,6.279103
0.020000,0.343261,5.615524,0.050138,0.475932,3.040092,6.594897,6.278072
0.020000,0.354008,5.615462,0.060885,0.537340,3.070412,1.516013,6.276877
0.020000,0.365997,5.615378,0.072874,0.599444,3.105172,1.738010,6.275506
0.020000,0.379243,5.615266,0.086120,0.662323,3.143954,1.939115,6.273944
0.020000,0.393763,5.615119,0.100642,0.726064,3.187039,2.154257,6.272177
0.020000,0.409577,5.614930,0.116457,0.790764,3.235033,2.399691,6.270185
0.020000,0.426706,5.614688,0.133587,0.856516,3.287596,2.628119,6.267951
0.020000,0.445172,5.614384,0.152056,0.923422,3.345262,2.883303,6.265453
0.020000,0.465000,5.614005,0.171887,0.991592,3.408512,3.162532,6.262669
0.020000,0.486218,5.613537,0.193110,1.061133,3.477071,3.427921,6.259573
0.020000,0.508854,5.612963,0.215753,1.132172,3.551929,3.742919,6.256138
0.020000,0.532940,5.612266,0.239850,1.204840,3.633413,4.074189,6.252335
0.020000,0.558512,5.611424,0.265436,1.279267,3.721368,4.397751,6.248131
0.020000,0.585605,5.610411,0.292548,1.355612,3.817244,4.793803,6.243492
0.020000,0.614260,5.609200,0.321229,1.434039,3.921339,5.204736,6.238380
0.020000,0.644521,5.607759,0.351523,1.514721,4.034089,5.637488,6.232753
0.020000,0.676432,5.606050,0.383480,1.597850,4.156482,6.119652,6.226568
0.020000,0.710044,5.604031,0.417153,1.683637,4.289319,6.641849,6.219776
0.020000,0.745410,5.601654,0.452599,1.772312,4.433759,7.222019,6.212325
0.020000,0.782588,5.598863,0.489882,1.864128,4.590781,7.851082,6.204156
0.020000,0.821639,5.595596,0.529068,1.959337,4.760456,8.483791,6.195210
0.020000,0.862627,5.591780,0.570233,2.058253,4.945835,9.268936,6.185418
0.020000,0.905621,5.587332,0.613457,2.161172,5.145933,10.004914,6.174707
0.020000,0.950694,5.582158,0.658826,2.268452,5.364003,10.903464,6.162998
0.020000,0.997922,5.576150,0.706435,2.380439,5.599346,11.767176,6.150206
0.020000,1.047384,5.569184,0.756385,2.497501,5.853083,12.686842,6.136239
0.020000,1.099160,5.561119,0.808785,2.620034,6.126684,13.680045,6.120996
0.020000,1.153332,5.551795,0.863754,2.748420,6.419285,14.630033,6.104371
0.020000,1.209978,5.541029,0.921414,2.883028,6.730416,15.556595,6.086252
0.020000,1.269174,5.528614,0.981898,3.024190,7.058099,16.384107,6.066519
0.020000,1.330985,5.514314,1.045342,3.172173,7.399106,17.050370,6.045048
0.020000,1.395464,5.497868,1.111884,3.327131,7.747932,17.441305,6.021712
0.020000,1.462640,5.478982,1.181665,3.489062,8.096531,17.429920,5.996384
0.020000,1.532518,5.457332,1.254820,3.657750,8.434416,16.894293,5.968941
0.020000,1.605060,5.432565,1.331473,3.832643,8.744646,15.511464,5.939271
0.020000,1.680176,5.404306,1.411730,4.012831,9.009376,13.236517,5.907277
0.020000,1.757714,5.372158,1.495668,4.196890,9.202967,9.679532,5.872889
0.020000,1.837441,5.335726,1.583325,4.382845,9.297748,4.739058,5.836071
0.020000,1.919034,5.294621,1.674686,4.568077,9.261612,-1.806814,5.796838
0.020000,2.002069,5.248494,1.769673,4.749345,9.063402,-9.910502,5.755261
0.020000,2.086018,5.197051,1.868130,4.922839,8.674698,-19.435162,5.711481
0.020000,2.170256,5.140093,1.969817,5.084374,8.076721,-29.898840,5.665716
0.020000,2.254076,5.077532,2.074410,5.229646,7.263635,-40.654326,5.618262
0.020000,2.336719,5.009421,2.181504,5.354666,6.250993,-50.632103,5.569486
0.020000,2.417409,4.935958,2.290626,5.456098,5.071611,-58.969101,5.519819
0.020000,2.495401,4.857489,2.401261,5.531770,3.783600,-64.400529,5.469728
0.020000,2.570024,4.774485,2.512878,5.580843,2.453657,-66.497140,5.419698
0.020000,2.640715,4.687510,2.624958,5.603987,1.157192,-64.823280,5.370200
0.020000,2.707051,4.597187,2.737023,5.603260,-0.036371,-59.678149,5.321669
0.020000,2.768750,4.504152,2.848658,5.581750,-1.075477,-51.955288,5.274481
0.020000,2.825676,4.409013,2.959527,5.543453,-1.914857,-41.969030,5.228944
0.020000,2.877789,4.312388,3.069309,5.489128,-2.716258,-40.070022,5.185314
0.020000,2.925138,4.214873,3.177711,5.420090,-3.451923,-36.783261,5.143790
0.020000,2.967873,4.116980,3.284527,5.340770,-3.965961,-25.701899,5.104493
0.020000,3.006218,4.019124,3.389627,5.255012,-4.287932,-16.098526,5.067470
0.020000,3.033045,3.944860,3.468588,3.948049,-65.348137,-3053.010293,5.051996
0.020000,3.059136,3.869445,3.548389,3.990044,2.099732,3372.393480,5.039202
0.020000,3.083868,3.795112,3.626728,3.916975,-3.653426,-287.657906,5.028247
0.020000,3.107389,3.721975,3.703554,3.841273,-3.785097,-6.583564,5.019112
0.020000,3.129839,3.650144,3.778811,3.762879,-3.919700,-6.730156,5.011776
0.020000,3.151350,3.579724,3.852444,3.681644,-4.061758,-7.102890,5.006223
0.020000,3.172048,3.510818,3.924391,3.597348,-4.214786,-7.651390,5.002441
0.020000,3.192046,3.443533,3.994585,3.509720,-4.381387,-8.330074,5.000423
0.020000,3.211450,3.377975,4.062955,3.418453,-4.563367,-9.098963,5.000166
0.020000,3.230343,3.314286,4.129387,3.321599,-4.842703,-13.966832,5.001674
0.020000,3.248800,3.252608,4.193767,3.219015,-5.129199,-14.324777,5.004951
0.020000,3.266892,3.193054,4.256009,3.112091,-5.346185,-10.849292,5.010010
0.020000,3.284676,3.135739,4.316019,3.000530,-5.578053,-11.593401,5.016865
0.020000,3.302197,3.080783,4.373701,2.884076,-5.822715,-12.233113,5.025538
0.020000,3.319484,3.028306,4.428951,2.762532,-6.077186,-12.723571,5.036053
0.020000,3.336548,2.978429,4.481667,2.635784,-6.337440,-13.012654,5.048438
0.020000,3.353388,2.931269,4.531744,2.503823,-6.598006,-13.028346,5.062718
0.020000,3.369983,2.886938,4.579079,2.366769,-6.852719,-12.735647,5.078918
0.020000,3.386295,2.845537,4.623577,2.224903,-7.093299,-12.028965,5.097058
0.020000,3.402272,2.807155,4.665151,2.078717,-7.309305,-10.800336,5.117148
0.020000,3.417843,2.771859,4.703730,1.928908,-7.490456,-9.057543,5.139186
0.020000,3.432926,2.739691,4.739259,1.776453,-7.622723,-6.613326,5.163152
0.020000,3.447430,2.710661,4.771710,1.622577,-7.693819,-3.554794,5.189004
0.020000,3.461264,2.684728,4.801102,1.469592,-7.649268,2.227512,5.216688
0.020000,3.474348,2.661803,4.827498,1.319793,-7.489943,7.966259,5.246142
0.020000,3.486604,2.641761,4.850990,1.174634,-7.257946,11.599848,5.277284
0.020000,3.497969,2.624444,4.871704,1.035667,-6.948344,15.480091,5.309999
0.020000,3.508394,2.609659,4.889795,0.904545,-6.556102,19.612107,5.344145
0.020000,3.517858,2.597183,4.905454,0.782957,-6.079412,23.834508,5.379549
