dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.293407,4.515648,0.000037,0.003743,0.187154,9.357687,0.000224
0.020000,0.293407,4.515648,0.000187,0.011229,0.374307,9.357687,0.000208
0.020000,0.293407,4.515648,0.000524,0.022458,0.561461,9.357687,0.000172
0.020000,0.293407,4.515648,0.001123,0.037431,0.748615,9.357687,0.000109
0.020000,0.293407,4.515648,0.002059,0.056146,0.935769,9.357687,0.000009
0.020000,0.294666,4.515648,0.003406,0.078605,1.122922,9.357687,6.283051
0.020000,0.296501,4.515648,0.005240,0.104806,1.310076,9.357687,6.282854
0.020000,0.298896,4.515646,0.007636,0.134751,1.497230,9.357687,6.282594
0.020000,0.301928,4.515644,0.010668,0.168438,1.684384,9.357687,6.282262
0.020000,0.305671,4.515640,0.014411,0.205869,1.871537,9.357687,6.281848
0.020000,0.310200,4.515633,0.018940,0.247043,2.058691,9.357687,6.281338
0.020000,0.315590,4.515621,0.024330,0.291960,2.245845,9.357687,6.280721
0.020000,0.321916,4.515603,0.030656,0.340620,2.432999,9.357687,6.279981
0.020000,0.329252,4.515576,0.037992,0.393023,2.620152,9.357687,6.279103
0.020000,0.337637,4.515538,0.046377,0.445426,2.620152,0.000000,6.278072
0.020000,0.347069,4.515484,0.055809,0.497829,2.620152,-0.000000,6.276877
0.020000,0.357550,4.515411,0.066290,0.550232,2.620152,0.000000,6.275506
0.020000,0.369078,4.515313,0.077819,0.602635,2.620152,0.000000,6.273944
0.020000,0.381654,4.515186,0.090395,0.655038,2.620152,-0.000000,6.272177
0.020000,0.395278,4.515023,0.104020,0.707441,2.620152,0.000000,6.270185
0.020000,0.409949,4.514816,0.118693,0.759844,2.620152,0.000000,6.267951
0.020000,0.425668,4.514557,0.134414,0.812247,2.620152,-0.000000,6.265453
0.020000,0.442434,4.514236,0.151183,0.864650,2.620152,0.000000,6.262669
0.020000,0.460246,4.513843,0.169000,0.917053,2.620152,0.000000,6.259573
0.020000,0.479105,4.513366,0.187865,0.969456,2.620152,-0.000000,6.256138
0.020000,0.499010,4.512790,0.207778,1.021859,2.620152,0.000000,6.252335
0.020000,0.519960,4.512099,0.228739,1.074262,2.620152,0.000000,6.248131
0.020000,0.541954,4.511277,0.250749,1.126665,2.620152,0.000000,6.243492
0.020000,0.564991,4.510304,0.273806,1.179069,2.620152,0.000000,6.238380
0.020000,0.589069,4.509157,0.297911,1.231472,2.620152,0.000000,6.232753
0.020000,0.614186,4.507812,0.323065,1.283875,2.620152,-0.000000,6.226568
0.020000,0.640341,4.506242,0.349266,1.336278,2.620152,0.000000,6.219776
0.020000,0.667529,4.504414,0.376516,1.388681,2.620152,0.000000,6.212325
0.020000,0.695747,4.502297,0.404814,1.441084,2.620152,0.000000,6.204156
0.020000,0.724991,4.499850,0.434159,1.493487,2.620152,0.000000,6.195210
0.020000,0.755253,4.497033,0.464553,1.545890,2.620152,0.000000,6.185418
0.020000,0.786528,4.493798,0.495995,1.598293,2.620152,-0.000000,6.174707
0.020000,0.818806,4.490093,0.528485,1.650696,2.620152,0.000000,6.162998
0.020000,0.852076,4.485861,0.562023,1.703099,2.620152,0.000000,6.150206
0.020000,0.886323,4.481039,0.596609,1.755502,2.620152,-0.000000,6.136239
0.020000,0.921533,4.475555,0.632243,1.807905,2.620152,0.000000,6.120996
0.020000,0.957683,4.469334,0.668925,1.860308,2.620152,-0.000000,6.104371
0.020000,0.994749,4.462291,0.706655,1.912711,2.620152,0.000000,6.086252
0.020000,1.032702,4.454332,0.745433,1.965114,2.620152,-0.000000,6.066519
0.020000,1.071503,4.445358,0.785260,2.017517,2.620152,0.000000,6.045048
0.020000,1.111109,4.435257,0.826134,2.069920,2.620152,-0.000000,6.021712
0.020000,1.151466,4.423913,0.868056,2.122323,2.620152,0.000000,5.996384
0.020000,1.192511,4.411199,0.911027,2.174726,2.620152,-0.000000,5.968941
0.020000,1.234168,4.396979,0.955045,2.227129,2.620152,0.000000,5.939271
0.020000,1.276347,4.381113,1.000112,2.279532,2.620152,-0.000000,5.907277
0.020000,1.318945,4.363456,1.046227,2.331936,2.620152,0.000000,5.872889
0.020000,1.361840,4.343857,1.093390,2.384339,2.620152,-0.000000,5.836071
0.020000,1.404894,4.322171,1.141600,2.436742,2.620152,0.000000,5.796838
0.020000,1.447953,4.298254,1.190859,2.489145,2.620152,-0.000000,5.755261
0.020000,1.490845,4.271973,1.241166,2.541548,2.620152,0.000000,5.711481
0.020000,1.533385,4.243212,1.292521,2.593951,2.620152,-0.000000,5.665716
0.020000,1.575377,4.211872,1.344924,2.646354,2.620152,0.000000,5.618262
0.020000,1.616621,4.177880,1.398375,2.698757,2.620152,-0.000000,5.569486
0.020000,1.656915,4.141194,1.452874,2.751160,2.620152,0.000000,5.519819
0.020000,1.696068,4.101800,1.508422,2.803563,2.620152,-0.000000,5.469728
0.020000,1.733899,4.059715,1.565017,2.855966,2.620152,0.000000,5.419698
0.020000,1.770250,4.014985,1.622660,2.908369,2.620152,-0.000000,5.370200
0.020000,1.804984,3.967683,1.681352,2.960772,2.620152,0.000000,5.321669
0.020000,1.837993,3.917898,1.741091,3.013175,2.620152,-0.000000,5.274481
0.020000,1.869197,3.865737,1.801879,3.065578,2.620152,0.000000,5.228944
0.020000,1.898525,3.811347,1.863677,3.114238,2.432999,-9.357687,5.185314
0.020000,1.925919,3.754915,1.926411,3.159155,2.245845,-9.357687,5.143790
0.020000,1.951355,3.696633,1.990006,3.200329,2.058691,-9.357687,5.104493
0.020000,1.974837,3.636691,2.054387,3.237760,1.871537,-9.357687,5.067470
0.020000,1.995870,3.578432,2.119479,3.271447,1.684384,-9.357687,5.051996
0.020000,2.017358,3.516316,2.185207,3.301392,1.497230,-9.357687,5.039202
0.020000,2.038285,3.453416,2.251497,3.327593,1.310076,-9.357687,5.028247
0.020000,2.058728,3.389846,2.318273,3.350052,1.122922,-9.357687,5.019112
0.020000,2.078769,3.325716,2.385461,3.368767,0.935769,-9.357687,5.011776
0.020000,2.098496,3.261137,2.452987,3.383739,0.748615,-9.357687,5.006223
0.020000,2.117996,3.196216,2.520774,3.394969,0.561461,-9.357687,5.002441
0.020000,2.137362,3.131058,2.588748,3.402455,0.374307,-9.357687,5.000423
0.020000,2.156685,3.065771,2.656834,3.406198,0.187154,-9.357687,5.000166
0.020000,2.176050,3.000493,2.724925,3.402832,-0.168296,-17.772481,5.001674
0.020000,2.195541,2.935361,2.792910,3.395723,-0.355450,-9.357687,5.004951
0.020000,2.215251,2.870483,2.860716,3.384871,-0.542603,-9.357687,5.010010
0.020000,2.235272,2.805967,2.928268,3.370276,-0.729757,-9.357687,5.016865
0.020000,2.255692,2.741921,2.995490,3.351938,-0.916911,-9.357687,5.025538
0.020000,2.276600,2.678459,3.062308,3.329856,-1.104065,-9.357687,5.036053
0.020000,2.298077,2.615693,3.128647,3.304032,-1.291218,-9.357687,5.048438
0.020000,2.320202,2.553741,3.194432,3.274464,-1.478372,-9.357687,5.062718
0.020000,2.343048,2.492723,3.259588,3.241154,-1.665526,-9.357687,5.078918
0.020000,2.366680,2.432760,3.324040,3.204100,-1.852679,-9.357687,5.097058
0.020000,2.391155,2.373978,3.387714,3.163304,-2.039833,-9.357687,5.117148
0.020000,2.416517,2.316506,3.450535,3.118764,-2.226987,-9.357687,5.139186
0.020000,2.442800,2.260473,3.512427,3.070481,-2.414141,-9.357687,5.163152
0.020000,2.470021,2.206009,3.573317,3.018455,-2.601294,-9.357687,5.189004
0.020000,2.498199,2.153215,3.633162,2.966052,-2.620152,-0.942892,5.216688
0.020000,2.527354,2.102158,3.691959,2.913649,-2.620152,-0.000000,5.246142
0.020000,2.557495,2.052902,3.749708,2.861246,-2.620152,0.000000,5.277284
0.020000,2.588618,2.005509,3.806409,2.808843,-2.620152,0.000000,5.309999
0.020000,2.620704,1.960040,3.862062,2.756440,-2.620152,0.000000,5.344145
0.020000,2.653718,1.916550,3.916666,2.704037,-2.620152,-0.000000,5.379549
0.020000,2.687610,1.875085,3.970223,2.651634,-2.620152,0.000000,5.416009
0.020000,2.722316,1.835685,4.022732,2.599231,-2.620152,-0.000000,5.453295
0.020000,2.757756,1.798378,4.074192,2.546828,-2.620152,0.000000,5.491158
0.020000,2.793840,1.763177,4.124605,2.494425,-2.620152,-0.000000,5.529335
0.020000,2.830464,1.730083,4.173969,2.442022,-2.620152,0.000000,5.567561
0.020000,2.867520,1.699082,4.222286,2.389619,-2.620152,-0.000000,5.605571
0.020000,2.904892,1.670146,4.269554,2.337216,-2.620152,0.000000,5.643118
0.020000,2.942464,1.643230,4.315774,2.284813,-2.620152,-0.000000,5.679972
0.020000,2.980117,1.618279,4.360947,2.232410,-2.620152,0.000000,5.715933
0.020000,3.017737,1.595225,4.405071,2.180007,-2.620152,0.000000,5.750831
0.020000,3.055214,1.573992,4.448147,2.127604,-2.620152,0.000000,5.784529
0.020000,3.092444,1.554495,4.490175,2.075200,-2.620152,-0.000000,5.816921
0.020000,3.129330,1.536645,4.531155,2.022797,-2.620152,0.000000,5.847934
0.020000,3.165783,1.520349,4.571087,1.970394,-2.620152,-0.000000,5.877523
0.020000,3.201724,1.505511,4.609971,1.917991,-2.620152,0.000000,5.905669
0.020000,3.237078,1.492037,4.647806,1.865588,-2.620152,-0.000000,5.932370
0.020000,3.271782,1.479835,4.684594,1.813185,-2.620152,0.000000,5.957645
0.020000,3.305778,1.468812,4.720334,1.760782,-2.620152,-0.000000,5.981524
0.020000,3.339017,1.458880,4.755025,1.708379,-2.620152,0.000000,6.004048
0.020000,3.371455,1.449956,4.788669,1.655976,-2.620152,0.000000,6.025265
0.020000,3.403054,1.441958,4.821264,1.603573,-2.620152,-0.000000,6.045227
0.020000,3.433780,1.434812,4.852812,1.551170,-2.620152,0.000000,6.063991
0.020000,3.463607,1.428444,4.883311,1.498767,-2.620152,0.000000,6.081612
0.020000,3.492509,1.422787,4.912763,1.446364,-2.620152,0.000000,6.098147
0.020000,3.520467,1.417779,4.941166,1.393961,-2.620152,-0.000000,6.113653
0.020000,3.547463,1.413360,4.968521,1.341558,-2.620152,0.000000,6.128181
0.020000,3.573482,1.409477,4.994828,1.289155,-2.620152,0.000000,6.141784
0.020000,3.598510,1.406077,5.020087,1.236752,-2.620152,0.000000,6.154511
0.020000,3.622539,1.403114,5.044298,1.184349,-2.620152,0.000000,6.166408
0.020000,3.645559,1.400543,5.067461,1.131946,-2.620152,-0.000000,6.177520
0.020000,3.667562,1.398325,5.089576,1.079543,-2.620152,0.000000,6.187886
0.020000,3.688543,1.396422,5.110643,1.027140,-2.620152,0.000000,6.197545
0.020000,3.708496,1.394800,5.130662,0.974737,-2.620152,0.000000,6.206532
0.020000,3.727417,1.393426,5.149632,0.922333,-2.620152,-0.000000,6.214880
0.020000,3.745302,1.392273,5.167555,0.869930,-2.620152,0.000000,6.222618
0.020000,3.762149,1.391312,5.184430,0.817527,-2.620152,-0.000000,6.229774
0.020000,3.777956,1.390519,5.200256,0.765124,-2.620152,0.000000,6.236374
0.020000,3.792720,1.389872,5.215035,0.712721,-2.620152,0.000000,6.242441
0.020000,3.806440,1.389351,5.228765,0.660318,-2.620152,-0.000000,6.247996
0.020000,3.819116,1.388937,5.241447,0.607915,-2.620152,0.000000,6.253058
0.020000,3.830746,1.388613,5.253082,0.555512,-2.620152,0.000000,6.257644
0.020000,3.841329,1.388365,5.263668,0.503109,-2.620152,-0.000000,6.261770
0.020000,3.850865,1.388178,5.273206,0.450706,-2.620152,0.000000,6.265449
0.020000,3.859354,1.388042,5.281696,0.398303,-2.620152,0.000000,6.268694
0.020000,3.866796,1.387944,5.289138,0.345900,-2.620152,0.000000,6.271515
0.020000,3.873223,1.387877,5.295566,0.296863,-2.451856,8.414795,6.273935
0.020000,3.878707,1.387832,5.301050,0.251569,-2.264703,9.357687,6.275987
0.020000,3.883323,1.387803,5.305666,0.210018,-2.077549,9.357687,6.277705
0.020000,3.887145,1.387784,5.309488,0.172210,-1.890395,9.357687,6.279122
0.020000,3.890249,1.387774,5.312592,0.138145,-1.703241,9.357687,6.280268
0.020000,3.892708,1.387768,5.315051,0.107823,-1.516088,9.357687,6.281174
0.020000,3.894599,1.387764,5.316942,0.081245,-1.328934,9.357687,6.281869
0.020000,3.895995,1.387763,5.318339,0.058409,-1.141780,9.357687,6.282381
0.020000,3.896973,1.387762,5.319316,0.039317,-0.954627,9.357687,6.282739
0.020000,3.897606,1.387762,5.319949,0.023967,-0.767473,9.357687,6.282971
0.020000,3.897970,1.387762,5.320312,0.012361,-0.580319,9.357687,6.283104
0.020000,3.898138,1.387762,5.320480,0.004497,-0.393165,9.357687,6.283166
0.020000,3.898187,1.387762,5.320529,0.000377,-0.206012,9.357687,6.283184
0.020000,3.898191,1.387762,5.320533,0.000000,-0.018858,9.357687,6.283185
0.020000,3.898191,1.387762,5.320533,0.000000,0.000000,0.942892,6.283185
