dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.293518,4.015648,0.000061,0.002448,0.048953,0.979051,0.000221
0.050000,0.293505,4.015648,0.000074,0.000259,-0.043773,-1.854515,0.000196
0.050000,0.293476,4.015648,0.000103,0.000584,0.006492,1.005297,0.000137
0.050000,0.293424,4.015648,0.000155,0.001040,0.009137,0.052910,0.000033
0.050000,0.294561,4.015648,0.001292,0.022735,0.433897,8.495191,6.283055
0.050000,0.296645,4.015647,0.003377,0.041689,0.379068,-1.096566,6.282818
0.050000,0.299481,4.015646,0.006212,0.056711,0.300441,-1.572543,6.282493
0.050000,0.303182,4.015643,0.009913,0.074017,0.346131,0.913793,6.282062
0.050000,0.307861,4.015636,0.014592,0.093588,0.391416,0.905701,6.281508
0.050000,0.313631,4.015624,0.020362,0.115402,0.436287,0.897420,6.280810
0.050000,0.320603,4.015605,0.027334,0.139433,0.480607,0.886393,6.279945
0.050000,0.328885,4.015574,0.035616,0.165642,0.524183,0.871537,6.278886
0.050000,0.338584,4.015526,0.045316,0.193990,0.566954,0.855408,6.277603
0.050000,0.349805,4.015454,0.056537,0.224424,0.608689,0.834701,6.276059
0.050000,0.362649,4.015351,0.069381,0.256887,0.649265,0.811524,6.274211
0.050000,0.377213,4.015205,0.083946,0.291304,0.688339,0.781485,6.272012
0.050000,0.393592,4.015000,0.100326,0.327594,0.725791,0.749040,6.269403
0.050000,0.411873,4.014721,0.118609,0.365659,0.761301,0.710186,6.266318
0.050000,0.432138,4.014342,0.138878,0.405381,0.794451,0.663017,6.262676
0.050000,0.454464,4.013837,0.161210,0.446630,0.824971,0.610392,6.258387
0.050000,0.478862,4.013171,0.185617,0.488140,0.830202,0.104629,6.253353
0.050000,0.505281,4.012306,0.212050,0.528667,0.810530,-0.393449,6.247477
0.050000,0.533663,4.011196,0.240454,0.568071,0.788087,-0.448864,6.240645
0.050000,0.563941,4.009789,0.270764,0.606205,0.762688,-0.507978,6.232732
0.050000,0.596037,4.008023,0.302909,0.642894,0.733774,-0.578283,6.223593
0.050000,0.629863,4.005829,0.336806,0.677949,0.701095,-0.653580,6.213064
0.050000,0.665317,4.003127,0.372363,0.711145,0.663932,-0.743246,6.200960
0.050000,0.702282,3.999826,0.409475,0.742238,0.621843,-0.841785,6.187070
0.050000,0.740621,3.995826,0.448022,0.770942,0.574095,-0.954968,6.171155
0.050000,0.780177,3.991017,0.487870,0.796948,0.520117,-1.079557,6.152946
0.050000,0.820769,3.985278,0.528865,0.819913,0.459290,-1.216548,6.132138
0.050000,0.862189,3.978479,0.570839,0.839469,0.391134,-1.363106,6.108391
0.050000,0.904197,3.970484,0.613602,0.855258,0.315782,-1.507045,6.081329
0.050000,0.946529,3.961153,0.656949,0.866950,0.233828,-1.639073,6.050541
0.050000,0.988888,3.950348,0.700665,0.874308,0.147156,-1.733449,6.015595
0.050000,1.030958,3.937932,0.744529,0.877285,0.059541,-1.752293,5.976052
0.050000,1.072417,3.923780,0.788336,0.876149,-0.022719,-1.645206,5.931502
0.050000,1.112953,3.907770,0.831919,0.871665,-0.089668,-1.338977,5.881611
0.050000,1.152267,3.889798,0.875147,0.864551,-0.142278,-1.052204,5.826237
0.050000,1.190118,3.869763,0.917973,0.856518,-0.160666,-0.367753,5.765534
0.050000,1.226387,3.847525,0.960517,0.850890,-0.112571,0.961896,5.699987
0.050000,1.261093,3.822868,1.003091,0.851464,0.011489,2.481193,5.630460
0.050000,1.294363,3.795476,1.046186,0.861900,0.208716,3.944551,5.558185
0.050000,1.326375,3.764933,1.090431,0.884903,0.460061,5.026890,5.484662
0.050000,1.357283,3.730761,1.136507,0.921527,0.732479,5.448372,5.411498
0.050000,1.387158,3.692499,1.185051,0.970876,0.986981,5.090022,5.340210
0.050000,1.415954,3.649777,1.236571,1.030404,1.190563,4.071656,5.272059
0.050000,1.443526,3.602386,1.291399,1.096567,1.323262,2.653976,5.207953
0.050000,1.469667,3.550293,1.349684,1.165682,1.382296,1.180676,5.148432
0.050000,1.494160,3.493637,1.411408,1.234479,1.375936,-0.127191,5.093707
0.050000,1.518087,3.429693,1.479681,1.365475,2.619932,24.879915,5.056544
0.050000,1.544959,3.352447,1.561468,1.635737,5.405228,55.705911,5.038506
0.050000,1.571345,3.272440,1.645714,1.684916,0.983592,-88.432708,5.024039
0.050000,1.597399,3.189925,1.732244,1.730600,0.913669,-1.398471,5.013038
0.050000,1.623304,3.105145,1.820893,1.772988,0.847763,-1.318120,5.005419
0.050000,1.649268,3.018328,1.911510,1.812336,0.786957,-1.216111,5.001122
0.050000,1.675522,2.929688,2.003957,1.848930,0.731883,-1.101478,5.000118
0.050000,1.702305,2.839476,2.098060,1.882076,0.662913,-1.379399,5.002403
0.050000,1.729875,2.747937,2.193661,1.912013,0.598745,-1.283368,5.007999
0.050000,1.758523,2.655264,2.290661,1.940002,0.559790,-0.779100,5.016957
0.050000,1.788561,2.561648,2.388977,1.966325,0.526452,-0.666751,5.029354
0.050000,1.820319,2.467288,2.488539,1.991230,0.498088,-0.567286,5.045295
0.050000,1.854146,2.372391,2.589285,2.014913,0.473677,-0.488222,5.064900
0.050000,1.890406,2.277188,2.691159,2.037482,0.451372,-0.446103,5.088306
0.050000,1.929476,2.181944,2.794105,2.058925,0.428853,-0.450379,5.115643
0.050000,1.971734,2.086968,2.898058,2.079065,0.402799,-0.521084,5.147027
0.050000,2.017546,1.992628,3.002933,2.097495,0.368618,-0.683608,5.182531
0.050000,2.067247,1.899368,3.108609,2.113523,0.320560,-0.961161,5.222162
0.050000,2.121107,1.807715,3.214916,2.126142,0.252365,-1.363906,5.265822
0.050000,2.179302,1.718282,3.321617,2.134007,0.157296,-1.901381,5.313281
0.050000,2.241867,1.631758,3.428391,2.135490,0.029663,-2.552664,5.364146
0.050000,2.308662,1.548883,3.534832,2.128829,-0.133223,-3.257705,5.417847
0.050000,2.379343,1.470404,3.640449,2.112326,-0.330055,-3.936658,5.473643
0.050000,2.453356,1.397014,3.744680,2.084628,-0.553962,-4.478126,5.530659
0.050000,2.529959,1.329288,3.846928,2.044958,-0.793391,-4.788586,5.587942
0.050000,2.608265,1.267633,3.946593,1.993307,-1.033029,-4.792769,5.644535
0.050000,2.687314,1.212250,4.043113,1.930399,-1.258156,-4.502531,5.699559
0.050000,2.766200,1.163098,4.136059,1.858909,-1.429801,-3.432898,5.752302
0.050000,2.844152,1.119920,4.225170,1.782234,-1.533503,-2.074043,5.802268
0.050000,2.920521,1.082330,4.310289,1.702374,-1.597198,-1.273906,5.849141
0.050000,2.994776,1.049867,4.391331,1.620840,-1.630665,-0.669327,5.892754
0.050000,3.066509,1.022029,4.468276,1.538894,-1.638920,-0.165113,5.933064
0.050000,3.135416,0.998312,4.541150,1.457482,-1.628247,0.213467,5.970127
0.050000,3.201285,0.978225,4.610014,1.377275,-1.604140,0.482144,6.004063
0.050000,3.263977,0.961308,4.674948,1.298690,-1.571697,0.648851,6.035034
0.050000,3.323410,0.947143,4.736046,1.221951,-1.534788,0.738187,6.063225
0.050000,3.379541,0.935350,4.793403,1.147139,-1.496242,0.770923,6.088829
0.050000,3.432359,0.925592,4.847115,1.074241,-1.457949,0.765852,6.112038
0.050000,3.481873,0.917571,4.897274,1.003189,-1.421041,0.738171,6.133036
0.050000,3.528106,0.911026,4.943968,0.933876,-1.386256,0.695693,6.151997
0.050000,3.571086,0.905730,4.987273,0.866102,-1.355497,0.615178,6.169077
0.050000,3.610850,0.901483,5.027263,0.799806,-1.325914,0.591665,6.184422
0.050000,3.647436,0.898113,5.064004,0.734809,-1.299936,0.519560,6.198161
0.050000,3.680877,0.895469,5.097549,0.670912,-1.277948,0.439758,6.210408
0.050000,3.711213,0.893424,5.127954,0.608084,-1.256544,0.428089,6.221266
0.050000,3.738534,0.891862,5.155319,0.547312,-1.215447,0.821935,6.230844
0.050000,3.763002,0.890683,5.179816,0.489936,-1.147522,1.358488,6.239263
0.050000,3.784792,0.889806,5.201624,0.436150,-1.075723,1.435989,6.246636
0.050000,3.804072,0.889164,5.220914,0.385812,-1.006765,1.379158,6.253064
0.050000,3.821006,0.888701,5.237855,0.338814,-0.939957,1.336162,6.258636
0.050000,3.835757,0.888374,5.252610,0.295093,-0.874407,1.310994,6.263434
0.050000,3.848483,0.888149,5.265337,0.254549,-0.810897,1.270213,6.267533
0.050000,3.859338,0.887998,5.276194,0.217137,-0.748236,1.253219,6.270999
0.050000,3.868477,0.887900,5.285333,0.182791,-0.686920,1.226320,6.273897
0.050000,3.876052,0.887838,5.292909,0.151505,-0.625726,1.223871,6.276284
0.050000,3.882212,0.887802,5.299068,0.123193,-0.566237,1.189782,6.278215
0.050000,3.887104,0.887781,5.303960,0.097841,-0.507025,1.184232,6.279743
0.050000,3.890876,0.887770,5.307732,0.075439,-0.448054,1.179430,6.280917
0.050000,3.893676,0.887765,5.310533,0.056008,-0.388613,1.188821,6.281787
0.050000,3.895649,0.887763,5.312505,0.039446,-0.331247,1.147326,6.282398
0.050000,3.896940,0.887762,5.313797,0.025834,-0.272241,1.180120,6.282798
0.050000,3.897696,0.887762,5.314552,0.015107,-0.214527,1.154277,6.283032
0.050000,3.898059,0.887762,5.314916,0.007273,-0.156678,1.156974,6.283145
0.050000,3.898176,0.887762,5.315032,0.002336,-0.098756,1.158446,6.283181
0.050000,3.898191,0.887762,5.315047,0.000296,-0.040802,1.159073,6.283185
0.050000,3.898191,0.887762,5.315047,0.000000,-0.005911,0.697826,6.283185
