dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.293297,5.015648,0.000061,0.002444,0.048880,0.977603,0.000221
0.050000,0.293310,5.015648,0.000074,0.000259,-0.043708,-1.851773,0.000196
0.050000,0.293339,5.015648,0.000103,0.000583,0.006482,1.003810,0.000137
0.050000,0.293391,5.015648,0.000155,0.001039,0.009124,0.052830,0.000033
0.050000,0.294686,5.015648,0.001450,0.025900,0.497223,9.761981,6.283056
0.050000,0.297003,5.015647,0.003768,0.046357,0.409145,-1.761555,6.282819
0.050000,0.300160,5.015646,0.006924,0.063128,0.335420,-1.474490,6.282494
0.050000,0.304285,5.015642,0.011050,0.082509,0.387620,1.043996,6.282064
0.050000,0.309511,5.015635,0.016276,0.104514,0.440102,1.049636,6.281511
0.050000,0.315969,5.015622,0.022734,0.129168,0.493072,1.059404,6.280814
0.050000,0.323794,5.015600,0.030559,0.156499,0.546611,1.070777,6.279951
0.050000,0.333121,5.015565,0.039886,0.186538,0.600799,1.083764,6.278894
0.050000,0.344088,5.015511,0.050852,0.219332,0.655867,1.101354,6.277612
0.050000,0.356834,5.015430,0.063599,0.254928,0.711929,1.121244,6.276071
0.050000,0.371503,5.015312,0.078268,0.293390,0.769232,1.146050,6.274227
0.050000,0.388241,5.015144,0.095008,0.334784,0.827888,1.173129,6.272032
0.050000,0.407200,5.014908,0.113967,0.379197,0.888247,1.207179,6.269428
0.050000,0.428533,5.014582,0.135304,0.426726,0.950598,1.247014,6.266348
0.050000,0.452403,5.014137,0.159178,0.477485,1.015163,1.291313,6.262714
0.050000,0.478977,5.013536,0.185758,0.531606,1.082432,1.345376,6.258434
0.050000,0.508362,5.012736,0.215154,0.587909,1.126062,0.872591,6.253411
0.050000,0.540604,5.011682,0.247413,0.645194,1.145693,0.392627,6.247547
0.050000,0.575757,5.010310,0.282593,0.703594,1.168006,0.446250,6.240732
0.050000,0.613879,5.008541,0.320756,0.763262,1.193361,0.507110,6.232838
0.050000,0.655036,5.006282,0.361975,0.824369,1.222124,0.575267,6.223721
0.050000,0.699298,5.003416,0.406330,0.887103,1.254695,0.651406,6.213219
0.050000,0.746745,4.999806,0.453914,0.951687,1.291672,0.739550,6.201146
0.050000,0.797463,4.995286,0.504832,1.018366,1.333582,0.838187,6.187292
0.050000,0.851541,4.989656,0.559204,1.087424,1.381152,0.951401,6.171421
0.050000,0.909078,4.982675,0.617162,1.159165,1.434836,1.073683,6.153264
0.050000,0.970169,4.974055,0.678859,1.233934,1.495380,1.210875,6.132516
0.050000,1.034837,4.963463,0.744388,1.310593,1.533169,0.755788,6.108868
0.050000,1.103013,4.950522,0.813782,1.387866,1.545464,0.245908,6.082013
0.050000,1.174600,4.934800,0.887074,1.465858,1.559839,0.287501,6.051634
0.050000,1.249454,4.915808,0.964301,1.544524,1.573311,0.269428,6.017419
0.050000,1.327367,4.893004,1.045482,1.623629,1.582102,0.175823,5.979080
0.050000,1.408035,4.865800,1.130614,1.702631,1.580046,-0.041116,5.936381
0.050000,1.491034,4.833590,1.219643,1.780591,1.559211,-0.416712,5.889182
0.050000,1.575786,4.795777,1.312448,1.856088,1.509925,-0.985711,5.837484
0.050000,1.661542,4.751835,1.408807,1.927180,1.421847,-1.761559,5.781483
0.050000,1.747380,4.701369,1.508381,1.991486,1.286117,-2.714601,5.721613
0.050000,1.832232,4.644188,1.610701,2.046404,1.098363,-3.755084,5.658569
0.050000,1.914944,4.580363,1.715176,2.089491,0.861737,-4.732520,5.593291
0.050000,1.994378,4.510257,1.821122,2.118921,0.588591,-5.462907,5.526900
0.050000,2.069511,4.434504,1.927816,2.133877,0.299129,-5.789242,5.460603
0.050000,2.139535,4.353946,2.034553,2.134755,0.017569,-5.631205,5.395563
0.050000,2.203912,4.269544,2.140704,2.123024,-0.234631,-5.043999,5.332799
0.050000,2.262386,4.182276,2.245752,2.100942,-0.441634,-4.140057,5.273102
0.050000,2.314951,4.093058,2.349303,2.071028,-0.598285,-3.133021,5.217012
0.050000,2.361798,4.002695,2.451088,2.035692,-0.706727,-2.168842,5.164826
0.050000,2.403227,3.911907,2.550882,1.995886,-0.796107,-1.787608,5.116661
0.050000,2.439627,3.821282,2.648544,1.953235,-0.853034,-1.138539,5.072474
0.050000,2.461671,3.763449,2.710436,1.237843,-14.307840,-269.096117,5.095295
0.050000,2.482962,3.713537,2.764699,1.085260,-3.051661,225.123584,5.136596
0.050000,2.505541,3.666299,2.817056,1.047141,-0.762365,45.785927,5.180683
0.050000,2.529295,3.621906,2.867404,1.006970,-0.803417,-0.821049,5.227517
0.050000,2.554097,3.580481,2.915686,0.965639,-0.826626,-0.464171,5.276970
0.050000,2.579812,3.542086,2.961897,0.924221,-0.828364,-0.034762,5.328805
0.050000,2.606310,3.506717,3.006091,0.883882,-0.806780,0.431676,5.382672
0.050000,2.633479,3.474309,3.048381,0.845793,-0.761774,0.900124,5.438100
0.050000,2.661228,3.444741,3.088931,0.810995,-0.695968,1.316109,5.494516
0.050000,2.689493,3.417852,3.127943,0.780245,-0.615007,1.619231,5.551272
0.050000,2.718232,3.393458,3.165638,0.753905,-0.526784,1.764458,5.607682
0.050000,2.747412,3.371376,3.202233,0.731885,-0.440414,1.727404,5.663070
0.050000,2.776998,3.351429,3.237915,0.713651,-0.364681,1.514653,5.716813
0.050000,2.806938,3.333463,3.272831,0.698318,-0.306654,1.160543,5.768377
0.050000,2.837145,3.317344,3.307070,0.684783,-0.270707,0.718935,5.817337
0.050000,2.867501,3.302955,3.340663,0.671866,-0.258337,0.247406,5.863388
0.050000,2.897848,3.290191,3.373585,0.658440,-0.268522,-0.203710,5.906335
0.050000,2.927997,3.278953,3.405761,0.643517,-0.298451,-0.598573,5.946085
0.050000,2.957761,3.269134,3.437103,0.626838,-0.333577,-0.702518,5.982652
0.050000,2.986978,3.260619,3.467535,0.608638,-0.363996,-0.608377,6.016152
0.050000,3.015494,3.253289,3.496978,0.588858,-0.395614,-0.632376,6.046742
0.050000,3.043162,3.247032,3.525345,0.567343,-0.430300,-0.693701,6.074597
0.050000,3.069845,3.241739,3.552548,0.544048,-0.465888,-0.711764,6.099893
0.050000,3.095413,3.237304,3.578498,0.519007,-0.500834,-0.698925,6.122806
0.050000,3.119752,3.233627,3.603113,0.492296,-0.534212,-0.667566,6.143502
0.050000,3.142756,3.230613,3.626314,0.464026,-0.565392,-0.623598,6.162137
0.050000,3.164335,3.228172,3.648030,0.434327,-0.593988,-0.571918,6.178854
