dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.293407,4.515648,0.000061,0.002444,0.048880,0.977603,0.000221
0.050000,0.293407,4.515648,0.000306,0.007332,0.097760,0.977603,0.000196
0.050000,0.293407,4.515648,0.000855,0.014664,0.146641,0.977603,0.000137
0.050000,0.293407,4.515648,0.001833,0.024440,0.195521,0.977603,0.000033
0.050000,0.294621,4.515648,0.003361,0.036660,0.244401,0.977603,6.283056
0.050000,0.296820,4.515647,0.005560,0.051324,0.293281,0.977603,6.282819
0.050000,0.299814,4.515646,0.008554,0.068432,0.342161,0.977603,6.282494
0.050000,0.303725,4.515642,0.012464,0.087984,0.391041,0.977603,6.282064
0.050000,0.308674,4.515635,0.017414,0.109980,0.439922,0.977603,6.281511
0.050000,0.314784,4.515623,0.023524,0.134420,0.488802,0.977603,6.280814
0.050000,0.322177,4.515602,0.030917,0.161305,0.537682,0.977603,6.279951
0.050000,0.330975,4.515569,0.039715,0.190633,0.586562,0.977603,6.278894
0.050000,0.341301,4.515518,0.050041,0.222405,0.635442,0.977603,6.277612
0.050000,0.353277,4.515442,0.062017,0.256621,0.684322,0.977603,6.276071
0.050000,0.367024,4.515332,0.075764,0.293281,0.733203,0.977603,6.274227
0.050000,0.382664,4.515175,0.091406,0.332385,0.782083,0.977603,6.272032
0.050000,0.400321,4.514955,0.109064,0.373933,0.830963,0.977603,6.269428
0.050000,0.420115,4.514653,0.128860,0.417925,0.879843,0.977603,6.266348
0.050000,0.442169,4.514242,0.150918,0.464362,0.928723,0.977603,6.262714
0.050000,0.466602,4.513690,0.175358,0.513242,0.977603,0.977603,6.258434
0.050000,0.493476,4.512957,0.202242,0.562122,0.977603,-0.000000,6.253411
0.050000,0.522789,4.511999,0.231570,0.611002,0.977603,0.000000,6.247547
0.050000,0.554537,4.510760,0.263342,0.659882,0.977603,0.000000,6.240732
0.050000,0.588716,4.509175,0.297558,0.708762,0.977603,0.000000,6.232838
0.050000,0.625321,4.507165,0.334218,0.757643,0.977603,-0.000000,6.223721
0.050000,0.664343,4.504639,0.373322,0.806523,0.977603,0.000000,6.213219
0.050000,0.705771,4.501488,0.414870,0.855403,0.977603,0.000000,6.201146
0.050000,0.749590,4.497583,0.458863,0.904283,0.977603,-0.000000,6.187292
0.050000,0.795776,4.492776,0.505299,0.953163,0.977603,0.000000,6.171421
0.050000,0.844300,4.486889,0.554179,1.002043,0.977603,0.000000,6.153264
0.050000,0.895120,4.479720,0.605503,1.050924,0.977603,-0.000000,6.132516
0.050000,0.948119,4.471040,0.659210,1.097360,0.928723,-0.977603,6.108868
0.050000,1.003104,4.460605,0.715178,1.141352,0.879843,-0.977603,6.082013
0.050000,1.059856,4.448144,0.773284,1.182900,0.830963,-0.977603,6.051634
0.050000,1.118130,4.433362,0.833407,1.222004,0.782083,-0.977603,6.017419
0.050000,1.177647,4.415946,0.895424,1.258664,0.733203,-0.977603,5.979080
0.050000,1.238088,4.395569,0.959212,1.292880,0.684322,-0.977603,5.936381
0.050000,1.299090,4.371900,1.024651,1.324653,0.635442,-0.977603,5.889182
0.050000,1.360240,4.344623,1.091616,1.353981,0.586562,-0.977603,5.837484
0.050000,1.421083,4.313453,1.159988,1.380865,0.537682,-0.977603,5.781483
0.050000,1.481122,4.278160,1.229642,1.405305,0.488802,-0.977603,5.721613
0.050000,1.539839,4.238594,1.300457,1.427301,0.439922,-0.977603,5.658569
0.050000,1.596716,4.194707,1.372311,1.446853,0.391041,-0.977603,5.593291
0.050000,1.651266,4.146562,1.445081,1.463961,0.342161,-0.977603,5.526900
0.050000,1.703058,4.094338,1.518646,1.478625,0.293281,-0.977603,5.460603
0.050000,1.751748,4.038317,1.592883,1.490845,0.244401,-0.977603,5.395563
0.050000,1.797092,3.978860,1.667669,1.500621,0.195521,-0.977603,5.332799
0.050000,1.838948,3.916381,1.742884,1.507953,0.146641,-0.977603,5.273102
0.050000,1.877273,3.851320,1.818403,1.512841,0.097760,-0.977603,5.217012
0.050000,1.912105,3.784116,1.894107,1.515285,0.048880,-0.977603,5.164826
0.050000,1.943532,3.715232,1.969828,1.513588,-0.033937,-1.656348,5.116661
0.050000,1.971693,3.645105,2.045404,1.509448,-0.082817,-0.977603,5.072474
0.050000,1.997879,3.576640,2.120712,1.502863,-0.131698,-0.977603,5.095295
0.050000,2.027279,3.507738,2.195629,1.493834,-0.180578,-0.977603,5.136596
0.050000,2.059371,3.440617,2.270034,1.482361,-0.229458,-0.977603,5.180683
0.050000,2.094181,3.375583,2.343804,1.468444,-0.278338,-0.977603,5.227517
0.050000,2.131690,3.312950,2.416818,1.452083,-0.327218,-0.977603,5.276970
0.050000,2.171834,3.253028,2.488952,1.433278,-0.376098,-0.977603,5.328805
0.050000,2.214487,3.196113,2.560084,1.412029,-0.424979,-0.977603,5.382672
0.050000,2.259465,3.142476,2.630093,1.388336,-0.473859,-0.977603,5.438100
0.050000,2.306520,3.092346,2.698857,1.362199,-0.522739,-0.977603,5.494516
0.050000,2.355346,3.045903,2.766252,1.333618,-0.571619,-0.977603,5.551272
0.050000,2.405587,3.003262,2.832158,1.302593,-0.620499,-0.977603,5.607682
0.050000,2.456847,2.964470,2.896451,1.269124,-0.669379,-0.977603,5.663070
0.050000,2.508711,2.929502,2.959009,1.233211,-0.718260,-0.977603,5.716813
0.050000,2.560754,2.898269,3.019711,1.194854,-0.767140,-0.977603,5.768377
0.050000,2.612555,2.870623,3.078433,1.154053,-0.816020,-0.977603,5.817337
0.050000,2.663713,2.846369,3.135055,1.110808,-0.864900,-0.977603,5.863388
0.050000,2.713851,2.825277,3.189453,1.065119,-0.913780,-0.977603,5.906335
0.050000,2.762621,2.807094,3.241506,1.016986,-0.962660,-0.977603,5.946085
0.050000,2.809747,2.791545,3.291133,0.968106,-0.977603,-0.298858,5.982652
0.050000,2.855042,2.778340,3.338316,0.919226,-0.977603,0.000000,6.016152
0.050000,2.898370,2.767200,3.383056,0.870346,-0.977603,-0.000000,6.046742
0.050000,2.939622,2.757870,3.425351,0.821466,-0.977603,0.000000,6.074597
0.050000,2.978711,2.750115,3.465202,0.772586,-0.977603,0.000000,6.099893
0.050000,3.015567,2.743721,3.502609,0.723705,-0.977603,0.000000,6.122806
0.050000,3.050137,2.738497,3.537573,0.674825,-0.977603,0.000000,6.143502
0.050000,3.082380,2.734271,3.570092,0.625945,-0.977603,0.000000,6.162137
0.050000,3.112264,2.730891,3.600167,0.577065,-0.977603,0.000000,6.178854
0.050000,3.139766,2.728219,3.627798,0.528185,-0.977603,-0.000000,6.193784
0.050000,3.164867,2.726138,3.652986,0.479305,-0.977603,0.000000,6.207042
0.050000,3.187596,2.724538,3.675771,0.432121,-0.943666,0.678745,6.218753
0.050000,3.208047,2.723324,3.696259,0.387382,-0.894786,0.977603,6.229057
0.050000,3.226337,2.722417,3.714571,0.345087,-0.845906,0.977603,6.238091
0.050000,3.242581,2.721748,3.730829,0.305235,-0.797026,0.977603,6.245974
0.050000,3.256899,2.721264,3.745155,0.267828,-0.748145,0.977603,6.252814
0.050000,3.269412,2.720921,3.757673,0.232865,-0.699265,0.977603,6.258711
0.050000,3.280239,2.720683,3.768503,0.200346,-0.650385,0.977603,6.263753
0.050000,3.289503,2.720523,3.777768,0.170270,-0.601505,0.977603,6.268024
0.050000,3.297325,2.720418,3.785591,0.142639,-0.552625,0.977603,6.271599
0.050000,3.303827,2.720353,3.792093,0.117452,-0.503745,0.977603,6.274549
0.050000,3.309131,2.720313,3.797397,0.094709,-0.454864,0.977603,6.276941
0.050000,3.313359,2.720291,3.801625,0.074409,-0.405984,0.977603,6.278839
0.050000,3.316633,2.720279,3.804899,0.056554,-0.357104,0.977603,6.280304
0.050000,3.319076,2.720273,3.807342,0.041143,-0.308224,0.977603,6.281393
0.050000,3.320809,2.720271,3.809075,0.028176,-0.259344,0.977603,6.282164
0.050000,3.321954,2.720270,3.810220,0.017653,-0.210464,0.977603,6.282673
0.050000,3.322635,2.720270,3.810901,0.009573,-0.161583,0.977603,6.282975
0.050000,3.322973,2.720270,3.811239,0.003938,-0.112703,0.977603,6.283125
0.050000,3.323090,2.720270,3.811356,0.000747,-0.063823,0.977603,6.283177
0.050000,3.323109,2.720270,3.811375,0.000000,-0.014943,0.977603,6.283185
0.050000,3.323109,2.720270,3.811375,0.000000,0.000000,0.298858,6.283185
