dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.293518,4.015648,0.000061,0.002444,0.048880,0.977603,0.000221
0.050000,0.293505,4.015648,0.000074,0.000259,-0.043708,-1.851773,0.000196
0.050000,0.293476,4.015648,0.000103,0.000583,0.006482,1.003810,0.000137
0.050000,0.293424,4.015648,0.000155,0.001039,0.009124,0.052830,0.000033
0.050000,0.294556,4.015648,0.001287,0.022638,0.431985,8.457238,6.283056
0.050000,0.296637,4.015647,0.003368,0.041627,0.379779,-1.044135,6.282819
0.050000,0.299469,4.015646,0.006200,0.056627,0.299998,-1.595603,6.282494
0.050000,0.303164,4.015643,0.009895,0.073908,0.345621,0.912453,6.282064
0.050000,0.307837,4.015636,0.014568,0.093450,0.390840,0.904383,6.281511
0.050000,0.313598,4.015624,0.020329,0.115233,0.435650,0.896193,6.280814
0.050000,0.320560,4.015605,0.027291,0.139228,0.479903,0.885059,6.279951
0.050000,0.328829,4.015574,0.035561,0.165399,0.523423,0.870400,6.278894
0.050000,0.338515,4.015526,0.045246,0.193706,0.566133,0.854210,6.277612
0.050000,0.349719,4.015455,0.056451,0.224096,0.607818,0.833696,6.276071
0.050000,0.362544,4.015352,0.069276,0.256513,0.648334,0.810320,6.274227
0.050000,0.377088,4.015206,0.083820,0.290882,0.687373,0.780779,6.272032
0.050000,0.393443,4.015002,0.100176,0.327120,0.724774,0.748023,6.269428
0.050000,0.411697,4.014723,0.118433,0.365133,0.760253,0.709576,6.266348
0.050000,0.431934,4.014346,0.138673,0.404802,0.793384,0.662623,6.262714
0.050000,0.454228,4.013843,0.160973,0.445996,0.823866,0.609629,6.258434
0.050000,0.478591,4.013179,0.185346,0.487453,0.829156,0.105812,6.253411
0.050000,0.504974,4.012317,0.211742,0.527929,0.809512,-0.392878,6.247547
0.050000,0.533317,4.011211,0.240106,0.567287,0.787166,-0.446929,6.240732
0.050000,0.563553,4.009809,0.270375,0.605379,0.761824,-0.506840,6.232838
0.050000,0.595606,4.008049,0.302477,0.642033,0.733084,-0.574808,6.223721
0.050000,0.629388,4.005862,0.336330,0.677055,0.700452,-0.652629,6.213219
0.050000,0.664798,4.003169,0.371841,0.710229,0.663472,-0.739609,6.201146
0.050000,0.701717,3.999880,0.408906,0.741305,0.621512,-0.839194,6.187292
0.050000,0.740010,3.995895,0.447407,0.770005,0.574011,-0.950020,6.171421
0.050000,0.779521,3.991103,0.487207,0.796015,0.520189,-1.076432,6.153264
0.050000,0.820070,3.985385,0.528157,0.818994,0.459579,-1.212200,6.132516
0.050000,0.861402,3.978618,0.570039,0.837642,0.372966,-1.732262,6.108868
0.050000,0.903195,3.970689,0.612578,0.850777,0.262701,-2.205312,6.082013
0.050000,0.945112,3.961488,0.655493,0.858307,0.150608,-2.241845,6.051634
0.050000,0.986806,3.950916,0.698507,0.860262,0.039103,-2.230105,6.017419
0.050000,1.027928,3.938889,0.741351,0.856887,-0.067499,-2.132034,5.979080
0.050000,1.068141,3.925337,0.783787,0.848720,-0.163352,-1.917059,5.936381
0.050000,1.107146,3.910210,0.825622,0.836698,-0.240441,-1.541789,5.889182
0.050000,1.144695,3.893468,0.866734,0.822246,-0.289037,-0.971924,5.837484
0.050000,1.180623,3.875070,0.907099,0.807307,-0.298787,-0.194992,5.781483
0.050000,1.214863,3.854950,0.946813,0.794266,-0.260811,0.759522,5.721613
0.050000,1.247446,3.833000,0.986099,0.785731,-0.170707,1.802068,5.658569
0.050000,1.278488,3.809050,1.025307,0.784150,-0.031618,2.781792,5.593291
0.050000,1.308154,3.782867,1.064875,0.791357,0.144143,3.515215,5.526900
