dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.588701,3.339821,0.000038,0.003846,0.192308,9.615385,0.000458
0.020000,0.588706,3.339821,0.000044,0.000258,-0.179388,-18.584799,0.000453
0.020000,0.588717,3.339821,0.000055,0.000581,0.016147,9.776771,0.000442
0.020000,0.588738,3.339821,0.000076,0.001033,0.022600,0.322645,0.000424
0.020000,0.588770,3.339821,0.000108,0.001614,0.029044,0.322188,0.000394
0.020000,0.588817,3.339821,0.000155,0.002324,0.035473,0.321441,0.000352
0.020000,0.588880,3.339821,0.000218,0.003161,0.041879,0.320330,0.000295
0.020000,0.588963,3.339821,0.000300,0.004126,0.048255,0.318782,0.000219
0.020000,0.589067,3.339821,0.000405,0.005218,0.054589,0.316726,0.000125
0.020000,0.589196,3.339821,0.000534,0.006436,0.060871,0.314088,0.000008
0.020000,0.593755,3.339821,0.005093,0.227979,11.077167,550.814773,6.283051
0.020000,0.599478,3.339820,0.010816,0.286164,2.909271,-408.394801,6.282883
0.020000,0.606195,3.339817,0.017533,0.335829,2.483241,-21.301493,6.282687
0.020000,0.613984,3.339812,0.025322,0.389450,2.681050,9.890480,6.282459
0.020000,0.622925,3.339805,0.034263,0.447043,2.879656,9.930267,6.282198
0.020000,0.633097,3.339793,0.044435,0.508588,3.077256,9.880042,6.281902
0.020000,0.644578,3.339776,0.055916,0.574089,3.275036,9.888970,6.281569
0.020000,0.657449,3.339753,0.068787,0.643545,3.472783,9.887359,6.281197
0.020000,0.671788,3.339722,0.083126,0.716945,3.670035,9.862620,6.280784
0.020000,0.687674,3.339680,0.099012,0.794287,3.867082,9.852309,6.280328
0.020000,0.705185,3.339626,0.116523,0.875565,4.063903,9.841070,6.279828
0.020000,0.724400,3.339556,0.135739,0.960775,4.260480,9.828854,6.279283
0.020000,0.745398,3.339468,0.156737,1.049909,4.456715,9.811730,6.278690
0.020000,0.768257,3.339358,0.179596,1.142950,4.652038,9.766139,6.278049
0.020000,0.793015,3.339222,0.204354,1.237928,4.748931,4.844672,6.277359
0.020000,0.819671,3.339057,0.231011,1.332831,4.745129,-0.190090,6.276623
0.020000,0.848224,3.338858,0.259564,1.427666,4.741764,-0.168251,6.275840
0.020000,0.878672,3.338622,0.290013,1.522428,4.738070,-0.184699,6.275012
0.020000,0.911013,3.338343,0.322355,1.617108,4.734018,-0.202626,6.274142
0.020000,0.945245,3.338018,0.356589,1.711704,4.729800,-0.210893,6.273230
0.020000,0.981367,3.337641,0.392713,1.806204,4.724997,-0.240135,6.272278
0.020000,1.019377,3.337208,0.430726,1.900614,4.720483,-0.225721,6.271288
0.020000,1.059273,3.336713,0.470624,1.994923,4.715485,-0.249866,6.270261
0.020000,1.101051,3.336150,0.512407,2.089129,4.710278,-0.260368,6.269200
0.020000,1.144711,3.335516,0.556071,2.183218,4.704451,-0.291342,6.268107
0.020000,1.190250,3.334804,0.601615,2.277199,4.699053,-0.269883,6.266983
0.020000,1.237664,3.334008,0.649036,2.371060,4.693045,-0.300403,6.265831
0.020000,1.286952,3.333123,0.698332,2.464797,4.686878,-0.308350,6.264652
0.020000,1.338111,3.332144,0.749500,2.558400,4.680132,-0.337311,6.263451
0.020000,1.391137,3.331065,0.802538,2.651875,4.673760,-0.318621,6.262228
0.020000,1.446029,3.329880,0.857442,2.745212,4.666849,-0.345540,6.260986
0.020000,1.502782,3.328584,0.914210,2.838405,4.659648,-0.360070,6.259728
0.020000,1.561394,3.327172,0.972839,2.931448,4.652115,-0.376607,6.258457
0.020000,1.621861,3.325637,1.033326,3.024343,4.644751,-0.368219,6.257176
0.020000,1.684181,3.323976,1.095667,3.117080,4.636873,-0.393881,6.255886
0.020000,1.748349,3.322182,1.159860,3.209657,4.628842,-0.401549,6.254592
0.020000,1.814362,3.320251,1.225902,3.302068,4.620574,-0.413445,6.253295
0.020000,1.882216,3.318178,1.293788,3.394304,4.611783,-0.439517,6.252000
0.020000,1.951909,3.315958,1.363515,3.486376,4.603624,-0.407976,6.250709
0.020000,2.023434,3.313589,1.435081,3.578258,4.594058,-0.478287,6.249426
0.020000,2.096790,3.311064,1.508480,3.669965,4.585368,-0.434491,6.248154
0.020000,2.171972,3.308382,1.583710,3.761482,4.575859,-0.475457,6.246897
0.020000,2.248976,3.305538,1.660766,3.852806,4.566203,-0.482817,6.245657
0.020000,2.327797,3.302530,1.739644,3.943934,4.556391,-0.490571,6.244438
0.020000,2.408432,3.299356,1.820342,4.034862,4.546416,-0.498784,6.243245
0.020000,2.490876,3.296013,1.902853,4.125588,4.536265,-0.507525,6.242081
0.020000,2.575125,3.292500,1.987175,4.216095,4.525377,-0.544416,6.240949
0.020000,2.661174,3.288815,2.073303,4.306399,4.515202,-0.508735,6.239853
0.020000,2.749019,3.284960,2.161233,4.396478,4.503941,-0.563032,6.238799
0.020000,2.838655,3.280932,2.250960,4.486336,4.492919,-0.551116,6.237788
0.020000,2.930078,3.276735,2.342479,4.575969,4.481607,-0.565623,6.236827
0.020000,3.023283,3.272368,2.435786,4.665369,4.470013,-0.579686,6.235918
0.020000,3.118266,3.267834,2.530877,4.754533,4.458228,-0.589258,6.235066
0.020000,3.215021,3.263135,2.627746,4.843454,4.446025,-0.610118,6.234276
0.020000,3.313544,3.258276,2.726389,4.932133,4.433954,-0.603556,6.233552
0.020000,3.413791,3.253263,2.826761,5.018624,4.324551,-5.470142,6.232899
0.020000,3.515680,3.248105,2.928781,5.100999,4.118735,-10.290812,6.232321
0.020000,3.619130,3.242812,3.032366,5.179263,3.913212,-10.276151,6.231824
0.020000,3.724059,3.237395,3.137435,5.253432,3.708459,-10.237668,6.231412
0.020000,3.830386,3.231868,3.243905,5.323515,3.504151,-10.215400,6.231089
0.020000,3.938030,3.226241,3.351696,5.389524,3.300423,-10.186392,6.230860
0.020000,4.046909,3.220531,3.460725,5.451469,3.097294,-10.156447,6.230729
0.020000,4.156945,3.214751,3.570912,5.509365,2.894776,-10.125881,6.230698
0.020000,4.268056,3.208917,3.682177,5.563223,2.692919,-10.092867,6.230772
0.020000,4.380164,3.203045,3.794438,5.613057,2.491666,-10.062624,6.230955
0.020000,4.493188,3.197152,3.907616,5.658880,2.291169,-10.024889,6.231248
0.020000,4.607049,3.191255,4.021630,5.700704,2.091198,-9.998540,6.231655
0.020000,4.721669,3.185372,4.136401,5.738547,1.892132,-9.953277,6.232177
0.020000,4.836969,3.179522,4.251849,5.772418,1.693579,-9.927692,6.232819
0.020000,4.952871,3.173722,4.367896,5.802334,1.495805,-9.888657,6.233581
0.020000,5.069296,3.167993,4.484462,5.828313,1.298935,-9.843530,6.234464
0.020000,5.186168,3.162352,4.601469,5.850365,1.102600,-9.816723,6.235472
0.020000,5.303407,3.156819,4.718839,5.868507,0.907078,-9.776102,6.236604
0.020000,5.420938,3.151413,4.836495,5.882754,0.712366,-9.735625,6.237861
0.020000,5.538683,3.146153,4.954357,5.893123,0.518440,-9.696308,6.239245
0.020000,5.656566,3.141058,5.072350,5.899629,0.325310,-9.656473,6.240755
0.020000,5.774509,3.136146,5.190395,5.902289,0.132988,-9.616115,6.242392
0.020000,5.892438,3.131436,5.308418,5.901120,-0.058435,-9.571142,6.244155
0.020000,6.010275,3.126944,5.426340,5.896136,-0.249185,-9.537502,6.246043
0.020000,6.127983,3.122688,5.544125,5.889242,-0.344703,-4.775910,6.248057
0.020000,6.245561,3.118681,5.661772,5.882330,-0.345599,-0.044806,6.250197
0.020000,6.363009,3.114937,5.779280,5.875400,-0.346528,-0.046447,6.252462
0.020000,6.480327,3.111470,5.896649,5.868450,-0.347486,-0.047882,6.254854
0.020000,6.597514,3.108296,6.013879,5.861481,-0.348468,-0.049096,6.257372
0.020000,6.714568,3.105427,6.130968,5.854491,-0.349469,-0.050074,6.260018
0.020000,6.831490,3.102879,6.247918,5.847482,-0.350485,-0.050800,6.262791
0.020000,6.948278,3.100665,6.364727,5.840451,-0.351510,-0.051257,6.265692
0.020000,7.064931,3.098799,6.481395,5.833401,-0.352539,-0.051430,6.268721
0.020000,7.181448,3.097297,6.597922,5.826329,-0.353565,-0.051302,6.271878
0.020000,7.297828,3.096171,6.714306,5.819238,-0.354582,-0.050854,6.275165
0.020000,7.414068,3.095436,6.830549,5.812126,-0.355584,-0.050070,6.278581
0.020000,7.530167,3.095106,6.946649,5.804995,-0.356562,-0.048930,6.282126
0.020000,7.646124,3.095195,7.062606,5.797844,-0.357511,-0.047418,0.002617
0.020000,7.761936,3.095717,7.178419,5.790676,-0.358421,-0.045513,0.006422
0.020000,7.877602,3.096686,7.294089,5.783490,-0.359285,-0.043198,0.010359
0.020000,7.993119,3.098116,7.409615,5.776288,-0.360094,-0.040454,0.014426
0.020000,8.108485,3.100022,7.524996,5.769072,-0.360839,-0.037261,0.018625
0.020000,8.223697,3.102416,7.640233,5.761841,-0.361511,-0.033601,0.022955
0.020000,8.338752,3.105313,7.755325,5.754599,-0.362100,-0.029455,0.027417
0.020000,8.453649,3.108726,7.870272,5.747348,-0.362596,-0.024806,0.032010
0.020000,8.568383,3.112670,7.985074,5.740088,-0.362989,-0.019635,0.036736
0.020000,8.682951,3.117158,8.099730,5.732822,-0.363268,-0.013926,0.041593
0.020000,8.797351,3.122204,8.214241,5.725554,-0.363421,-0.007662,0.046583
0.020000,8.911579,3.127821,8.328607,5.718285,-0.363437,-0.000828,0.051705
0.020000,9.025631,3.134022,8.442827,5.711019,-0.363306,0.006591,0.056959
0.020000,9.139503,3.140822,8.556902,5.703759,-0.363013,0.014607,0.062345
0.020000,9.253192,3.148233,8.670833,5.696508,-0.362549,0.023231,0.067863
0.020000,9.366693,3.156268,8.784618,5.689270,-0.361899,0.032474,0.073513
0.020000,9.480003,3.164941,8.898259,5.682049,-0.361052,0.042342,0.079294
0.020000,9.593116,3.174264,9.011756,5.674849,-0.359996,0.052840,0.085205
0.020000,9.706029,3.184251,9.125109,5.667675,-0.358716,0.063973,0.091247
0.020000,9.818736,3.194913,9.238320,5.660531,-0.357201,0.075739,0.097419
0.020000,9.931233,3.206264,9.351389,5.653422,-0.355439,0.088136,0.103721
0.020000,10.043516,3.218315,9.464316,5.646353,-0.353416,0.101158,0.110150
0.020000,10.155578,3.231080,9.577102,5.639331,-0.351120,0.114795,0.116708
0.020000,10.267414,3.244570,9.689749,5.632360,-0.348539,0.129035,0.123392
0.020000,10.379020,3.258796,9.802258,5.625447,-0.345662,0.143861,0.130202
0.020000,10.490390,3.273771,9.914630,5.618598,-0.342477,0.159253,0.137136
0.020000,10.601518,3.289505,10.026867,5.611818,-0.338973,0.175185,0.144194
0.020000,10.712398,3.306011,10.138969,5.605115,-0.335140,0.191630,0.151373
0.020000,10.823026,3.323298,10.250939,5.598496,-0.330969,0.208553,0.158673
0.020000,10.933394,3.341378,10.362778,5.591967,-0.326451,0.225917,0.166092
0.020000,11.043497,3.360261,10.474489,5.585535,-0.321577,0.243682,0.173627
0.020000,11.153329,3.379957,10.586073,5.579209,-0.316341,0.261800,0.181278
0.020000,11.262884,3.400476,10.697533,5.572994,-0.310737,0.280222,0.189041
0.020000,11.372156,3.421827,10.808871,5.566899,-0.304759,0.298894,0.196915
0.020000,11.481137,3.444021,10.920090,5.560931,-0.298404,0.317759,0.204898
0.020000,11.589823,3.467065,11.031192,5.555097,-0.291669,0.336755,0.212987
0.020000,11.698207,3.490969,11.142180,5.549406,-0.284552,0.355819,0.221179
0.020000,11.806281,3.515741,11.253057,5.543862,-0.277204,0.367402,0.229472
0.020000,11.914041,3.541388,11.363826,5.538475,-0.269330,0.393730,0.237863
0.020000,12.021478,3.567919,11.474492,5.533255,-0.261017,0.415621,0.246349
0.020000,12.128588,3.595340,11.585056,5.528207,-0.252407,0.430534,0.254927
0.020000,12.235363,3.623659,11.695522,5.523338,-0.243430,0.448809,0.263593
