dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.589204,2.239821,0.000040,0.004000,0.200000,10.000000,0.000458
0.020000,0.589204,2.239821,0.000200,0.012000,0.400000,10.000000,0.000453
0.020000,0.589204,2.239821,0.000560,0.024000,0.600000,10.000000,0.000442
0.020000,0.589204,2.239821,0.001200,0.040000,0.800000,10.000000,0.000422
0.020000,0.589204,2.239821,0.002200,0.060000,1.000000,10.000000,0.000392
0.020000,0.589204,2.239821,0.003640,0.084000,1.200000,10.000000,0.000348
0.020000,0.589204,2.239821,0.005600,0.112000,1.400000,10.000000,0.000288
0.020000,0.589204,2.239821,0.008160,0.144000,1.600000,10.000000,0.000210
0.020000,0.589204,2.239821,0.011400,0.180000,1.800000,10.000000,0.000111
0.020000,0.589547,2.239821,0.015400,0.220000,2.000000,10.000000,6.283175
0.020000,0.594346,2.239821,0.020200,0.260000,2.000000,0.000000,6.283029
0.020000,0.599946,2.239820,0.025800,0.300000,2.000000,0.000000,6.282859
0.020000,0.606346,2.239817,0.032200,0.340000,2.000000,-0.000000,6.282665
0.020000,0.613546,2.239812,0.039400,0.380000,2.000000,0.000000,6.282448
0.020000,0.621546,2.239805,0.047400,0.420000,2.000000,0.000000,6.282207
0.020000,0.630346,2.239796,0.056200,0.460000,2.000000,0.000000,6.281942
0.020000,0.639946,2.239782,0.065800,0.500000,2.000000,-0.000000,6.281654
0.020000,0.650346,2.239765,0.076200,0.540000,2.000000,0.000000,6.281343
0.020000,0.661546,2.239742,0.087400,0.580000,2.000000,-0.000000,6.281009
0.020000,0.673546,2.239714,0.099400,0.620000,2.000000,0.000000,6.280653
0.020000,0.686346,2.239679,0.112200,0.660000,2.000000,-0.000000,6.280274
0.020000,0.699946,2.239637,0.125800,0.700000,2.000000,-0.000000,6.279874
0.020000,0.714346,2.239586,0.140200,0.740000,2.000000,0.000000,6.279451
0.020000,0.729546,2.239526,0.155400,0.780000,2.000000,0.000000,6.279007
0.020000,0.745546,2.239455,0.171400,0.820000,2.000000,-0.000000,6.278542
0.020000,0.762346,2.239373,0.188200,0.860000,2.000000,0.000000,6.278056
0.020000,0.779945,2.239279,0.205800,0.900000,2.000000,-0.000000,6.277550
0.020000,0.798345,2.239170,0.224200,0.940000,2.000000,0.000000,6.277024
0.020000,0.817545,2.239047,0.243400,0.980000,2.000000,-0.000000,6.276478
0.020000,0.837544,2.238907,0.263400,1.020000,2.000000,0.000000,6.275913
0.020000,0.858344,2.238749,0.284200,1.060000,2.000000,0.000000,6.275329
0.020000,0.879943,2.238573,0.305800,1.100000,2.000000,-0.000000,6.274727
0.020000,0.902342,2.238377,0.328200,1.140000,2.000000,0.000000,6.274107
0.020000,0.925541,2.238159,0.351400,1.180000,2.000000,-0.000000,6.273469
0.020000,0.949540,2.237918,0.375400,1.220000,2.000000,0.000000,6.272815
0.020000,0.974338,2.237652,0.400200,1.260000,2.000000,0.000000,6.272144
0.020000,0.999937,2.237361,0.425800,1.300000,2.000000,-0.000000,6.271457
0.020000,1.026335,2.237042,0.452200,1.340000,2.000000,0.000000,6.270755
0.020000,1.053533,2.236694,0.479400,1.380000,2.000000,0.000000,6.270038
0.020000,1.081530,2.236316,0.507400,1.420000,2.000000,0.000000,6.269308
0.020000,1.110327,2.235905,0.536200,1.460000,2.000000,0.000000,6.268563
0.020000,1.139924,2.235461,0.565800,1.500000,2.000000,0.000000,6.267806
0.020000,1.170320,2.234982,0.596200,1.540000,2.000000,0.000000,6.267036
0.020000,1.201516,2.234466,0.627400,1.580000,2.000000,-0.000000,6.266254
0.020000,1.233511,2.233911,0.659400,1.620000,2.000000,0.000000,6.265462
0.020000,1.266306,2.233317,0.692200,1.660000,2.000000,-0.000000,6.264659
0.020000,1.299900,2.232681,0.725800,1.700000,2.000000,-0.000000,6.263846
0.020000,1.334293,2.232001,0.760200,1.740000,2.000000,0.000000,6.263025
0.020000,1.369485,2.231277,0.795400,1.780000,2.000000,0.000000,6.262195
0.020000,1.405477,2.230507,0.831400,1.820000,2.000000,-0.000000,6.261358
0.020000,1.442268,2.229688,0.868200,1.860000,2.000000,0.000000,6.260514
0.020000,1.479858,2.228819,0.905800,1.900000,2.000000,0.000000,6.259664
0.020000,1.518247,2.227900,0.944200,1.940000,2.000000,0.000000,6.258809
0.020000,1.557435,2.226927,0.983400,1.980000,2.000000,-0.000000,6.257949
0.020000,1.597422,2.225901,1.023400,2.020000,2.000000,0.000000,6.257086
0.020000,1.638207,2.224818,1.064200,2.060000,2.000000,-0.000000,6.256221
0.020000,1.679792,2.223679,1.105800,2.100000,2.000000,-0.000000,6.255353
0.020000,1.722175,2.222480,1.148200,2.140000,2.000000,0.000000,6.254484
0.020000,1.765357,2.221222,1.191400,2.180000,2.000000,-0.000000,6.253616
0.020000,1.809337,2.219902,1.235400,2.220000,2.000000,-0.000000,6.252748
0.020000,1.854115,2.218519,1.280200,2.260000,2.000000,0.000000,6.251881
0.020000,1.899692,2.217072,1.325800,2.300000,2.000000,0.000000,6.251018
0.020000,1.946068,2.215560,1.372200,2.340000,2.000000,-0.000000,6.250158
0.020000,1.993241,2.213981,1.419400,2.380000,2.000000,0.000000,6.249302
0.020000,2.041213,2.212334,1.467400,2.420000,2.000000,0.000000,6.248452
0.020000,2.089983,2.210619,1.516200,2.460000,2.000000,0.000000,6.247608
0.020000,2.139551,2.208834,1.565800,2.500000,2.000000,0.000000,6.246772
0.020000,2.189917,2.206978,1.616200,2.540000,2.000000,0.000000,6.245944
0.020000,2.241080,2.205051,1.667400,2.580000,2.000000,0.000000,6.245126
0.020000,2.293042,2.203051,1.719400,2.620000,2.000000,0.000000,6.244318
0.020000,2.345801,2.200978,1.772200,2.660000,2.000000,0.000000,6.243522
0.020000,2.399358,2.198832,1.825800,2.700000,2.000000,0.000000,6.242738
