dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.589662,1.239821,0.000040,0.004000,0.200000,10.000000,0.000458
0.020000,0.589657,1.239821,0.000045,0.000244,-0.187785,-19.389266,0.000453
0.020000,0.589646,1.239821,0.000056,0.000550,0.015266,10.152579,0.000442
0.020000,0.589626,1.239821,0.000075,0.000977,0.021367,0.305033,0.000422
0.020000,0.589596,1.239821,0.000106,0.001526,0.027459,0.304584,0.000392
0.020000,0.589552,1.239821,0.000150,0.002197,0.033536,0.303849,0.000348
0.020000,0.589492,1.239821,0.000210,0.002989,0.039591,0.302756,0.000288
0.020000,0.589414,1.239821,0.000288,0.003901,0.045615,0.301235,0.000210
0.020000,0.589315,1.239821,0.000386,0.004933,0.051600,0.299213,0.000111
0.020000,0.589536,1.239821,0.000607,0.011045,0.305579,12.698948,6.283175
0.020000,0.594190,1.239821,0.005261,0.232706,11.083059,538.874007,6.283029
0.020000,0.599620,1.239820,0.010691,0.271508,1.940092,-457.148315,6.282859
0.020000,0.605827,1.239817,0.016898,0.310313,1.940260,0.008371,6.282665
0.020000,0.612809,1.239813,0.023880,0.349120,1.940377,0.005864,6.282448
0.020000,0.620568,1.239806,0.031639,0.387943,1.941136,0.037962,6.282207
0.020000,0.629103,1.239796,0.040174,0.426767,1.941219,0.004126,6.281942
0.020000,0.638415,1.239784,0.049486,0.465605,1.941879,0.032997,6.281654
0.020000,0.648504,1.239767,0.059576,0.504456,1.942553,0.033713,6.281343
0.020000,0.659371,1.239745,0.070442,0.543310,1.942694,0.007038,6.281009
0.020000,0.671014,1.239717,0.082085,0.582181,1.943554,0.043008,6.280653
0.020000,0.683435,1.239683,0.094507,0.621066,1.944250,0.034820,6.280274
0.020000,0.696635,1.239642,0.107706,0.659964,1.944901,0.032516,6.279874
0.020000,0.710612,1.239593,0.121684,0.698876,1.945608,0.035386,6.279451
0.020000,0.725368,1.239535,0.136440,0.737804,1.946374,0.038252,6.279007
0.020000,0.740903,1.239466,0.151975,0.776748,1.947196,0.041113,6.278542
0.020000,0.757217,1.239387,0.168289,0.815709,1.948075,0.043970,6.278056
0.020000,0.774310,1.239295,0.185383,0.854689,1.949012,0.046820,6.277550
0.020000,0.792184,1.239189,0.203256,0.893689,1.950005,0.049663,6.277024
0.020000,0.810838,1.239069,0.221910,0.932705,1.950782,0.038845,6.276478
0.020000,0.830272,1.238933,0.241345,0.971743,1.951874,0.054618,6.275913
0.020000,0.850488,1.238780,0.261561,1.010807,1.953234,0.067998,6.275329
0.020000,0.871485,1.238609,0.282559,1.049886,1.953940,0.035314,6.274727
0.020000,0.893264,1.238418,0.304339,1.088994,1.955411,0.073544,6.274107
0.020000,0.915825,1.238206,0.326901,1.128123,1.956415,0.050180,6.273469
0.020000,0.939169,1.237972,0.350247,1.167281,1.957903,0.074405,6.272815
0.020000,0.963297,1.237713,0.374376,1.206456,1.958752,0.042475,6.272144
0.020000,0.988209,1.237430,0.399290,1.245666,1.960535,0.089128,6.271457
0.020000,1.013905,1.237119,0.424988,1.284903,1.961819,0.064195,6.270755
