dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.918214,24.438142,0.000625,0.025000,0.500000,10.000000,6.281302
0.050000,0.917958,24.438143,0.000881,0.005125,-0.397508,-17.950153,6.281507
0.050000,0.917382,24.438143,0.001457,0.011519,0.127878,10.507707,6.281968
0.050000,0.916360,24.438144,0.002479,0.020437,0.178365,1.009739,6.282785
0.050000,0.925490,24.438149,0.011609,0.182598,3.243216,61.297021,0.000873
0.050000,0.945711,24.438185,0.031830,0.404429,4.436622,23.868123,0.002696
0.050000,0.973259,24.438293,0.059378,0.550958,2.930578,-30.120875,0.005158
0.050000,1.009280,24.438536,0.095400,0.720436,3.389561,9.179665,0.008340
0.050000,1.054934,24.439008,0.141057,0.913139,3.854067,9.290109,0.012314
0.050000,1.111398,24.439840,0.197526,1.129392,4.325058,9.419816,0.017140
0.050000,1.179291,24.441197,0.265434,1.358140,4.574969,4.998234,0.022813
0.050000,1.258689,24.443267,0.344858,1.588490,4.606993,0.640469,0.029275
0.050000,1.349664,24.446260,0.435882,1.820479,4.639791,0.655966,0.036455
0.050000,1.452298,24.450407,0.538600,2.054360,4.677603,0.756243,0.044280
0.050000,1.566679,24.455960,0.653116,2.290317,4.719146,0.830865,0.052668
0.050000,1.692888,24.463178,0.779532,2.528314,4.759939,0.815847,0.061534
0.050000,1.831016,24.472336,0.917962,2.768614,4.806009,0.921397,0.070789
0.050000,1.981143,24.483708,1.068519,3.011142,4.850548,0.890780,0.080343
0.050000,2.143350,24.497574,1.231318,3.255965,4.896458,0.918215,0.090104
0.050000,2.317714,24.514205,1.406474,3.503125,4.943203,0.934887,0.099979
0.050000,2.504307,24.533867,1.594099,3.752508,4.987656,0.889062,0.109878
0.050000,2.703195,24.556811,1.794306,4.004144,5.032721,0.901311,0.119711
0.050000,2.914445,24.583273,2.007208,4.258030,5.077722,0.900015,0.129390
0.050000,3.138117,24.613466,2.232908,4.514004,5.119484,0.835229,0.138829
0.050000,3.374271,24.647579,2.471513,4.772098,5.161882,0.847975,0.147944
0.050000,3.622965,24.685770,2.723122,5.032182,5.201675,0.795843,0.156656
0.050000,3.884262,24.728165,2.987836,5.294280,5.241959,0.805686,0.164886
0.050000,4.158224,24.774855,3.265749,5.558250,5.279406,0.748944,0.172555
0.050000,4.444925,24.825887,3.556956,5.824143,5.317864,0.769158,0.179588
0.050000,4.744447,24.881269,3.861555,6.091987,5.356875,0.780229,0.185909
0.050000,5.056885,24.940956,4.179643,6.361752,5.395309,0.768682,0.191439
0.050000,5.382348,25.004853,4.511319,6.633526,5.435476,0.803321,0.196098
0.050000,5.720362,25.072683,4.856072,6.895059,5.230661,-4.096301,0.199795
0.050000,6.069861,25.143972,5.212767,7.133900,4.776821,-9.076800,0.202440
0.050000,6.429784,25.218168,5.580258,7.349821,4.318411,-9.168182,0.203947
0.050000,6.799084,25.294644,5.957393,7.542702,3.857622,-9.215787,0.204239
0.050000,7.176720,25.372709,6.343014,7.712413,3.394225,-9.267937,0.203243
0.050000,7.561660,25.451614,6.735958,7.858882,2.929375,-9.297008,0.200888
0.050000,7.952879,25.530557,7.135062,7.982081,2.463973,-9.308037,0.197105
0.050000,8.349351,25.608694,7.539161,8.081974,1.997867,-9.322128,0.191826
0.050000,8.750051,25.685147,7.947089,8.158572,1.531957,-9.318184,0.184982
0.050000,9.153946,25.759011,8.357683,8.211868,1.065926,-9.320633,0.176506
0.050000,9.560629,25.829471,8.770424,8.254823,0.859103,-4.136455,0.166313
0.050000,9.970331,25.895778,9.185457,8.300668,0.916886,1.155660,0.154285
0.050000,10.383299,25.957114,9.602955,8.349952,0.985693,1.376150,0.140283
0.050000,10.799792,26.012579,10.023125,8.403402,1.069006,1.666250,0.124144
0.050000,11.220077,26.061168,10.446209,8.461691,1.165764,1.935168,0.105672
0.050000,11.644417,26.101759,10.872486,8.525542,1.277017,2.225056,0.084644
0.050000,12.073066,26.133086,11.302279,8.595844,1.406043,2.580525,0.060802
0.050000,12.506248,26.153711,11.735952,8.673461,1.552352,2.926169,0.033854
0.050000,12.944126,26.162005,12.173907,8.759115,1.713069,3.214333,0.003476
0.050000,13.386767,26.156115,12.616588,8.853606,1.889835,3.535322,6.252500
0.050000,13.834085,26.133945,13.064455,8.957350,2.074872,3.700745,6.214183
0.050000,14.285763,26.093149,13.517972,9.070328,2.259567,3.693907,6.171342
0.050000,14.741146,26.031142,13.977557,9.191706,2.427555,3.359747,6.123638
0.050000,15.199123,25.945158,14.443536,9.319578,2.557437,2.597644,6.070812
0.050000,15.657978,25.832364,14.916051,9.450297,2.614387,1.138999,6.012747
0.050000,16.115268,25.690060,15.394971,9.578406,2.562176,-1.044218,5.949545
0.050000,16.567763,25.515955,15.879805,9.696688,2.365635,-3.930809,5.881603
0.050000,17.011482,25.308516,16.369618,9.796259,1.991424,-7.484231,5.809667
0.050000,17.441922,25.067304,16.863038,9.868382,1.442462,-10.979230,5.734839
0.050000,17.854449,24.793204,17.358324,9.905734,0.747030,-13.908640,5.658512
0.050000,18.244809,24.488444,17.853562,9.904746,-0.019755,-15.335715,5.582225
0.050000,18.609600,24.156372,18.346861,9.865988,-0.775151,-15.107905,5.507492
0.050000,18.946610,23.801036,18.836595,9.794682,-1.426125,-13.019480,5.435623
0.050000,19.254879,23.426720,19.321509,9.698282,-1.928013,-10.037775,5.367614
0.050000,19.534597,23.037501,19.800815,9.586116,-2.243321,-6.306151,5.304102
0.050000,19.786831,22.636976,20.274145,9.466608,-2.390144,-2.936467,5.245387
0.050000,20.013202,22.228177,20.741437,9.345830,-2.415574,-0.508593,5.191505
0.050000,20.215660,21.813494,21.202903,9.229319,-2.330214,1.707208,5.142292
0.050000,20.396243,21.394786,21.658892,9.119793,-2.190508,2.794103,5.097469
0.050000,20.556955,20.973457,22.109832,9.018801,-2.019845,3.413274,5.056691
0.050000,20.699687,20.550542,22.556183,8.927013,-1.835760,3.681685,5.019591
0.050000,20.826168,20.126806,22.998393,8.844202,-1.656220,3.590803,4.985803
0.050000,20.937963,19.702788,23.436901,8.770164,-1.480762,3.509159,4.954982
0.050000,21.036465,19.278882,23.872101,8.703987,-1.323532,3.144604,4.926810
0.050000,21.122909,18.855369,24.304347,8.644917,-1.181419,2.842263,4.901002
0.050000,21.198389,18.432430,24.733967,8.592416,-1.050004,2.628296,4.877298
0.050000,21.263869,18.010204,25.161241,8.545480,-0.938717,2.225734,4.855473
0.050000,21.320204,17.588770,25.586424,8.503646,-0.836695,2.040447,4.835326
0.050000,21.368145,17.168201,26.009717,8.465860,-0.755717,1.619563,4.816681
0.050000,21.408366,16.748507,26.431333,8.432324,-0.670708,1.700182,4.799382
0.050000,21.441460,16.329710,26.851436,8.402052,-0.605459,1.304974,4.783294
0.050000,21.467959,15.911807,27.270178,8.374847,-0.544093,1.227331,4.768297
0.050000,21.488337,15.494794,27.687689,8.350215,-0.492635,1.029147,4.754285
0.050000,21.503020,15.078643,28.104098,8.328191,-0.440485,1.042997,4.741166
0.050000,21.512390,14.663379,28.519469,8.307409,-0.415631,0.497093,4.728857
0.050000,21.516794,14.248944,28.933927,8.289166,-0.364864,1.015329,4.717286
0.050000,21.514877,13.825438,29.357437,8.470200,3.620683,79.710943,4.693027
0.050000,21.499428,13.387264,29.795883,8.768923,5.974446,47.075271,4.662257
0.050000,21.472444,12.957835,30.226160,8.605529,-3.267862,-184.846166,4.638027
0.050000,21.437136,12.537159,30.648315,8.443101,-3.248578,0.385683,4.620299
0.050000,21.396513,12.125040,31.062431,8.282326,-3.215494,0.661670,4.609004
0.050000,21.353393,11.721185,31.468581,8.123008,-3.186361,0.582667,4.604083
0.050000,21.310420,11.325290,31.866802,7.964409,-3.171979,0.287631,4.605507
0.050000,21.270083,10.937102,32.257080,7.805561,-3.176961,-0.099638,4.613284
0.050000,21.234743,10.556461,32.639358,7.645562,-3.199984,-0.460453,4.627459
0.050000,21.206634,10.183324,33.013552,7.483873,-3.233766,-0.675651,4.648098
0.050000,21.187863,9.817773,33.379584,7.320652,-3.264417,-0.613013,4.675263
0.050000,21.180391,9.459996,33.737439,7.157100,-3.271040,-0.132455,4.708966
0.050000,21.186004,9.110251,34.087230,6.995813,-3.225744,0.905914,4.749114
0.050000,21.206279,8.768801,34.429281,6.841023,-3.095804,2.598806,4.795449
