dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.915860,23.188144,0.000625,0.025000,0.500000,10.000000,6.281302
0.050000,0.915860,23.188144,0.003125,0.075000,1.000000,10.000000,6.281507
0.050000,0.915860,23.188144,0.008750,0.150000,1.500000,10.000000,6.281968
0.050000,0.915860,23.188144,0.018750,0.250000,2.000000,10.000000,6.282785
0.050000,0.926581,23.188149,0.034375,0.375000,2.500000,10.000000,0.000873
0.050000,0.949081,23.188189,0.056875,0.525000,3.000000,10.000000,0.002696
0.050000,0.979706,23.188310,0.087500,0.700000,3.500000,10.000000,0.005158
0.050000,1.019705,23.188580,0.127500,0.900000,4.000000,10.000000,0.008340
0.050000,1.070327,23.189103,0.178125,1.125000,4.500000,10.000000,0.012314
0.050000,1.132822,23.190024,0.240625,1.375000,5.000000,10.000000,0.017140
0.050000,1.207806,23.191522,0.315625,1.625000,5.000000,0.000000,0.022813
0.050000,1.295277,23.193802,0.403125,1.875000,5.000000,0.000000,0.029275
0.050000,1.395223,23.197090,0.503125,2.125000,5.000000,0.000000,0.036455
0.050000,1.507630,23.201633,0.615625,2.375000,5.000000,0.000000,0.044280
0.050000,1.632483,23.207693,0.740625,2.625000,5.000000,0.000000,0.052668
0.050000,1.769757,23.215544,0.878125,2.875000,5.000000,0.000000,0.061534
0.050000,1.919428,23.225466,1.028125,3.125000,5.000000,0.000000,0.070789
0.050000,2.081464,23.237741,1.190625,3.375000,5.000000,0.000000,0.080343
0.050000,2.255827,23.252644,1.365625,3.625000,5.000000,0.000000,0.090104
0.050000,2.442481,23.270447,1.553125,3.875000,5.000000,0.000000,0.099979
0.050000,2.641379,23.291405,1.753125,4.125000,5.000000,0.000000,0.109878
0.050000,2.852477,23.315757,1.965625,4.375000,5.000000,0.000000,0.119711
0.050000,3.075732,23.343722,2.190625,4.625000,5.000000,0.000000,0.129390
0.050000,3.311096,23.375493,2.428125,4.875000,5.000000,0.000000,0.138829
0.050000,3.558527,23.411234,2.678125,5.125000,5.000000,0.000000,0.147944
0.050000,3.817985,23.451077,2.940625,5.375000,5.000000,0.000000,0.156656
0.050000,4.089436,23.495119,3.215625,5.625000,5.000000,0.000000,0.164886
0.050000,4.372849,23.543418,3.503125,5.875000,5.000000,0.000000,0.172555
0.050000,4.668206,23.595991,3.803125,6.125000,5.000000,0.000000,0.179588
0.050000,4.975497,23.652808,4.115625,6.375000,5.000000,0.000000,0.185909
0.050000,5.294724,23.713791,4.440625,6.625000,5.000000,0.000000,0.191439
0.050000,5.625902,23.778810,4.778125,6.875000,5.000000,0.000000,0.196098
0.050000,5.968448,23.847549,5.127500,7.100000,4.500000,-10.000000,0.199795
0.050000,6.321186,23.919498,5.487500,7.300000,4.000000,-10.000000,0.202440
0.050000,6.682954,23.994074,5.856875,7.475000,3.500000,-10.000000,0.203947
0.050000,7.052611,24.070624,6.234375,7.625000,3.000000,-10.000000,0.204239
0.050000,7.429028,24.148438,6.618750,7.750000,2.500000,-10.000000,0.203243
0.050000,7.811084,24.226751,7.008750,7.850000,2.000000,-10.000000,0.200888
0.050000,8.197668,24.304760,7.403125,7.925000,1.500000,-10.000000,0.197105
0.050000,8.587666,24.381622,7.800625,7.975000,1.000000,-10.000000,0.191826
0.050000,8.979963,24.456473,8.200000,8.000000,0.500000,-10.000000,0.184982
0.050000,9.373436,24.528432,8.600000,8.000000,0.000000,-10.000000,0.176506
0.050000,9.767562,24.596719,9.000000,8.000000,0.000000,0.000000,0.166313
0.050000,10.162423,24.660626,9.400000,8.000000,0.000000,0.000000,0.154285
0.050000,10.558078,24.719394,9.800000,8.000000,0.000000,0.000000,0.140283
0.050000,10.954573,24.772198,10.200000,8.000000,0.000000,0.000000,0.124144
0.050000,11.351921,24.818141,10.600000,8.000000,0.000000,0.000000,0.105672
0.050000,11.750095,24.856234,11.000000,8.000000,0.000000,0.000000,0.084644
0.050000,12.149021,24.885395,11.400000,8.000000,0.000000,0.000000,0.060802
0.050000,12.548558,24.904428,11.800000,8.000000,0.000000,0.000000,0.033854
0.050000,12.948470,24.912013,12.200000,8.000000,0.000000,0.000000,0.003476
0.050000,13.348416,24.906703,12.600000,8.000000,0.000000,0.000000,6.252500
0.050000,13.747901,24.886920,13.000000,8.000000,0.000000,0.000000,6.214183
0.050000,14.146250,24.850959,13.400000,8.000000,0.000000,0.000000,6.171342
0.050000,14.542557,24.797018,13.800000,8.000000,0.000000,0.000000,6.123638
0.050000,14.935647,24.723241,14.200000,8.000000,0.000000,0.000000,6.070812
0.050000,15.324036,24.627797,14.600000,8.000000,0.000000,0.000000,6.012747
0.050000,15.705913,24.508989,15.000000,8.000000,0.000000,0.000000,5.949545
0.050000,16.079169,24.365400,15.400000,8.000000,0.000000,0.000000,5.881603
0.050000,16.441456,24.196054,15.800000,8.000000,0.000000,0.000000,5.809667
0.050000,16.790327,24.000569,16.200000,8.000000,0.000000,0.000000,5.734839
0.050000,17.123408,23.779262,16.600000,8.000000,0.000000,0.000000,5.658512
0.050000,17.438619,23.533165,17.000000,8.000000,0.000000,0.000000,5.582225
0.050000,17.734336,23.263953,17.400000,8.000000,0.000000,0.000000,5.507492
0.050000,18.009524,22.973771,17.800000,8.000000,0.000000,0.000000,5.435623
0.050000,18.263741,22.665048,18.200000,8.000000,0.000000,0.000000,5.367614
0.050000,18.497114,22.340271,18.600000,8.000000,0.000000,0.000000,5.304102
0.050000,18.710221,22.001829,19.000000,8.000000,0.000000,0.000000,5.245387
0.050000,18.903949,21.651934,19.400000,8.000000,0.000000,0.000000,5.191505
0.050000,19.079402,21.292515,19.800000,8.000000,0.000000,0.000000,5.142292
0.050000,19.237782,20.925244,20.200000,8.000000,0.000000,0.000000,5.097469
0.050000,19.380316,20.551531,20.600000,8.000000,0.000000,0.000000,5.056691
0.050000,19.508207,20.172552,21.000000,8.000000,0.000000,0.000000,5.019591
0.050000,19.622599,19.789281,21.400000,8.000000,0.000000,0.000000,4.985803
0.050000,19.724565,19.402513,21.800000,8.000000,0.000000,0.000000,4.954982
0.050000,19.815090,19.012905,22.200000,8.000000,0.000000,0.000000,4.926810
0.050000,19.895077,18.620998,22.600000,8.000000,0.000000,0.000000,4.901002
0.050000,19.965347,18.227227,23.000000,8.000000,0.000000,0.000000,4.877298
0.050000,20.026643,17.831958,23.400000,8.000000,0.000000,0.000000,4.855473
0.050000,20.079638,17.435486,23.800000,8.000000,0.000000,0.000000,4.835326
0.050000,20.124937,17.038072,24.200000,8.000000,0.000000,0.000000,4.816681
0.050000,20.163093,16.639903,24.600000,8.000000,0.000000,0.000000,4.799382
0.050000,20.194601,16.241153,25.000000,8.000000,0.000000,0.000000,4.783294
0.050000,20.219912,15.841959,25.400000,8.000000,0.000000,0.000000,4.768297
0.050000,20.239434,15.442439,25.800000,8.000000,0.000000,0.000000,4.754285
0.050000,20.253537,15.042677,26.200000,8.000000,0.000000,0.000000,4.741166
0.050000,20.262559,14.642794,26.600000,8.000000,0.000000,0.000000,4.728857
0.050000,20.266809,14.242822,27.000000,8.000000,0.000000,0.000000,4.717286
0.050000,20.265111,13.849638,27.400000,8.000000,0.000000,0.000000,4.693027
0.050000,20.250998,13.449903,27.800000,8.000000,0.000000,0.000000,4.662257
0.050000,20.225899,13.050701,28.200000,8.000000,0.000000,0.000000,4.638027
0.050000,20.192432,12.652109,28.600000,8.000000,0.000000,0.000000,4.620299
0.050000,20.153187,12.254041,29.000000,8.000000,0.000000,0.000000,4.609004
0.050000,20.110718,11.856302,29.400000,8.000000,0.000000,0.000000,4.604083
0.050000,20.067553,11.458638,29.800000,8.000000,0.000000,0.000000,4.605507
0.050000,20.026217,11.060781,30.200000,8.000000,0.000000,0.000000,4.613284
0.050000,19.989249,10.662496,30.600000,8.000000,0.000000,0.000000,4.627459
0.050000,19.959217,10.263632,31.000000,8.000000,0.000000,0.000000,4.648098
0.050000,19.938725,9.864170,31.400000,8.000000,0.000000,0.000000,4.675263
0.050000,19.930399,9.464276,31.800000,8.000000,0.000000,0.000000,4.708966
0.050000,19.936847,9.064354,32.200000,8.000000,0.000000,0.000000,4.749114
0.050000,19.960588,8.665096,32.600000,8.000000,0.000000,0.000000,4.795449
0.050000,20.003948,8.267498,33.000000,8.000000,0.000000,0.000000,4.847475
0.050000,20.068925,7.872866,33.400000,8.000000,0.000000,0.000000,4.904418
0.050000,20.157045,7.482756,33.800000,8.000000,0.000000,0.000000,4.965213
0.050000,20.263733,7.103464,34.200000,8.000000,0.000000,0.000000,4.976953
0.050000,20.356900,6.714517,34.600000,8.000000,0.000000,0.000000,4.922085
0.050000,20.433147,6.321869,35.000000,8.000000,0.000000,0.000000,4.889801
0.050000,20.500702,5.927618,35.400000,8.000000,0.000000,0.000000,4.877602
0.050000,20.567221,5.533188,35.800000,8.000000,0.000000,0.000000,4.884504
0.050000,20.640283,5.139929,36.200000,8.000000,0.000000,0.000000,4.911065
0.050000,20.727915,4.749686,36.600000,8.000000,0.000000,0.000000,4.959378
0.050000,20.839000,4.365514,37.000000,8.000000,0.000000,0.000000,5.032895
0.050000,20.983313,3.992643,37.400000,8.000000,0.000000,0.000000,5.135586
0.050000,21.170567,3.639519,37.800000,8.000000,0.000000,0.000000,5.269438
0.050000,21.407456,3.318288,38.199561,7.982423,-0.351540,-7.030799,5.429689
0.050000,21.693479,3.042157,38.597617,7.939846,-0.851540,-10.000000,5.601495
0.050000,22.019692,2.819672,38.992920,7.872269,-1.351540,-10.000000,5.765169
0.050000,22.372553,2.651307,39.384219,7.779692,-1.851540,-10.000000,5.906813
0.050000,22.739211,2.531197,39.770264,7.662115,-2.351540,-10.000000,6.022484
0.050000,23.110046,2.451002,40.149806,7.519538,-2.851540,-10.000000,6.114670
0.050000,23.472696,2.398954,40.521593,7.351961,-3.351540,-10.000000,6.133187
0.050000,23.830059,2.336625,40.884377,7.159384,-3.851540,-10.000000,6.092236
0.050000,24.175478,2.266197,41.236907,6.941807,-4.351540,-10.000000,6.075296
0.050000,24.509143,2.195721,41.577933,6.699230,-4.851540,-10.000000,6.077800
0.050000,24.831505,2.131455,41.906644,6.449230,-5.000000,-2.969201,6.098091
0.050000,25.143271,2.078737,42.222856,6.199230,-5.000000,0.000000,6.136720
0.050000,25.444797,2.042741,42.526567,5.949230,-5.000000,0.000000,6.196212
0.050000,25.735597,2.028991,42.817779,5.699230,-5.000000,0.000000,6.280911
0.050000,26.013775,2.043525,43.096490,5.449230,-5.000000,0.000000,0.113084
0.050000,26.275221,2.092324,43.362702,5.199230,-5.000000,0.000000,0.262921
0.050000,26.513198,2.179282,43.616413,4.949230,-5.000000,0.000000,0.443312
0.050000,26.719855,2.302948,43.857625,4.699230,-5.000000,0.000000,0.637028
0.050000,26.890159,2.455131,44.086336,4.449230,-5.000000,0.000000,0.819442
0.050000,27.024682,2.624121,44.302548,4.199230,-5.000000,0.000000,0.973647
0.050000,27.128302,2.799361,44.506259,3.949230,-5.000000,0.000000,1.096142
0.050000,27.207218,2.973449,44.697471,3.699230,-5.000000,0.000000,1.191224
0.050000,27.267069,3.141797,44.876182,3.449230,-5.000000,0.000000,1.264989
0.050000,27.312379,3.301689,45.042394,3.199230,-5.000000,-0.000000,1.322750
0.050000,27.346611,3.451527,45.196105,2.949230,-5.000000,0.000000,1.368526
0.050000,27.372381,3.590358,45.337317,2.699230,-5.000000,0.000000,1.405218
0.050000,27.391674,3.717612,45.466028,2.449230,-5.000000,0.000000,1.434900
0.050000,27.406004,3.832933,45.582240,2.199230,-5.000000,0.000000,1.459060
0.050000,27.416537,3.936105,45.685951,1.949230,-5.000000,0.000000,1.478776
0.050000,27.424180,4.026995,45.777163,1.699230,-5.000000,0.000000,1.494841
0.050000,27.429638,4.105518,45.855874,1.449230,-5.000000,0.000000,1.507838
0.050000,27.433458,4.171620,45.922086,1.199230,-5.000000,0.000000,1.518201
0.050000,27.436084,4.225704,45.976236,0.966807,-4.648460,7.030799,1.526316
0.050000,27.437868,4.268824,46.019391,0.759384,-4.148460,10.000000,1.532564
0.050000,27.439066,4.302209,46.052800,0.576961,-3.648460,10.000000,1.537273
0.050000,27.439858,4.327111,46.077712,0.419538,-3.148460,10.000000,1.540715
0.050000,27.440368,4.344768,46.095379,0.287115,-2.648460,10.000000,1.543120
0.050000,27.440682,4.356435,46.107049,0.179692,-2.148460,10.000000,1.544694
0.050000,27.440859,4.363355,46.113973,0.097269,-1.648460,10.000000,1.545621
0.050000,27.440945,4.366784,46.117401,0.039846,-1.148460,10.000000,1.546079
0.050000,27.440974,4.367967,46.118582,0.007423,-0.648460,10.000000,1.546237
0.050000,27.440978,4.368152,46.118768,0.000000,-0.148460,10.000000,1.546261
0.050000,27.440978,4.368152,46.118768,0.000000,0.000000,2.969201,1.546261
