dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.913506,21.938147,0.000625,0.025000,0.500000,10.000000,6.281302
0.050000,0.913762,21.938146,0.000881,0.005125,-0.397508,-17.950153,6.281507
0.050000,0.914338,21.938145,0.001457,0.011519,0.127878,10.507707,6.281968
0.050000,0.915360,21.938144,0.002479,0.020437,0.178365,1.009739,6.282785
0.050000,0.927672,21.938150,0.014791,0.246235,4.515960,86.751908,0.000873
0.050000,0.952451,21.938194,0.039569,0.495574,4.986792,9.416632,0.002696
0.050000,0.986153,21.938326,0.073272,0.674055,3.569609,-28.343660,0.005158
0.050000,1.030130,21.938623,0.117250,0.879553,4.109970,10.807235,0.008340
0.050000,1.085720,21.939197,0.172843,1.111854,4.646014,10.720865,0.012314
0.050000,1.154245,21.940207,0.241376,1.370663,5.176177,10.603267,0.017140
0.050000,1.236320,21.941848,0.323467,1.641821,5.423157,4.939601,0.022813
0.050000,1.331866,21.944338,0.419045,1.911562,5.394820,-0.566743,0.029275
0.050000,1.440782,21.947921,0.528020,2.179506,5.358883,-0.718746,0.036455
0.050000,1.562961,21.952858,0.650299,2.445585,5.321588,-0.745895,0.044280
0.050000,1.698288,21.959426,0.785785,2.709713,5.282562,-0.780510,0.052668
0.050000,1.846625,21.967910,0.934365,2.971601,5.237760,-0.896044,0.061534
0.050000,2.007841,21.978597,1.095934,3.231380,5.195566,-0.843893,0.070789
0.050000,2.181784,21.991773,1.270376,3.488839,5.149192,-0.927468,0.080343
0.050000,2.368304,22.007715,1.457576,3.744001,5.103231,-0.919219,0.090104
0.050000,2.567247,22.026689,1.657421,3.996905,5.058085,-0.902930,0.099979
0.050000,2.778451,22.048943,1.869794,4.247460,5.011104,-0.939622,0.109878
0.050000,3.001759,22.074703,2.094583,4.495778,4.966364,-0.894786,0.119711
0.050000,3.237018,22.104171,2.331681,4.741959,4.923608,-0.855133,0.129390
0.050000,3.484075,22.137519,2.580978,4.985941,4.879648,-0.879187,0.138829
0.050000,3.742784,22.174888,2.842373,5.227889,4.838946,-0.814042,0.147944
0.050000,4.013006,22.216383,3.115762,5.467780,4.797827,-0.822394,0.156656
0.050000,4.294611,22.262072,3.401049,5.705749,4.759381,-0.768919,0.164886
0.050000,4.587475,22.311981,3.698135,5.941723,4.719483,-0.797959,0.172555
0.050000,4.891486,22.366094,4.006925,6.175801,4.681555,-0.758548,0.179588
0.050000,5.206547,22.424347,4.327326,6.408006,4.644109,-0.748929,0.185909
0.050000,5.532563,22.486627,4.659238,6.638245,4.604771,-0.786757,0.191439
0.050000,5.869456,22.552767,5.002561,6.866472,4.564553,-0.804357,0.196098
0.050000,6.216534,22.622415,5.356559,7.079944,4.269435,-5.902359,0.199795
0.050000,6.572510,22.695025,5.719865,7.266123,3.723571,-10.917274,0.202440
0.050000,6.936124,22.769981,6.091124,7.425181,3.181166,-10.848109,0.203947
0.050000,7.306139,22.846605,6.468989,7.557310,2.642571,-10.771894,0.204239
0.050000,7.681336,22.924166,6.852119,7.662600,2.105803,-10.735369,0.203243
0.050000,8.060508,23.001889,7.239176,7.741123,1.570474,-10.706571,0.200888
0.050000,8.442456,23.078963,7.628822,7.792933,1.036186,-10.685771,0.197105
0.050000,8.825980,23.154550,8.019723,7.818024,0.501818,-10.687357,0.191826
0.050000,9.209875,23.227799,8.410544,7.816407,-0.032332,-10.683000,0.184982
0.050000,9.592925,23.297853,8.799947,7.788072,-0.566700,-10.687353,0.176506
0.050000,9.974496,23.363966,9.187204,7.745128,-0.858891,-5.843816,0.166313
0.050000,10.354514,23.425474,9.572167,7.699273,-0.917094,-1.164073,0.154285
0.050000,10.732858,23.481673,9.954662,7.649895,-0.987551,-1.409140,0.140283
0.050000,11.109354,23.531818,10.334483,7.596425,-1.069414,-1.637263,0.124144
0.050000,11.483765,23.575113,10.711389,7.538116,-1.166173,-1.935168,0.105672
0.050000,11.855774,23.610710,11.085097,7.474153,-1.279248,-2.261512,0.084644
0.050000,12.224976,23.637705,11.455285,7.403767,-1.407727,-2.569570,0.060802
0.050000,12.590867,23.655144,11.821591,7.326113,-1.553084,-2.907144,0.033854
0.050000,12.952815,23.662020,12.183604,7.240274,-1.716778,-3.273880,0.003476
0.050000,13.310065,23.657292,12.540885,7.145616,-1.893159,-3.527619,6.252500
0.050000,13.661717,23.639895,12.892968,7.041656,-2.079203,-3.720884,6.214183
0.050000,14.006738,23.608769,13.239389,6.928428,-2.264553,-3.706986,6.171342
0.050000,14.343968,23.562894,13.579726,6.806724,-2.434093,-3.390805,6.123638
0.050000,14.672171,23.501325,13.913654,6.678571,-2.563054,-2.579215,6.070812
0.050000,14.990093,23.423230,14.241027,6.547462,-2.622184,-1.182608,6.012747
0.050000,15.296557,23.327919,14.561970,6.418856,-2.572112,1.001450,5.949545
0.050000,15.590575,23.214845,14.876982,6.300230,-2.372520,3.991825,5.881603
0.050000,15.871431,23.083592,15.186994,6.200243,-1.999751,7.455387,5.809667
0.050000,16.138732,22.933834,15.493387,6.127871,-1.447430,11.046425,5.734839
0.050000,16.392368,22.765319,15.797901,6.090273,-0.751963,13.909342,5.658512
0.050000,16.632429,22.577886,16.102467,6.091330,0.021130,15.461859,5.582225
0.050000,16.859072,22.371533,16.408977,6.130200,0.777415,15.125687,5.507492
0.050000,17.072437,22.146505,16.719078,6.202003,1.436059,13.172890,5.435623
0.050000,17.272603,21.903375,17.034004,6.298525,1.930427,9.887353,5.367614
0.050000,17.459631,21.643041,17.354556,6.411044,2.250394,6.399352,5.304102
0.050000,17.633612,21.366681,17.681120,6.531278,2.404682,3.085743,5.245387
