dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.322369,2.220000,0.000061,0.002456,0.049112,0.982245,3.140332
0.050000,3.322455,2.220000,0.000147,0.001720,-0.014719,-1.276626,3.140504
0.050000,3.322649,2.220000,0.000341,0.003864,0.042888,1.152139,3.140890
0.050000,3.322991,2.220000,0.000683,0.006852,0.059754,0.337316,3.141575
0.050000,3.322015,2.219999,0.001660,0.019532,0.253600,3.876929,3.142641
0.050000,3.320567,2.219997,0.003108,0.028962,0.188611,-1.299793,3.144165
0.050000,3.318586,2.219990,0.005089,0.039619,0.213137,0.490527,3.146219
0.050000,3.315981,2.219974,0.007694,0.052098,0.249573,0.728726,3.148867
0.050000,3.312656,2.219945,0.011018,0.066494,0.287928,0.767104,3.152163
0.050000,3.308509,2.219892,0.015165,0.082941,0.328926,0.819962,3.156147
0.050000,3.303431,2.219806,0.020245,0.101591,0.373016,0.881786,3.160844
0.050000,3.297301,2.219672,0.026376,0.122628,0.420725,0.954184,3.166262
0.050000,3.289991,2.219469,0.033689,0.146251,0.472471,1.034923,3.172387
0.050000,3.281362,2.219173,0.042323,0.172691,0.528791,1.126393,3.179183
0.050000,3.271261,2.218755,0.052433,0.202181,0.589809,1.220364,3.186590
0.050000,3.259526,2.218180,0.064182,0.234985,0.656086,1.325542,3.194523
0.050000,3.245980,2.217404,0.077750,0.271363,0.727545,1.429172,3.202871
0.050000,3.230435,2.216382,0.093329,0.311581,0.804369,1.536492,3.211494
0.050000,3.212688,2.215060,0.111124,0.355907,0.886519,1.642993,3.220227
0.050000,3.192527,2.213381,0.131355,0.404619,0.974235,1.754331,3.228877
0.050000,3.169776,2.211292,0.154202,0.456935,1.046333,1.441945,3.237207
0.050000,3.144305,2.208747,0.179800,0.511956,1.100411,1.081570,3.244946
0.050000,3.115980,2.205706,0.208287,0.569751,1.155902,1.109812,3.251816
0.050000,3.084661,2.202144,0.239808,0.630422,1.213413,1.150228,3.257531
0.050000,3.050197,2.198050,0.274515,0.694121,1.273975,1.211242,3.261788
0.050000,3.012424,2.193434,0.312569,0.761080,1.339192,1.304340,3.264259
0.050000,2.971156,2.188331,0.354151,0.831658,1.411557,1.447285,3.264584
0.050000,2.926238,2.182820,0.399406,0.905095,1.468737,1.143611,3.262354
0.050000,2.877548,2.177029,0.448439,0.980664,1.511382,0.852890,3.257110
0.050000,2.824924,2.171143,0.501392,1.059052,1.567767,1.127702,3.248324
0.050000,2.768149,2.165414,0.558455,1.141260,1.644156,1.527795,3.235369
0.050000,2.706937,2.160189,0.619889,1.228687,1.748541,2.087689,3.217476
0.050000,2.640912,2.155932,0.686051,1.323237,1.891001,2.849198,3.193687
0.050000,2.569590,2.153285,0.757423,1.427427,2.083804,3.856058,3.162792
0.050000,2.492368,2.153134,0.834645,1.544447,2.340403,5.131980,3.123260
0.050000,2.408539,2.156720,0.918550,1.678107,2.673191,6.655762,3.073178
0.050000,2.317379,2.165791,1.010161,1.832208,3.082029,8.176771,3.010252
0.050000,2.218371,2.182757,1.110612,2.009027,3.536377,9.086955,2.931956
0.050000,2.111705,2.210767,1.220894,2.205637,3.932184,7.916138,2.836053
0.050000,1.999102,2.253407,1.341300,2.408128,4.049823,2.352782,2.721695
0.050000,1.884682,2.313661,1.470615,2.586297,3.563381,-9.728842,2.591064
0.050000,1.774928,2.392119,1.605529,2.698281,2.239691,-26.473795,2.450547
0.050000,1.676789,2.485710,1.741140,2.712221,0.278800,-39.217831,2.309739
0.050000,1.594866,2.588581,1.872646,2.630123,-1.641968,-38.415352,2.178033
0.050000,1.530091,2.694669,1.996946,2.485987,-2.882722,-24.815091,2.061405
0.050000,1.480673,2.799650,2.112977,2.320624,-3.307258,-8.490718,1.961727
0.050000,1.443789,2.901216,2.221033,2.161113,-3.190224,2.340688,1.878096
0.050000,1.416678,2.998514,2.322037,2.020096,-2.820336,7.397769,1.808350
0.050000,1.397068,3.091503,2.417071,1.900683,-2.388253,8.641653,1.750072
0.050000,1.383232,3.180462,2.507100,1.800569,-2.002274,7.719570,1.701082
0.050000,1.373887,3.265749,2.592898,1.715953,-1.692337,6.198757,1.659583
0.050000,1.368081,3.347705,2.675060,1.643239,-1.454266,4.761403,1.624138
0.050000,1.365096,3.426614,2.754024,1.579296,-1.278866,3.508011,1.593619
0.050000,1.364349,3.496509,2.823923,1.397981,-3.626292,-46.948517,1.576943
0.050000,1.363235,3.532063,2.859495,0.711434,-13.730942,-202.093009,1.629536
0.050000,1.360554,3.562719,2.890268,0.615455,-1.919584,236.227160,1.689521
0.050000,1.356740,3.587800,2.915637,0.507386,-2.161374,-4.835801,1.757861
0.050000,1.352439,3.606771,2.935090,0.389048,-2.366763,-4.107787,1.835340
0.050000,1.348474,3.619416,2.948342,0.265039,-2.480195,-2.268630,1.922279
0.050000,1.345728,3.626054,2.955525,0.143674,-2.427300,1.057895,2.018170
0.050000,1.344884,3.627690,2.957367,0.036830,-2.136875,5.808497,2.121318
0.050000,1.346113,3.625958,2.959491,0.042485,0.113107,44.999638,2.228721
0.050000,1.348886,3.622759,2.963724,0.084668,0.843654,14.610942,2.336420
0.050000,1.352096,3.619744,2.968128,0.088076,0.068167,-15.509725,2.440291
0.050000,1.354463,3.617915,2.971120,0.059831,-0.564910,-12.661542,2.536921
0.050000,1.354978,3.617570,2.971739,0.012387,-0.948878,-7.679363,2.624143
0.050000,1.353126,3.618510,2.973816,0.041536,0.582979,30.637135,2.701125
0.050000,1.348871,3.620326,2.978442,0.092528,1.019837,8.737153,2.768096
0.050000,1.342494,3.622600,2.985212,0.135389,0.857238,-3.251964,2.825869
0.050000,1.334443,3.624999,2.993613,0.168032,0.652843,-4.087898,2.875467
0.050000,1.325211,3.627298,3.003127,0.190281,0.444985,-4.157162,2.917929
0.050000,1.315275,3.629363,3.013275,0.202950,0.253377,-3.832163,2.954214
0.050000,1.305065,3.631131,3.023637,0.207246,0.085924,-3.349064,2.985157
0.050000,1.294934,3.632589,3.033873,0.204716,-0.050594,-2.730364,3.011502
0.050000,1.285142,3.633757,3.043734,0.197221,-0.149914,-1.986390,3.033925
0.050000,1.275872,3.634668,3.053049,0.186299,-0.218426,-1.370236,3.053016
0.050000,1.267249,3.635362,3.061699,0.173004,-0.265900,-0.949486,3.069257
0.050000,1.259357,3.635879,3.069608,0.158179,-0.296498,-0.611972,3.083046
0.050000,1.252242,3.636254,3.076733,0.142497,-0.313647,-0.342981,3.094715
0.050000,1.245923,3.636519,3.083057,0.126490,-0.320135,-0.129740,3.104542
0.050000,1.240397,3.636701,3.088587,0.110587,-0.318071,0.041266,3.112762
0.050000,1.235643,3.636822,3.093343,0.095116,-0.309412,0.173179,3.119576
0.050000,1.231626,3.636899,3.097360,0.080354,-0.295241,0.283435,3.125162
0.050000,1.228301,3.636946,3.100685,0.066501,-0.277056,0.363684,3.129671
0.050000,1.225615,3.636973,3.103372,0.053726,-0.255500,0.431124,3.133243
0.050000,1.223507,3.636988,3.105479,0.042155,-0.231432,0.481353,3.136003
0.050000,1.221913,3.636995,3.107074,0.031884,-0.205418,0.520284,3.138065
0.050000,1.220764,3.636998,3.108223,0.022986,-0.177947,0.549429,3.139540
0.050000,1.219988,3.637000,3.108998,0.015510,-0.149530,0.568345,3.140529
0.050000,1.219514,3.637000,3.109473,0.009494,-0.120326,0.584064,3.141131
0.050000,1.219265,3.637000,3.109721,0.004964,-0.090596,0.594616,3.141446
0.050000,1.219169,3.637000,3.109818,0.001927,-0.060735,0.597219,3.141568
0.050000,1.219149,3.637000,3.109837,0.000392,-0.030707,0.600547,3.141593
0.050000,1.219149,3.637000,3.109837,0.000000,-0.007834,0.457466,3.141593
