dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.323000,2.720000,0.000061,0.002456,0.049112,0.982245,3.140332
0.050000,3.323000,2.720000,0.000307,0.007367,0.098225,0.982245,3.140504
0.050000,3.323000,2.720000,0.000859,0.014734,0.147337,0.982245,3.140890
0.050000,3.323000,2.720000,0.001842,0.024556,0.196449,0.982245,3.141575
0.050000,3.321491,2.719999,0.003376,0.036834,0.245561,0.982245,3.142641
0.050000,3.319280,2.719995,0.005587,0.051568,0.294674,0.982245,3.144165
0.050000,3.316272,2.719984,0.008595,0.068757,0.343786,0.982245,3.146219
0.050000,3.312344,2.719961,0.012524,0.088402,0.392898,0.982245,3.148867
0.050000,3.307371,2.719917,0.017496,0.110503,0.442010,0.982245,3.152163
0.050000,3.301233,2.719839,0.023635,0.135059,0.491123,0.982245,3.156147
0.050000,3.293805,2.719714,0.031064,0.162070,0.540235,0.982245,3.160844
0.050000,3.284967,2.719520,0.039904,0.191538,0.589347,0.982245,3.166262
0.050000,3.274596,2.719232,0.050279,0.223461,0.638459,0.982245,3.172387
0.050000,3.262571,2.718820,0.062311,0.257839,0.687572,0.982245,3.179183
0.050000,3.248770,2.718249,0.076124,0.294674,0.736684,0.982245,3.186590
0.050000,3.233073,2.717479,0.091840,0.333963,0.785796,0.982245,3.194523
0.050000,3.215360,2.716466,0.109582,0.375709,0.834908,0.982245,3.202871
0.050000,3.195512,2.715161,0.129472,0.419910,0.884021,0.982245,3.211494
0.050000,3.173412,2.713515,0.151634,0.466567,0.933133,0.982245,3.220227
0.050000,3.148940,2.711478,0.176190,0.515679,0.982245,0.982245,3.228877
0.050000,3.122042,2.709008,0.203202,0.564791,0.982245,0.000000,3.237207
0.050000,3.092721,2.706078,0.232669,0.613903,0.982245,0.000000,3.244946
0.050000,3.060980,2.702672,0.264592,0.663016,0.982245,0.000000,3.251816
0.050000,3.026822,2.698788,0.298971,0.712128,0.982245,-0.000000,3.257531
0.050000,2.990244,2.694443,0.335805,0.761240,0.982245,0.000000,3.261788
0.050000,2.951245,2.689677,0.375095,0.810352,0.982245,-0.000000,3.264259
0.050000,2.909815,2.684554,0.416840,0.859465,0.982245,0.000000,3.264584
0.050000,2.866004,2.679178,0.460980,0.906121,0.933133,-0.982245,3.262354
0.050000,2.819918,2.673696,0.507391,0.950322,0.884021,-0.982245,3.257110
0.050000,2.771659,2.668297,0.555951,0.992068,0.834908,-0.982245,3.248324
0.050000,2.721329,2.663218,0.606536,1.031358,0.785796,-0.982245,3.235369
0.050000,2.669032,2.658750,0.659025,1.068192,0.736684,-0.982245,3.217476
0.050000,2.614877,2.655254,0.713294,1.102570,0.687572,-0.982245,3.193687
0.050000,2.558991,2.653173,0.769221,1.134493,0.638459,-0.982245,3.162792
0.050000,2.501534,2.653050,0.826682,1.163961,0.589347,-0.982245,3.123260
0.050000,2.442720,2.655551,0.885556,1.190972,0.540235,-0.982245,3.073178
0.050000,2.382861,2.661485,0.945718,1.215529,0.491123,-0.982245,3.010252
0.050000,2.322423,2.671811,1.007047,1.237629,0.442010,-0.982245,2.931956
0.050000,2.262109,2.687609,1.069420,1.257274,0.392898,-0.982245,2.836053
