dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.323631,3.220000,0.000061,0.002456,0.049112,0.982245,3.140332
0.050000,3.323545,3.220000,0.000147,0.001720,-0.014719,-1.276626,3.140504
0.050000,3.323351,3.220000,0.000341,0.003864,0.042888,1.152139,3.140890
0.050000,3.323009,3.220000,0.000683,0.006852,0.059754,0.337316,3.141575
0.050000,3.320966,3.219999,0.002725,0.040846,0.679880,12.402531,3.142641
0.050000,3.317994,3.219994,0.005698,0.059444,0.371956,-6.158489,3.144165
0.050000,3.313959,3.219979,0.009733,0.080700,0.425130,1.063480,3.146219
0.050000,3.308706,3.219948,0.014986,0.105062,0.487243,1.242273,3.148867
0.050000,3.302086,3.219889,0.021606,0.132410,0.546957,1.194272,3.152163
0.050000,3.293956,3.219786,0.029737,0.162620,0.604208,1.145023,3.156147
0.050000,3.284180,3.219621,0.039514,0.195538,0.658340,1.082645,3.160844
0.050000,3.272634,3.219367,0.051063,0.230982,0.708892,1.011026,3.166262
0.050000,3.259202,3.218995,0.064501,0.268746,0.755286,0.927892,3.172387
0.050000,3.243780,3.218467,0.079931,0.308613,0.797329,0.840850,3.179183
0.050000,3.226279,3.217743,0.097448,0.350327,0.834285,0.739126,3.186590
0.050000,3.206620,3.216779,0.117130,0.393649,0.866439,0.643079,3.194523
0.050000,3.184740,3.215527,0.139045,0.438308,0.893186,0.534938,3.202871
0.050000,3.160590,3.213940,0.163247,0.484038,0.914602,0.428318,3.211494
0.050000,3.134135,3.211970,0.189776,0.530565,0.930521,0.318381,3.220227
0.050000,3.105354,3.209575,0.218657,0.577625,0.941207,0.213728,3.228877
0.050000,3.074308,3.206725,0.249833,0.623530,0.918108,-0.461979,3.237207
0.050000,3.041136,3.203410,0.283170,0.666736,0.864120,-1.079762,3.244946
0.050000,3.005980,3.199638,0.318528,0.707166,0.808595,-1.110502,3.251816
0.050000,2.968982,3.195431,0.355765,0.744721,0.751096,-1.149993,3.257531
