dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000139,7.301950,0.000063,0.002500,0.050000,1.000000,6.282907
0.050000,0.000136,7.301950,0.000066,0.000061,-0.048776,-1.975522,6.282913
0.050000,0.000129,7.301950,0.000072,0.000138,0.001530,1.006116,6.282927
0.050000,0.000117,7.301950,0.000085,0.000245,0.002141,0.012227,6.282951
0.050000,0.000098,7.301950,0.000104,0.000382,0.002752,0.012210,6.282990
0.050000,0.000070,7.301950,0.000131,0.000550,0.003361,0.012183,6.283045
0.050000,0.000033,7.301950,0.000169,0.000749,0.003968,0.012143,6.283120
0.050000,0.001293,7.301950,0.001429,0.025198,0.488992,9.700485,0.000032
0.050000,0.006294,7.301951,0.006429,0.100014,1.496318,20.146511,0.000156
0.050000,0.012467,7.301952,0.012603,0.123475,0.469222,-20.541907,0.000308
0.050000,0.019938,7.301955,0.020074,0.149408,0.518648,0.988518,0.000492
0.050000,0.028828,7.301961,0.028964,0.177811,0.568058,0.988190,0.000711
0.050000,0.039262,7.301969,0.039398,0.208685,0.617482,0.988493,0.000968
0.050000,0.051364,7.301983,0.051500,0.242031,0.666920,0.988760,0.001265
0.050000,0.065256,7.302003,0.065392,0.277849,0.716367,0.988925,0.001605
0.050000,0.081063,7.302031,0.081199,0.316141,0.765832,0.989303,0.001991
0.050000,0.098909,7.302071,0.099045,0.356906,0.815311,0.989575,0.002425
0.050000,0.118916,7.302124,0.119052,0.400146,0.864805,0.989880,0.002910
0.050000,0.141209,7.302195,0.141345,0.445862,0.914318,0.990275,0.003449
0.050000,0.165912,7.302288,0.166048,0.494055,0.963858,0.990787,0.004044
0.050000,0.193086,7.302406,0.193222,0.543491,0.988714,0.497135,0.004695
0.050000,0.222732,7.302556,0.222869,0.592936,0.988898,0.003670,0.005401
0.050000,0.254851,7.302742,0.254989,0.642390,0.989078,0.003605,0.006162
0.050000,0.289443,7.302969,0.289581,0.691854,0.989285,0.004137,0.006977
0.050000,0.326509,7.303244,0.326648,0.741329,0.989505,0.004399,0.007844
0.050000,0.366048,7.303572,0.366189,0.790817,0.989752,0.004941,0.008762
0.050000,0.408062,7.303960,0.408205,0.840317,0.989993,0.004826,0.009730
0.050000,0.452551,7.304416,0.452696,0.889830,0.990272,0.005570,0.010747
0.050000,0.499516,7.304946,0.499664,0.939358,0.990560,0.005755,0.011811
0.050000,0.548957,7.305557,0.549109,0.988901,0.990858,0.005964,0.012921
0.050000,0.600876,7.306258,0.601032,1.038460,0.991173,0.006307,0.014075
0.050000,0.655272,7.307056,0.655434,1.088035,0.991513,0.006797,0.015272
0.050000,0.712146,7.307960,0.712315,1.137629,0.991865,0.007039,0.016509
0.050000,0.771499,7.308978,0.771677,1.187240,0.992235,0.007395,0.017785
0.050000,0.833332,7.310119,0.833521,1.236871,0.992613,0.007571,0.019098
0.050000,0.897646,7.311391,0.897847,1.286522,0.993016,0.008059,0.020446
0.050000,0.964440,7.312803,0.964656,1.336193,0.993432,0.008324,0.021826
0.050000,1.033717,7.314364,1.033951,1.385887,0.993867,0.008702,0.023238
0.050000,1.105477,7.316084,1.105731,1.435602,0.994315,0.008958,0.024677
0.050000,1.179720,7.317971,1.179998,1.485342,0.994784,0.009370,0.026143
0.050000,1.256385,7.320033,1.256691,1.533867,0.970502,-0.485635,0.027632
0.050000,1.335351,7.322275,1.335688,1.579940,0.921459,-0.980859,0.029138
0.050000,1.416492,7.324702,1.416866,1.623559,0.872394,-0.981307,0.030657
0.050000,1.499687,7.327317,1.500102,1.664725,0.823305,-0.981775,0.032184
0.050000,1.584813,7.330123,1.585274,1.703434,0.774193,-0.982243,0.033716
0.050000,1.671745,7.333122,1.672259,1.739687,0.725058,-0.982704,0.035247
0.050000,1.760362,7.336315,1.760933,1.773482,0.675890,-0.983360,0.036774
0.050000,1.850539,7.339701,1.851173,1.804816,0.626693,-0.983943,0.038292
0.050000,1.942154,7.343280,1.942858,1.833689,0.577463,-0.984582,0.039798
0.050000,2.035082,7.347050,2.035863,1.860099,0.528200,-0.985268,0.041288
0.050000,2.129201,7.351008,2.130065,1.884045,0.478902,-0.985967,0.042759
0.050000,2.224388,7.355150,2.225341,1.905523,0.429566,-0.986721,0.044206
0.050000,2.320517,7.359471,2.321568,1.924532,0.380191,-0.987485,0.045628
0.050000,2.417467,7.363966,2.418621,1.941071,0.330778,-0.988257,0.047021
0.050000,2.515112,7.368628,2.516378,1.955138,0.281325,-0.989074,0.048382
0.050000,2.613330,7.373449,2.614715,1.966729,0.231830,-0.989890,0.049709
