dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,6.801950,0.000063,0.002500,0.050000,1.000000,6.282907
0.050000,0.000000,6.801950,0.000313,0.007500,0.100000,1.000000,6.282913
0.050000,0.000000,6.801950,0.000875,0.015000,0.150000,1.000000,6.282927
0.050000,0.000000,6.801950,0.001875,0.025000,0.200000,1.000000,6.282951
0.050000,0.000000,6.801950,0.003438,0.037500,0.250000,1.000000,6.282990
0.050000,0.000000,6.801950,0.005687,0.052500,0.300000,1.000000,6.283045
0.050000,0.000000,6.801950,0.008750,0.070000,0.350000,1.000000,6.283120
0.050000,0.001309,6.801950,0.012750,0.090000,0.400000,1.000000,0.000032
0.050000,0.006371,6.801951,0.017813,0.112500,0.450000,1.000000,0.000156
0.050000,0.012621,6.801952,0.024063,0.137500,0.500000,1.000000,0.000308
0.050000,0.020184,6.801955,0.031625,0.165000,0.550000,1.000000,0.000492
0.050000,0.029184,6.801961,0.040625,0.195000,0.600000,1.000000,0.000711
0.050000,0.039746,6.801970,0.051188,0.227500,0.650000,1.000000,0.000968
0.050000,0.051996,6.801983,0.063438,0.262500,0.700000,1.000000,0.001265
0.050000,0.066059,6.802004,0.077500,0.300000,0.750000,1.000000,0.001605
0.050000,0.082059,6.802032,0.093500,0.340000,0.800000,1.000000,0.001991
0.050000,0.100121,6.802072,0.111563,0.382500,0.850000,1.000000,0.002425
0.050000,0.120371,6.802126,0.131812,0.427500,0.900000,1.000000,0.002910
0.050000,0.142934,6.802198,0.154375,0.475000,0.950000,1.000000,0.003449
0.050000,0.167933,6.802292,0.179375,0.525000,1.000000,1.000000,0.004044
0.050000,0.195433,6.802412,0.206875,0.575000,1.000000,-0.000000,0.004695
0.050000,0.225433,6.802563,0.236875,0.625000,1.000000,0.000000,0.005401
0.050000,0.257932,6.802751,0.269375,0.675000,1.000000,0.000000,0.006162
0.050000,0.292931,6.802981,0.304375,0.725000,1.000000,-0.000000,0.006977
0.050000,0.330430,6.803259,0.341875,0.775000,1.000000,0.000000,0.007844
