dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.000139,6.301950,0.000063,0.002500,0.050000,1.000000,6.282907
0.050000,-0.000136,6.301950,0.000066,0.000061,-0.048776,-1.975522,6.282913
0.050000,-0.000129,6.301950,0.000072,0.000138,0.001530,1.006116,6.282927
0.050000,-0.000117,6.301950,0.000085,0.000245,0.002141,0.012227,6.282951
0.050000,-0.000098,6.301950,0.000104,0.000382,0.002752,0.012210,6.282990
0.050000,-0.000070,6.301950,0.000131,0.000550,0.003361,0.012183,6.283045
0.050000,-0.000033,6.301950,0.000169,0.000749,0.003968,0.012143,6.283120
0.050000,0.001325,6.301950,0.001526,0.027153,0.528086,10.482363,0.000032
0.050000,0.006449,6.301951,0.006651,0.102486,1.506663,19.571550,0.000156
0.050000,0.012775,6.301952,0.012977,0.126524,0.480760,-20.518073,0.000308
0.050000,0.020430,6.301955,0.020632,0.153093,0.531366,1.012126,0.000492
0.050000,0.029539,6.301961,0.029741,0.182190,0.581941,1.011497,0.000711
0.050000,0.040230,6.301970,0.040432,0.213815,0.632514,1.011456,0.000968
0.050000,0.052629,6.301984,0.052830,0.247969,0.683079,1.011313,0.001265
0.050000,0.066861,6.302004,0.067063,0.284651,0.733629,1.010997,0.001605
0.050000,0.083054,6.302033,0.083256,0.323859,0.784171,1.010825,0.001991
0.050000,0.101334,6.302074,0.101535,0.365594,0.834694,1.010464,0.002425
0.050000,0.121826,6.302128,0.122028,0.409854,0.885196,1.010051,0.002910
0.050000,0.144658,6.302201,0.144860,0.456638,0.935678,1.009638,0.003449
0.050000,0.169955,6.302296,0.170157,0.505945,0.986141,1.009248,0.004044
0.050000,0.197780,6.302417,0.197983,0.556509,1.011280,0.502786,0.004695
0.050000,0.228133,6.302571,0.228336,0.607064,1.011116,-0.003274,0.005401
0.050000,0.261013,6.302761,0.261216,0.657610,1.010917,-0.003986,0.006162
0.050000,0.296420,6.302993,0.296624,0.708146,1.010712,-0.004090,0.006977
0.050000,0.334352,6.303274,0.334557,0.758670,1.010489,-0.004470,0.007844
0.050000,0.374810,6.303610,0.375016,0.809183,1.010261,-0.004566,0.008762
0.050000,0.417792,6.304008,0.418001,0.859683,1.009994,-0.005336,0.009730
0.050000,0.463298,6.304474,0.463509,0.910170,1.009732,-0.005229,0.010747
0.050000,0.511327,6.305016,0.511541,0.960642,1.009448,-0.005695,0.011811
0.050000,0.561878,6.305641,0.562096,1.011099,1.009141,-0.006138,0.012921
0.050000,0.614951,6.306357,0.615173,1.061540,1.008818,-0.006445,0.014075
0.050000,0.670543,6.307173,0.670771,1.111964,1.008488,-0.006604,0.015272
0.050000,0.728654,6.308097,0.728890,1.162371,1.008137,-0.007017,0.016509
0.050000,0.789283,6.309136,0.789528,1.212760,1.007772,-0.007315,0.017785
0.050000,0.852429,6.310301,0.852684,1.263129,1.007382,-0.007798,0.019098
0.050000,0.918090,6.311600,0.918358,1.313478,1.006983,-0.007962,0.020446
0.050000,0.986265,6.313041,0.986549,1.363806,1.006566,-0.008356,0.021826
0.050000,1.056953,6.314634,1.057254,1.414113,1.006134,-0.008634,0.023238
0.050000,1.130152,6.316388,1.130474,1.464397,1.005682,-0.009038,0.024677
0.050000,1.205860,6.318312,1.206207,1.514658,1.005218,-0.009281,0.026143
0.050000,1.284013,6.320414,1.284389,1.563633,0.979494,-0.514473,0.027632
0.050000,1.364484,6.322699,1.364892,1.610060,0.928543,-1.019027,0.029138
0.050000,1.447144,6.325172,1.447589,1.653940,0.877608,-1.018698,0.030657
0.050000,1.531866,6.327835,1.532352,1.695275,0.826694,-1.018290,0.032184
0.050000,1.618522,6.330691,1.619056,1.734065,0.775804,-1.017786,0.033716
0.050000,1.706985,6.333743,1.707571,1.770313,0.724945,-1.017186,0.035247
0.050000,1.797128,6.336991,1.797772,1.804018,0.674110,-1.016701,0.036774
0.050000,1.888822,6.340434,1.889531,1.835183,0.623307,-1.016063,0.038292
0.050000,1.981942,6.344072,1.982722,1.863810,0.572536,-1.015408,0.039798
0.050000,2.076359,6.347903,2.077217,1.889900,0.521800,-1.014734,0.041288
0.050000,2.171947,6.351922,2.172890,1.913455,0.471099,-1.014012,0.042759
0.050000,2.268580,6.356127,2.269613,1.934477,0.420435,-1.013289,0.044206
0.050000,2.366129,6.360512,2.367262,1.952967,0.369808,-1.012526,0.045628
0.050000,2.464470,6.365071,2.465708,1.968928,0.319222,-1.011726,0.047021
0.050000,2.563476,6.369798,2.564826,1.982362,0.268675,-1.010933,0.048382
0.050000,2.663019,6.374684,2.664490,1.993271,0.218170,-1.010106,0.049709
0.050000,2.762975,6.379722,2.764573,2.001656,0.167706,-1.009279,0.051000
0.050000,2.863217,6.384902,2.864949,2.007520,0.117285,-1.008417,0.052252
0.050000,2.963620,6.390214,2.965492,2.010866,0.066907,-1.007570,0.053464
0.050000,3.064058,6.395649,3.066077,2.011694,0.016570,-1.006731,0.054633
0.050000,3.164468,6.401197,3.166640,2.011265,-0.008584,-0.503078,0.055759
0.050000,3.264851,6.406855,3.267182,2.010836,-0.008583,0.000006,0.056843
0.050000,3.365206,6.412618,3.367702,2.010407,-0.008583,0.000004,0.057884
0.050000,3.465533,6.418483,3.468201,2.009977,-0.008584,-0.000019,0.058881
0.050000,3.565834,6.424444,3.568678,2.009548,-0.008583,0.000026,0.059836
0.050000,3.666107,6.430497,3.669134,2.009119,-0.008582,0.000017,0.060748
0.050000,3.766354,6.436639,3.769569,2.008690,-0.008581,0.000013,0.061617
0.050000,3.866573,6.442864,3.869982,2.008261,-0.008582,-0.000014,0.062443
0.050000,3.966767,6.449168,3.970373,2.007832,-0.008580,0.000036,0.063226
0.050000,4.066934,6.455547,4.070744,2.007403,-0.008579,0.000022,0.063967
0.050000,4.167075,6.461997,4.171092,2.006974,-0.008578,0.000016,0.064664
0.050000,4.267191,6.468513,4.271419,2.006545,-0.008579,-0.000010,0.065319
0.050000,4.367281,6.475091,4.371725,2.006116,-0.008577,0.000039,0.065930
0.050000,4.467345,6.481727,4.472010,2.005688,-0.008576,0.000021,0.066499
0.050000,4.567385,6.488416,4.572273,2.005259,-0.008575,0.000016,0.067025
0.050000,4.667400,6.495154,4.672514,2.004830,-0.008575,-0.000007,0.067508
0.050000,4.767390,6.501937,4.772734,2.004401,-0.008574,0.000036,0.067948
0.050000,4.867356,6.508761,4.872933,2.003973,-0.008573,0.000017,0.068345
0.050000,4.967298,6.515620,4.973110,2.003544,-0.008572,0.000012,0.068700
0.050000,5.067216,6.522511,5.073266,2.003115,-0.008572,-0.000005,0.069011
0.050000,5.167111,6.529430,5.173400,2.002687,-0.008571,0.000028,0.069280
0.050000,5.266983,6.536372,5.273513,2.002258,-0.008570,0.000010,0.069506
0.050000,5.366833,6.543333,5.373605,2.001830,-0.008570,0.000007,0.069689
0.050000,5.466659,6.550308,5.473675,2.001401,-0.008570,-0.000002,0.069829
0.050000,5.566464,6.557294,5.573723,2.000973,-0.008569,0.000015,0.069926
0.050000,5.666246,6.564286,5.673751,2.000544,-0.008569,0.000002,0.069981
0.050000,5.766007,6.571280,5.773756,2.000116,-0.008569,0.000000,0.069992
0.050000,5.865747,6.578271,5.873741,1.999688,-0.008569,0.000002,0.069961
0.050000,5.965465,6.585255,5.973704,1.999259,-0.008569,-0.000001,0.069887
0.050000,6.065163,6.592229,6.073645,1.998831,-0.008570,-0.000005,0.069770
0.050000,6.164841,6.599187,6.173565,1.998402,-0.008570,-0.000007,0.069610
0.050000,6.264498,6.606126,6.273464,1.997974,-0.008570,0.000005,0.069408
0.050000,6.364136,6.613040,6.373341,1.997545,-0.008571,-0.000018,0.069162
0.050000,6.463754,6.619927,6.473197,1.997117,-0.008571,-0.000011,0.068874
0.050000,6.563353,6.626781,6.573031,1.996688,-0.008572,-0.000011,0.068543
0.050000,6.662933,6.633599,6.672844,1.996259,-0.008571,0.000007,0.068169
0.050000,6.762494,6.640376,6.772636,1.995831,-0.008573,-0.000032,0.067752
0.050000,6.862037,6.647108,6.872406,1.995402,-0.008574,-0.000016,0.067292
0.050000,6.961561,6.653791,6.972155,1.994973,-0.008574,-0.000014,0.066789
0.050000,7.061068,6.660420,7.071882,1.994545,-0.008574,0.000007,0.066244
0.050000,7.160557,6.666991,7.171588,1.994116,-0.008576,-0.000042,0.065655
0.050000,7.260028,6.673500,7.271272,1.993687,-0.008577,-0.000018,0.065024
0.050000,7.359483,6.679943,7.370935,1.993258,-0.008578,-0.000014,0.064350
0.050000,7.458920,6.686315,7.470576,1.992829,-0.008577,0.000008,0.063633
0.050000,7.558341,6.692612,7.570196,1.992400,-0.008580,-0.000045,0.062873
0.050000,7.657745,6.698831,7.669795,1.991971,-0.008581,-0.000017,0.062070
0.050000,7.757133,6.704966,7.769372,1.991542,-0.008581,-0.000011,0.061224
0.050000,7.856505,6.711013,7.868928,1.991113,-0.008581,0.000009,0.060335
0.050000,7.955861,6.716969,7.968462,1.990684,-0.008583,-0.000042,0.059404
0.050000,8.055201,6.722829,8.067975,1.990255,-0.008583,-0.000011,0.058429
0.050000,8.154525,6.728589,8.167466,1.989826,-0.008583,-0.000004,0.057412
0.050000,8.253834,6.734244,8.266936,1.989396,-0.008583,0.000013,0.056351
0.050000,8.353128,6.739791,8.366384,1.988967,-0.008584,-0.000029,0.055248
0.050000,8.452406,6.745225,8.465811,1.988538,-0.008584,0.000000,0.054102
0.050000,8.551669,6.750541,8.565217,1.988109,-0.008584,0.000007,0.052913
0.050000,8.650918,6.755737,8.664601,1.987680,-0.008583,0.000018,0.051681
0.050000,8.750151,6.760807,8.763963,1.987251,-0.008583,-0.000007,0.050406
0.050000,8.849369,6.765747,8.863304,1.986821,-0.008582,0.000018,0.049088
0.050000,8.948572,6.770553,8.962624,1.986392,-0.008581,0.000024,0.047727
0.050000,9.047760,6.775221,9.061922,1.985963,-0.008580,0.000027,0.046324
0.050000,9.146934,6.779747,9.161199,1.985534,-0.008578,0.000028,0.044877
0.050000,9.246093,6.784127,9.260454,1.985106,-0.008576,0.000043,0.043388
0.050000,9.345236,6.788355,9.359688,1.984677,-0.008574,0.000048,0.041856
0.050000,9.444365,6.792429,9.458900,1.984248,-0.008572,0.000038,0.040280
0.050000,9.543479,6.796343,9.558091,1.983820,-0.008568,0.000077,0.038662
