dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.215889,4.414554,0.000062,0.002470,0.049398,0.987963,5.300881
0.050000,2.215906,4.414529,0.000092,0.000602,-0.037359,-1.735147,5.300821
0.050000,2.215943,4.414473,0.000159,0.001353,0.015015,1.047485,5.300686
0.050000,2.216010,4.414373,0.000279,0.002399,0.020927,0.118241,5.300446
0.050000,2.216845,4.413120,0.001785,0.030113,0.554273,10.666920,5.300073
0.050000,2.218225,4.411047,0.004275,0.049803,0.393800,-3.209468,5.299538
0.050000,2.220100,4.408227,0.007662,0.067726,0.358469,-0.706609,5.298817
0.050000,2.222543,4.404547,0.012079,0.088353,0.412535,1.081314,5.297885
0.050000,2.225625,4.399892,0.017662,0.111649,0.465932,1.067937,5.296723
0.050000,2.229416,4.394152,0.024540,0.137577,0.518542,1.052211,5.295315
0.050000,2.233981,4.387215,0.032845,0.166081,0.570091,1.030981,5.293650
0.050000,2.239384,4.378974,0.042699,0.197099,0.620354,1.005248,5.291724
0.050000,2.245685,4.369320,0.054227,0.230560,0.669213,0.977185,5.289538
0.050000,2.252938,4.358150,0.067546,0.266375,0.716310,0.941934,5.287106
0.050000,2.261196,4.345362,0.082768,0.304446,0.761417,0.902138,5.284448
0.050000,2.270505,4.330859,0.100002,0.344661,0.804310,0.857865,5.281596
0.050000,2.280906,4.314549,0.119346,0.386895,0.844680,0.807397,5.278597
0.050000,2.292438,4.296343,0.140897,0.431006,0.882217,0.750744,5.275509
0.050000,2.305134,4.276163,0.164739,0.476841,0.916698,0.689632,5.272407
0.050000,2.319023,4.253934,0.190950,0.524227,0.947714,0.620301,5.269382
0.050000,2.334098,4.229648,0.219534,0.571683,0.949126,0.028248,5.266552
0.050000,2.350285,4.203416,0.250359,0.616492,0.896184,-1.058846,5.264057
0.050000,2.367481,4.175407,0.283225,0.657329,0.816726,-1.589148,5.262048
0.050000,2.385591,4.145796,0.317935,0.694196,0.737354,-1.587443,5.260674
0.050000,2.404529,4.114762,0.354290,0.727109,0.658252,-1.582033,5.260084
0.050000,2.424217,4.082490,0.392095,0.756085,0.579530,-1.574450,5.260425
0.050000,2.444587,4.049165,0.431152,0.781148,0.501243,-1.565737,5.261842
0.050000,2.465578,4.014979,0.471268,0.802317,0.423391,-1.557042,5.264475
0.050000,2.487136,3.980127,0.512249,0.819615,0.345958,-1.548655,5.268466
0.050000,2.509216,3.944808,0.553902,0.833058,0.268869,-1.541780,5.273954
0.050000,2.531774,3.909222,0.596035,0.842665,0.192139,-1.534608,5.281074
0.050000,2.554773,3.873575,0.638458,0.848452,0.115733,-1.528108,5.289961
0.050000,2.578176,3.838072,0.680980,0.850442,0.039798,-1.518715,5.300749
0.050000,2.601946,3.802921,0.723413,0.848666,-0.035526,-1.506480,5.313566
0.050000,2.626044,3.768329,0.765571,0.843172,-0.109877,-1.487008,5.328539
0.050000,2.650429,3.734500,0.807273,0.834038,-0.182676,-1.455985,5.345783
0.050000,2.675053,3.701631,0.848342,0.821380,-0.253154,-1.409559,5.365403
0.050000,2.699863,3.669914,0.888611,0.805370,-0.320215,-1.341214,5.387489
0.050000,2.724800,3.639523,0.927923,0.786243,-0.382537,-1.246451,5.412105
0.050000,2.749798,3.610617,0.966139,0.764323,-0.438394,-1.117134,5.439283
0.050000,2.774780,3.583337,1.003130,0.739810,-0.490258,-1.037276,5.469004
0.050000,2.799668,3.557794,1.038792,0.713255,-0.531112,-0.817085,5.501195
0.050000,2.824392,3.534057,1.073068,0.685503,-0.555023,-0.478222,5.535727
0.050000,2.848893,3.512156,1.105930,0.657246,-0.565143,-0.202396,5.572405
0.050000,2.873121,3.492087,1.137390,0.629210,-0.560729,0.088273,5.610959
