dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.800000,4.137000,0.000062,0.002470,0.049398,0.987963,5.300881
0.050000,1.800000,4.137000,0.000309,0.007410,0.098796,0.987963,5.300821
0.050000,1.800000,4.137000,0.000864,0.014819,0.148194,0.987963,5.300686
0.050000,1.800000,4.137000,0.001852,0.024699,0.197593,0.987963,5.300446
0.050000,1.800731,4.135902,0.003396,0.037049,0.246991,0.987963,5.300073
0.050000,1.801963,4.134052,0.005619,0.051868,0.296389,0.987963,5.299538
0.050000,1.803639,4.131533,0.008645,0.069157,0.345787,0.987963,5.298817
0.050000,1.805824,4.128240,0.012597,0.088917,0.395185,0.987963,5.297885
0.050000,1.808586,4.124070,0.017598,0.111146,0.444583,0.987963,5.296723
0.050000,1.811988,4.118917,0.023773,0.135845,0.493981,0.987963,5.295315
0.050000,1.816096,4.112676,0.031244,0.163014,0.543379,0.987963,5.293650
0.050000,1.820971,4.105240,0.040136,0.192653,0.592778,0.987963,5.291724
0.050000,1.826674,4.096501,0.050571,0.224762,0.642176,0.987963,5.289538
0.050000,1.833265,4.086351,0.062674,0.259340,0.691574,0.987963,5.287106
0.050000,1.840802,4.074680,0.076567,0.296389,0.740972,0.987963,5.284448
0.050000,1.849340,4.061377,0.092375,0.335907,0.790370,0.987963,5.281596
0.050000,1.858935,4.046331,0.110220,0.377896,0.839768,0.987963,5.278597
0.050000,1.869641,4.029430,0.130226,0.422354,0.889166,0.987963,5.275509
0.050000,1.881511,4.010562,0.152517,0.469282,0.938565,0.987963,5.272407
0.050000,1.894598,3.989615,0.177216,0.518680,0.987963,0.987963,5.269382
0.050000,1.908927,3.966532,0.204385,0.568079,0.987963,0.000000,5.266552
0.050000,1.924459,3.941361,0.233962,0.615007,0.938565,-0.987963,5.264057
0.050000,1.941129,3.914208,0.265824,0.659465,0.889166,-0.987963,5.262048
0.050000,1.958881,3.885184,0.299847,0.701453,0.839768,-0.987963,5.260674
0.050000,1.977665,3.854402,0.335907,0.740972,0.790370,-0.987963,5.260084
0.050000,1.997442,3.821983,0.373882,0.778021,0.740972,-0.987963,5.260425
0.050000,2.018182,3.788054,0.413648,0.812599,0.691574,-0.987963,5.261842
0.050000,2.039862,3.752747,0.455080,0.844708,0.642176,-0.987963,5.264475
0.050000,2.062470,3.716198,0.498057,0.874347,0.592778,-0.987963,5.268466
0.050000,2.086004,3.678552,0.542453,0.901516,0.543379,-0.987963,5.273954
0.050000,2.110469,3.639960,0.588147,0.926215,0.493981,-0.987963,5.281074
0.050000,2.135878,3.600579,0.635013,0.948444,0.444583,-0.987963,5.289961
0.050000,2.162250,3.560573,0.682929,0.968203,0.395185,-0.987963,5.300749
0.050000,2.189611,3.520114,0.731772,0.985493,0.345787,-0.987963,5.313566
0.050000,2.217989,3.479381,0.781417,1.000312,0.296389,-0.987963,5.328539
0.050000,2.247417,3.438558,0.831741,1.012662,0.246991,-0.987963,5.345783
0.050000,2.277925,3.397840,0.882621,1.022541,0.197593,-0.987963,5.365403
0.050000,2.309541,3.357426,0.933933,1.029951,0.148194,-0.987963,5.387489
0.050000,2.342287,3.317523,0.985555,1.034891,0.098796,-0.987963,5.412105
0.050000,2.376177,3.278341,1.037361,1.037361,0.049398,-0.987963,5.439283
0.050000,2.411198,3.240105,1.089213,1.036736,-0.012487,-1.237704,5.469004
0.050000,2.447321,3.203038,1.140973,1.033642,-0.061885,-0.987963,5.501195
0.050000,2.484504,3.167347,1.192516,1.028078,-0.111283,-0.987963,5.535727
0.050000,2.522681,3.133230,1.243719,1.020044,-0.160681,-0.987963,5.572405
0.050000,2.561756,3.100868,1.294458,1.009540,-0.210080,-0.987963,5.610959
0.050000,2.601608,3.070425,1.344611,0.996566,-0.259478,-0.987963,5.651050
0.050000,2.642084,3.042037,1.394053,0.981122,-0.308876,-0.987963,5.692274
0.050000,2.683003,3.015806,1.442661,0.963209,-0.358274,-0.987963,5.734179
0.050000,2.724161,2.991800,1.490312,0.942825,-0.407672,-0.987963,5.776287
0.050000,2.765334,2.970048,1.536882,0.919971,-0.457070,-0.987963,5.818111
0.050000,2.806288,2.950539,1.582248,0.894648,-0.506468,-0.987963,5.859188
0.050000,2.846777,2.933228,1.626285,0.866855,-0.555867,-0.987963,5.899092
0.050000,2.886557,2.918032,1.668871,0.836592,-0.605265,-0.987963,5.937455
0.050000,2.925387,2.904844,1.709883,0.803858,-0.654663,-0.987963,5.973975
0.050000,2.963035,2.893530,1.749196,0.768655,-0.704061,-0.987963,6.008417
0.050000,2.999277,2.883942,1.786686,0.730982,-0.753459,-0.987963,6.040613
0.050000,3.033905,2.875922,1.822232,0.690840,-0.802857,-0.987963,6.070454
0.050000,3.066720,2.869306,1.855709,0.648227,-0.852255,-0.987963,6.097878
0.050000,3.097538,2.863928,1.886993,0.603144,-0.901653,-0.987963,6.122862
0.050000,3.126184,2.859628,1.915961,0.555591,-0.951052,-0.987963,6.145413
0.050000,3.152513,2.856248,1.942506,0.506193,-0.987963,-0.738222,6.165566
0.050000,3.176460,2.853636,1.966596,0.457420,-0.975476,0.249741,6.183423
0.050000,3.198082,2.851644,1.988310,0.411116,-0.926077,0.987963,6.199159
0.050000,3.217484,2.850145,2.007770,0.367282,-0.876679,0.987963,6.212971
0.050000,3.234778,2.849034,2.025100,0.325918,-0.827281,0.987963,6.225039
0.050000,3.250080,2.848224,2.040423,0.287024,-0.777883,0.987963,6.235527
0.050000,3.263508,2.847645,2.053864,0.250599,-0.728485,0.987963,6.244585
0.050000,3.275182,2.847239,2.065545,0.216645,-0.679087,0.987963,6.252351
0.050000,3.285224,2.846963,2.075590,0.185160,-0.629689,0.987963,6.258950
0.050000,3.293754,2.846780,2.084123,0.156146,-0.580291,0.987963,6.264498
0.050000,3.300897,2.846663,2.091266,0.129601,-0.530892,0.987963,6.269102
0.050000,3.306775,2.846591,2.097144,0.105527,-0.481494,0.987963,6.272863
0.050000,3.311511,2.846549,2.101881,0.083922,-0.432096,0.987963,6.275876
0.050000,3.315229,2.846527,2.105598,0.064787,-0.382698,0.987963,6.278230
0.050000,3.318051,2.846515,2.108421,0.048122,-0.333300,0.987963,6.280010
0.050000,3.320103,2.846510,2.110472,0.033927,-0.283902,0.987963,6.281300
