dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.384111,3.859446,0.000062,0.002470,0.049398,0.987963,5.300881
0.050000,1.384094,3.859471,0.000092,0.000602,-0.037359,-1.735147,5.300821
0.050000,1.384057,3.859527,0.000159,0.001353,0.015015,1.047485,5.300686
0.050000,1.383990,3.859627,0.000279,0.002399,0.020927,0.118241,5.300446
0.050000,1.384618,3.858685,0.001412,0.022646,0.404930,7.680056,5.300073
0.050000,1.385702,3.857057,0.003367,0.039114,0.329371,-1.511178,5.299538
0.050000,1.387177,3.854838,0.006032,0.053300,0.283712,-0.913173,5.298817
0.050000,1.389105,3.851933,0.009518,0.069722,0.328437,0.894500,5.297885
0.050000,1.391546,3.848248,0.013939,0.088412,0.373805,0.907359,5.296723
0.050000,1.394561,3.843683,0.019410,0.109414,0.420045,0.924792,5.295315
0.050000,1.398210,3.838137,0.026049,0.132779,0.467294,0.944973,5.293650
0.050000,1.402557,3.831506,0.033977,0.158567,0.515758,0.969288,5.291724
0.050000,1.407664,3.823683,0.043320,0.186855,0.565760,1.000042,5.289538
0.050000,1.413592,3.814552,0.054206,0.217727,0.617451,1.033826,5.287106
0.050000,1.420408,3.803998,0.066770,0.251283,0.671109,1.073160,5.284448
0.050000,1.428176,3.791894,0.081152,0.287634,0.727034,1.118499,5.281596
0.050000,1.436965,3.778113,0.097497,0.326908,0.785474,1.168793,5.278597
0.050000,1.446844,3.762516,0.115960,0.369243,0.846694,1.224394,5.275509
0.050000,1.457888,3.744961,0.136699,0.414796,0.911057,1.287261,5.272407
0.050000,1.470174,3.725297,0.159886,0.463736,0.978799,1.354851,5.269382
0.050000,1.483757,3.703416,0.185640,0.515076,1.026800,0.960006,5.266552
0.050000,1.498633,3.679307,0.213970,0.566593,1.030350,0.071011,5.264057
0.050000,1.514778,3.653010,0.244827,0.617143,1.011003,-0.386936,5.262048
0.050000,1.532171,3.624571,0.278163,0.666722,0.991581,-0.388447,5.260674
0.050000,1.550802,3.594041,0.313929,0.715317,0.971892,-0.393788,5.260084
0.050000,1.570668,3.561477,0.352074,0.762908,0.951814,-0.401557,5.260425
0.050000,1.591776,3.526944,0.392548,0.809473,0.931300,-0.410270,5.261842
0.050000,1.614146,3.490514,0.435297,0.854990,0.910345,-0.419094,5.264475
0.050000,1.637804,3.452268,0.480269,0.899440,0.888995,-0.427001,5.268466
0.050000,1.662793,3.412296,0.527409,0.942802,0.867254,-0.434822,5.273954
0.050000,1.689164,3.370698,0.576662,0.985062,0.845198,-0.441121,5.281074
0.050000,1.716982,3.327583,0.627972,1.026200,0.822762,-0.448730,5.289961
0.050000,1.746324,3.283075,0.681282,1.066197,0.799927,-0.456694,5.300749
0.050000,1.777275,3.237307,0.736533,1.105018,0.776430,-0.469936,5.313566
