dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.603484,15.027334,0.000063,0.002500,0.050000,1.000000,6.157184
0.050000,0.603450,15.027339,0.000097,0.000700,-0.036007,-1.720139,6.157254
0.050000,0.603372,15.027348,0.000176,0.001574,0.017482,1.069769,6.157411
0.050000,0.603233,15.027366,0.000316,0.002796,0.024447,0.139304,6.157691
0.050000,0.603016,15.027393,0.000534,0.004365,0.031370,0.138462,6.158127
0.050000,0.602705,15.027432,0.000848,0.006276,0.038224,0.137085,6.158755
0.050000,0.605052,15.027140,0.003213,0.047310,0.820683,15.649178,6.159607
0.050000,0.608471,15.026717,0.006659,0.068902,0.431846,-7.776746,6.160717
0.050000,0.612802,15.026187,0.011021,0.087257,0.367087,-1.295178,6.162117
0.050000,0.618153,15.025541,0.016412,0.107803,0.410926,0.876792,6.163837
0.050000,0.624635,15.024770,0.022940,0.130559,0.455129,0.884048,6.165905
0.050000,0.632361,15.023870,0.030717,0.155554,0.499890,0.895231,6.168350
0.050000,0.641442,15.022835,0.039857,0.182794,0.544806,0.898322,6.171195
0.050000,0.651993,15.021666,0.050473,0.212321,0.590531,0.914493,6.174463
0.050000,0.664132,15.020364,0.062681,0.244162,0.636829,0.925956,6.178173
0.050000,0.677975,15.018934,0.076598,0.278339,0.683544,0.934298,6.182338
0.050000,0.693645,15.017385,0.092344,0.314919,0.731591,0.960952,6.186971
0.050000,0.711264,15.015730,0.110041,0.353932,0.780267,0.973512,6.192078
0.050000,0.730958,15.013987,0.129812,0.395418,0.829724,0.989140,6.197661
0.050000,0.752856,15.012176,0.151784,0.439454,0.880716,1.019841,6.203716
0.050000,0.777034,15.010330,0.176033,0.484970,0.910308,0.591844,6.210218
0.050000,0.803516,15.008487,0.202579,0.530925,0.919101,0.175858,6.217126
0.050000,0.832326,15.006687,0.231446,0.577335,0.928214,0.182248,6.224392
0.050000,0.863490,15.004972,0.262657,0.624223,0.937750,0.190734,6.231970
0.050000,0.897034,15.003385,0.296238,0.671625,0.948035,0.205692,6.239807
0.050000,0.932984,15.001970,0.332215,0.719548,0.958460,0.208502,6.247852
0.050000,0.971366,15.000773,0.370616,0.768017,0.969379,0.218390,6.256050
0.050000,1.012207,14.999835,0.411468,0.817040,0.980462,0.221654,6.264346
0.050000,1.055534,14.999201,0.454800,0.866634,0.991887,0.228499,6.272683
0.050000,1.101373,14.998912,0.500640,0.916801,1.003342,0.229093,6.281002
0.050000,1.149751,14.999008,0.549018,0.967555,1.015069,0.234546,0.006061
0.050000,1.200693,14.999526,0.599962,1.018885,1.026611,0.230841,0.014172
0.050000,1.254224,15.000499,0.653503,1.070813,1.038560,0.238987,0.022091
0.050000,1.310371,15.001958,0.709669,1.123318,1.050096,0.230715,0.029759
0.050000,1.369160,15.003928,0.768490,1.176425,1.062133,0.240729,0.037116
0.050000,1.430615,15.006429,0.829996,1.230122,1.073941,0.236173,0.044104
0.050000,1.494763,15.009475,0.894216,1.284407,1.085699,0.235156,0.050663
0.050000,1.561631,15.013073,0.961181,1.339299,1.097851,0.243033,0.056733
0.050000,1.631247,15.017224,1.030921,1.394799,1.109993,0.242848,0.062253
0.050000,1.703641,15.021920,1.103467,1.450916,1.122353,0.247202,0.067161
0.050000,1.778783,15.027140,1.178790,1.506454,1.110751,-0.232048,0.071391
0.050000,1.856583,15.032845,1.256799,1.560179,1.074499,-0.725041,0.074873
0.050000,1.936952,15.038988,1.337402,1.612069,1.037798,-0.734021,0.077541
0.050000,2.019801,15.045506,1.420507,1.662100,1.000616,-0.743637,0.079331
0.050000,2.105041,15.052326,1.506020,1.710260,0.963199,-0.748336,0.080180
0.050000,2.192586,15.059362,1.593847,1.756541,0.925634,-0.751308,0.080026
0.050000,2.282349,15.066513,1.683894,1.800946,0.888101,-0.750645,0.078807
0.050000,2.374245,15.073670,1.776068,1.843480,0.850678,-0.748473,0.076459
0.050000,2.468189,15.080709,1.870276,1.884161,0.813617,-0.741210,0.072918
0.050000,2.564100,15.087493,1.966426,1.923001,0.776795,-0.736450,0.068117
0.050000,2.661893,15.093874,2.064428,1.960032,0.740625,-0.723397,0.061989
0.050000,2.761488,15.099691,2.164192,1.995283,0.705015,-0.712203,0.054460
0.050000,2.862800,15.104768,2.265631,2.028781,0.669958,-0.701133,0.045457
0.050000,2.965744,15.108918,2.368659,2.060559,0.635557,-0.688029,0.034900
0.050000,3.070233,15.111942,2.473192,2.090652,0.601869,-0.673749,0.022708
0.050000,3.176174,15.113625,2.579146,2.119084,0.568643,-0.664529,0.008798
0.050000,3.283467,15.113741,2.686439,2.145862,0.535559,-0.661681,6.276270
0.050000,3.392003,15.112051,2.794989,2.170992,0.502600,-0.659172,6.258668
0.050000,3.501662,15.108304,2.904711,2.194451,0.469175,-0.668505,6.239095
0.050000,3.612304,15.102241,3.015519,2.216163,0.434246,-0.698574,6.217474
0.050000,3.723842,15.093588,3.127393,2.237468,0.426106,-0.162811,6.193722
0.050000,3.836235,15.082052,3.240376,2.259659,0.443806,0.354001,6.167750
0.050000,3.949414,15.067324,3.354509,2.282665,0.460126,0.326414,6.139475
0.050000,4.063278,15.049082,3.469825,2.306328,0.473269,0.262860,6.108833
0.050000,4.177686,15.026995,3.586345,2.330397,0.481370,0.162003,6.075783
0.050000,4.292446,15.000734,3.704073,2.354549,0.483038,0.033370,6.040316
0.050000,4.407318,14.969975,3.822991,2.378358,0.476193,-0.136892,6.002466
0.050000,4.521997,14.934420,3.943055,2.401289,0.458602,-0.351833,5.962321
0.050000,4.636123,14.893809,4.064192,2.422732,0.428861,-0.594820,5.920029
0.050000,4.749280,14.847937,4.186293,2.442020,0.385765,-0.861910,5.875807
0.050000,4.861002,14.796670,4.309216,2.458470,0.329008,-1.135152,5.829938
0.050000,4.970794,14.739963,4.432788,2.471441,0.259421,-1.391735,5.782771
0.050000,5.078150,14.677866,4.556809,2.480419,0.179548,-1.597450,5.734705
0.050000,5.182575,14.610530,4.681061,2.485046,0.092553,-1.739899,5.686176
0.050000,5.283612,14.538201,4.805319,2.485158,0.002242,-1.806236,5.637634
0.050000,5.380869,14.461204,4.929365,2.480920,-0.084768,-1.740192,5.589520
0.050000,5.474026,14.379931,5.052992,2.472542,-0.167564,-1.655929,5.542241
0.050000,5.562857,14.294810,5.176023,2.460612,-0.238596,-1.420640,5.496159
0.050000,5.647221,14.206289,5.298306,2.445666,-0.298927,-1.206602,5.451570
0.050000,5.727069,14.114813,5.419730,2.428468,-0.343949,-0.900453,5.408704
0.050000,5.802422,14.020804,5.540211,2.409626,-0.376846,-0.657936,5.367724
0.050000,5.873368,13.924656,5.659701,2.389792,-0.396677,-0.396617,5.328730
0.050000,5.940040,13.826722,5.778175,2.369494,-0.405966,-0.185778,5.291767
0.050000,6.002608,13.727315,5.895634,2.349177,-0.406344,-0.007570,5.256836
0.050000,6.061268,13.626701,6.012098,2.329285,-0.397839,0.170096,5.223898
0.050000,6.116221,13.525115,6.127596,2.309951,-0.386671,0.223361,5.192893
0.050000,6.167679,13.422749,6.242168,2.291439,-0.370238,0.328663,5.163739
0.050000,6.215852,13.319764,6.355863,2.273897,-0.350843,0.387897,5.136343
0.050000,6.260941,13.216296,6.468728,2.257313,-0.331672,0.383428,5.110605
0.050000,6.303142,13.112455,6.580817,2.241768,-0.310900,0.415445,5.086422
0.050000,6.342639,13.008334,6.692178,2.227227,-0.290832,0.401361,5.063694
0.050000,6.379605,12.904004,6.802863,2.213690,-0.270736,0.401908,5.042321
0.050000,6.414202,12.799530,6.912917,2.201082,-0.252153,0.371665,5.022208
0.050000,6.446580,12.694955,7.022389,2.189452,-0.232611,0.390841,5.003264
0.050000,6.472765,12.606502,7.114637,1.844951,-6.890010,-133.147973,5.005053
0.050000,6.499922,12.519022,7.206235,1.831953,-0.259957,132.601049,5.021856
0.050000,6.528480,12.432295,7.297543,1.826170,-0.115667,2.885814,5.039237
0.050000,6.558469,12.346366,7.388554,1.820226,-0.118876,-0.064186,5.057211
0.050000,6.589918,12.261285,7.479262,1.814144,-0.121650,-0.055491,5.075794
0.050000,6.622855,12.177104,7.569657,1.807913,-0.124620,-0.059393,5.095000
0.050000,6.657308,12.093874,7.659736,1.801570,-0.126847,-0.044545,5.114841
0.050000,6.693302,12.011652,7.749492,1.795122,-0.128968,-0.042412,5.135325
0.050000,6.730862,11.930491,7.838922,1.788604,-0.130355,-0.027743,5.156461
0.050000,6.770012,11.850451,7.928024,1.782045,-0.131180,-0.016496,5.178252
0.050000,6.810772,11.771586,8.016799,1.775496,-0.130990,0.003791,5.200700
0.050000,6.853161,11.693957,8.105248,1.768967,-0.130572,0.008362,5.223799
0.050000,6.897195,11.617621,8.193374,1.762526,-0.128833,0.034789,5.247542
0.050000,6.942889,11.542635,8.281185,1.756219,-0.126127,0.054112,5.271916
0.050000,6.990254,11.469058,8.368690,1.750097,-0.122448,0.073582,5.296901
0.050000,7.039299,11.396943,8.455901,1.744232,-0.117302,0.102930,5.322474
0.050000,7.090029,11.326347,8.542834,1.738662,-0.111402,0.117982,5.348602
0.050000,7.142447,11.257321,8.629508,1.733480,-0.103622,0.155612,5.375249
0.050000,7.196554,11.189914,8.715944,1.728723,-0.095150,0.169437,5.402371
0.050000,7.252345,11.124174,8.802168,1.724464,-0.085180,0.199394,5.429919
0.050000,7.309815,11.060144,8.888206,1.720765,-0.073975,0.224112,5.457837
0.050000,7.368953,10.997865,8.974090,1.717674,-0.061819,0.243112,5.486064
0.050000,7.429747,10.937373,9.059851,1.715235,-0.048795,0.260482,5.514534
0.050000,7.492180,10.878702,9.145526,1.713498,-0.034725,0.281394,5.543179
0.050000,7.556233,10.821881,9.231150,1.712476,-0.020445,0.285605,5.571925
0.050000,7.621883,10.766935,9.316760,1.712199,-0.005546,0.297987,5.600699
0.050000,7.689105,10.713884,9.402393,1.712664,0.009296,0.296842,5.629427
0.050000,7.757867,10.662747,9.488086,1.713866,0.024050,0.295074,5.658034
0.050000,7.828139,10.613537,9.573876,1.715788,0.038449,0.287978,5.686450
0.050000,7.899839,10.566290,9.659742,1.717328,0.030794,-0.153100,5.714587
0.050000,7.972832,10.521066,9.745610,1.717361,0.000654,-0.602790,5.742346
0.050000,8.046976,10.477907,9.831401,1.715813,-0.030963,-0.632353,5.769636
0.050000,8.122118,10.436843,9.917031,1.712598,-0.064301,-0.666764,5.796374
0.050000,8.198098,10.397893,10.002412,1.707628,-0.099396,-0.701900,5.822485
0.050000,8.274748,10.361061,10.087452,1.700803,-0.136493,-0.741924,5.847904
0.050000,8.351896,10.326341,10.172054,1.692023,-0.175601,-0.782167,5.872578
0.050000,8.429365,10.293714,10.256113,1.681193,-0.216599,-0.819969,5.896460
0.050000,8.506975,10.263152,10.339524,1.668210,-0.259669,-0.861398,5.919517
0.050000,8.584543,10.234617,10.422174,1.652995,-0.304290,-0.892423,5.941721
0.050000,8.661884,10.208061,10.503947,1.635464,-0.350632,-0.926841,5.963055
0.050000,8.738814,10.183431,10.584723,1.615533,-0.398619,-0.959739,5.983508
0.050000,8.815149,10.160664,10.664381,1.593155,-0.447555,-0.978721,6.003074
0.050000,8.890706,10.139694,10.742794,1.568265,-0.497796,-1.004814,6.021756
0.050000,8.965304,10.120449,10.819835,1.540817,-0.548966,-1.023402,6.039559
0.050000,9.038764,10.102852,10.895374,1.510768,-0.600979,-1.040265,6.056492
0.050000,9.110911,10.086823,10.969279,1.478106,-0.653226,-1.044939,6.072568
0.050000,9.181569,10.072282,11.041418,1.442787,-0.706396,-1.063388,6.087801
0.050000,9.250570,10.059144,11.111659,1.404811,-0.759504,-1.062161,6.102208
0.050000,9.317746,10.047326,11.179866,1.364152,-0.813190,-1.073713,6.115807
0.050000,9.382990,10.036734,11.245964,1.321958,-0.843886,-0.613935,6.128626
0.050000,9.446254,10.027270,11.309932,1.279362,-0.851914,-0.160556,6.140704
0.050000,9.507497,10.018841,11.371753,1.236409,-0.859065,-0.143009,6.152079
0.050000,9.566681,10.011361,11.431408,1.193098,-0.866224,-0.143184,6.162784
0.050000,9.623773,10.004746,11.488881,1.149474,-0.872471,-0.124936,6.172852
0.050000,9.678742,9.998920,11.544158,1.105528,-0.878912,-0.128837,6.182314
0.050000,9.731561,9.993812,11.597223,1.061309,-0.884392,-0.109597,6.191198
0.050000,9.782206,9.989354,11.648064,1.016820,-0.889767,-0.107491,6.199531
0.050000,9.830655,9.985482,11.696668,0.972079,-0.894838,-0.101433,6.207338
0.050000,9.876890,9.982139,11.743024,0.927115,-0.899276,-0.088752,6.214642
0.050000,9.920893,9.979269,11.787121,0.881933,-0.903642,-0.087313,6.221464
0.050000,9.962649,9.976823,11.828948,0.836553,-0.907595,-0.079069,6.227824
0.050000,10.002145,9.974751,11.868498,0.790994,-0.911173,-0.071556,6.233741
0.050000,10.039367,9.973012,11.905761,0.745262,-0.914636,-0.069270,6.239230
0.050000,10.074306,9.971564,11.940730,0.699380,-0.917656,-0.060400,6.244307
0.050000,10.106953,9.970371,11.973398,0.653361,-0.920372,-0.054318,6.248987
0.050000,10.137297,9.969398,12.003758,0.607199,-0.923245,-0.057462,6.253283
0.050000,10.165333,9.968615,12.031805,0.560932,-0.925341,-0.041908,6.257205
0.050000,10.191053,9.967992,12.057532,0.514551,-0.927613,-0.045435,6.260765
0.050000,10.214452,9.967505,12.080936,0.468082,-0.929382,-0.035383,6.263973
0.050000,10.235582,9.967130,12.102070,0.422683,-0.907981,0.428021,6.266844
0.050000,10.254558,9.966844,12.121049,0.379563,-0.862391,0.911787,6.269402
0.050000,10.271493,9.966630,12.137984,0.338714,-0.816979,0.908255,6.271669
0.050000,10.286501,9.966472,12.152993,0.300171,-0.770873,0.922107,6.273666
0.050000,10.299695,9.966358,12.166188,0.263909,-0.725243,0.912613,6.275412
0.050000,10.311194,9.966277,12.177687,0.229976,-0.678660,0.931653,6.276925
0.050000,10.321111,9.966221,12.187604,0.198348,-0.632553,0.922133,6.278226
0.050000,10.329564,9.966184,12.196057,0.169057,-0.585829,0.934491,6.279330
0.050000,10.336668,9.966160,12.203161,0.142082,-0.539484,0.926888,6.280256
0.050000,10.342541,9.966145,12.209034,0.117452,-0.492608,0.937530,6.281019
0.050000,10.347299,9.966136,12.213792,0.095160,-0.445838,0.935394,6.281636
0.050000,10.351058,9.966131,12.217552,0.075192,-0.399352,0.929715,6.282122
0.050000,10.353938,9.966129,12.220431,0.057590,-0.352051,0.946019,6.282494
0.050000,10.356053,9.966128,12.222547,0.042313,-0.305537,0.930290,6.282768
0.050000,10.357523,9.966127,12.224017,0.029397,-0.258316,0.944423,6.282957
