dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,27.441000,4.368000,0.000606,0.024249,0.484986,9.699717,1.569087
0.050000,27.441000,4.368000,0.003031,0.072748,0.969972,9.699717,1.569382
0.050000,27.441000,4.368000,0.008487,0.145496,1.454957,9.699717,1.570048
0.050000,27.440999,4.371566,0.018187,0.242493,1.939943,9.699717,1.571232
0.050000,27.440979,4.386722,0.033343,0.363739,2.424929,9.699717,1.573086
0.050000,27.440899,4.408546,0.055167,0.509235,2.909915,9.699717,1.575766
0.050000,27.440697,4.438250,0.084873,0.678980,3.394901,9.699717,1.579434
0.050000,27.440269,4.477048,0.123671,0.872974,3.879887,9.699717,1.584258
0.050000,27.439457,4.526144,0.172776,1.091218,4.364872,9.699717,1.590419
0.050000,27.438035,4.586751,0.233399,1.333711,4.849858,9.699717,1.598111
0.050000,27.435709,4.659462,0.306147,1.576204,4.849858,0.000000,1.607466
0.050000,27.432128,4.744258,0.391020,1.818697,4.849858,0.000000,1.618552
0.050000,27.426875,4.841112,0.488017,2.061190,4.849858,0.000000,1.631448
0.050000,27.419458,4.949979,0.597139,2.303683,4.849858,0.000000,1.646244
0.050000,27.409308,5.070799,0.718385,2.546176,4.849858,-0.000000,1.663038
0.050000,27.395774,5.203481,0.851756,2.788669,4.849858,0.000000,1.681936
0.050000,27.378118,5.347899,0.997252,3.031161,4.849858,0.000000,1.703049
0.050000,27.355511,5.503886,1.154873,3.273654,4.849858,0.000000,1.726486
0.050000,27.327033,5.671220,1.324618,3.516147,4.849858,-0.000000,1.752352
0.050000,27.291671,5.849612,1.506487,3.758640,4.849858,0.000000,1.780738
0.050000,27.248321,6.038691,1.700482,4.001133,4.849858,-0.000000,1.811709
0.050000,27.195802,6.237998,1.906601,4.243626,4.849858,0.000000,1.845293
0.050000,27.132868,6.446958,2.124844,4.486119,4.849858,0.000000,1.881465
0.050000,27.058230,6.664885,2.355212,4.728612,4.849858,-0.000000,1.920132
0.050000,26.970589,6.890967,2.597705,4.971105,4.849858,0.000000,1.961115
0.050000,26.868674,7.124277,2.852323,5.213598,4.849858,-0.000000,2.004134
0.050000,26.751287,7.363776,3.119065,5.456091,4.849858,0.000000,2.048808
0.050000,26.617656,7.607821,3.397326,5.674334,4.364872,-9.699717,2.094550
0.050000,26.467598,7.854273,3.685892,5.868329,3.879887,-9.699717,2.140604
0.050000,26.301320,8.101128,3.983552,6.038074,3.394901,-9.699717,2.186188
0.050000,26.119409,8.346583,4.289093,6.183569,2.909915,-9.699717,2.230546
0.050000,25.922811,8.589090,4.601303,6.304816,2.424929,-9.699717,2.272992
0.050000,25.712776,8.827382,4.918969,6.401813,1.939943,-9.699717,2.312947
0.050000,25.490796,9.060489,5.240878,6.474561,1.454957,-9.699717,2.349960
0.050000,25.258539,9.287718,5.565819,6.523059,0.969972,-9.699717,2.383707
0.050000,25.017785,9.508627,5.892578,6.547309,0.484986,-9.699717,2.413992
0.050000,24.770749,9.722668,6.219452,6.527648,-0.393210,-17.563910,2.440686
0.050000,24.519690,9.929488,6.544736,6.483738,-0.878196,-9.699717,2.463767
