dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000997,-1.000000,0.000040,0.004000,0.200000,10.000000,6.282188
0.020000,-0.000989,-1.000000,0.000048,0.000399,-0.180040,-19.001986,6.282196
0.020000,-0.000971,-1.000000,0.000066,0.000898,0.024952,10.249562,6.282214
0.020000,-0.000939,-1.000000,0.000098,0.001597,0.034935,0.499194,6.282246
0.020000,-0.000889,-1.000000,0.000148,0.002495,0.044924,0.499444,6.282296
0.020000,-0.000817,-1.000000,0.000220,0.003594,0.054921,0.499855,6.282368
0.020000,-0.000719,-1.000000,0.000318,0.004892,0.064931,0.500465,6.282466
0.020000,-0.000592,-1.000000,0.000445,0.006392,0.074957,0.501315,6.282594
0.020000,-0.000430,-1.000000,0.000607,0.008092,0.085006,0.502446,6.282755
0.020000,-0.000230,-1.000000,0.000807,0.009993,0.095084,0.503897,6.282955
0.020000,0.000210,-1.000000,0.001247,0.022003,0.600458,25.268705,0.000010
0.020000,0.006092,-0.999999,0.007129,0.294109,13.605330,650.243619,0.000290
0.020000,0.012813,-0.999996,0.013850,0.336038,2.096457,-575.443656,0.000611
0.020000,0.020372,-0.999990,0.021409,0.377933,2.094730,-0.086334,0.000971
0.020000,0.028775,-0.999980,0.029812,0.420178,2.112237,0.875337,0.001373
0.020000,0.038017,-0.999966,0.039054,0.462063,2.094267,-0.898530,0.001815
0.020000,0.048100,-0.999945,0.049137,0.504176,2.105675,0.570423,0.002298
0.020000,0.059023,-0.999917,0.060060,0.546171,2.099710,-0.298242,0.002822
0.020000,0.070789,-0.999880,0.071827,0.588305,2.106695,0.349227,0.003387
0.020000,0.083394,-0.999834,0.084431,0.630221,2.095830,-0.543242,0.003994
0.020000,0.096844,-0.999776,0.097882,0.672527,2.115297,0.973341,0.004642
0.020000,0.111134,-0.999704,0.112171,0.714497,2.098510,-0.839319,0.005332
0.020000,0.126264,-0.999618,0.127302,0.756521,2.101171,0.133045,0.006065
0.020000,0.142240,-0.999515,0.143278,0.798809,2.114419,0.662385,0.006839
0.020000,0.159058,-0.999393,0.160096,0.840912,2.105163,-0.462808,0.007657
0.020000,0.176718,-0.999250,0.177757,0.883026,2.105698,0.026758,0.008517
0.020000,0.195221,-0.999084,0.196260,0.925176,2.107483,0.089243,0.009421
0.020000,0.214567,-0.998893,0.215608,0.967357,2.109047,0.078220,0.010369
0.020000,0.234757,-0.998674,0.235799,1.009565,2.110390,0.067153,0.011360
0.020000,0.255791,-0.998424,0.256835,1.051795,2.111511,0.056047,0.012396
0.020000,0.277670,-0.998141,0.278716,1.094043,2.112409,0.044904,0.013477
0.020000,0.300394,-0.997822,0.301442,1.136305,2.113084,0.033729,0.014602
0.020000,0.323963,-0.997464,0.325013,1.178576,2.113534,0.022527,0.015774
0.020000,0.348377,-0.997064,0.349430,1.220851,2.113761,0.011302,0.016991
0.020000,0.373635,-0.996619,0.374693,1.263126,2.113762,0.000058,0.018255
0.020000,0.399742,-0.996125,0.400805,1.305596,2.123497,0.486747,0.019566
0.020000,0.426696,-0.995579,0.427764,1.347973,2.118868,-0.231451,0.020925
0.020000,0.454495,-0.994978,0.455569,1.390264,2.114561,-0.215351,0.022331
0.020000,0.483143,-0.994317,0.484225,1.432782,2.125885,0.566226,0.023786
0.020000,0.512639,-0.993593,0.513730,1.475233,2.122553,-0.166583,0.025291
0.020000,0.542982,-0.992802,0.544083,1.517652,2.120941,-0.080627,0.026845
0.020000,0.574175,-0.991939,0.575288,1.560266,2.130714,0.488665,0.028449
0.020000,0.606216,-0.991001,0.607343,1.602745,2.123956,-0.337927,0.030104
0.020000,0.639107,-0.989983,0.640250,1.645327,2.129069,0.255689,0.031811
0.020000,0.672850,-0.988879,0.674010,1.688025,2.134924,0.292744,0.033571
0.020000,0.707440,-0.987686,0.708621,1.730568,2.127157,-0.388369,0.035383
0.020000,0.742882,-0.986398,0.744087,1.773264,2.134753,0.379811,0.037249
0.020000,0.779178,-0.985011,0.780409,1.816103,2.141983,0.361511,0.039170
