dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.476788,4.735119,0.000063,0.002500,0.050000,1.000000,6.281110
0.050000,0.476734,4.735119,0.000116,0.001078,-0.028439,-1.568786,6.281218
0.050000,0.476613,4.735119,0.000238,0.002426,0.026968,1.108148,6.281461
0.050000,0.476397,4.735120,0.000454,0.004317,0.037804,0.216710,6.281892
0.050000,0.476059,4.735120,0.000791,0.006752,0.048713,0.218192,6.282567
0.050000,0.476395,4.735120,0.001127,0.006716,-0.000730,-0.988857,0.000357
0.050000,0.478793,4.735123,0.003524,0.047946,0.824599,16.506580,0.001687
0.050000,0.481919,4.735131,0.006651,0.062537,0.291826,-10.655464,0.003435
0.050000,0.485869,4.735149,0.010600,0.078987,0.328997,0.743418,0.005661
0.050000,0.490732,4.735183,0.015464,0.097263,0.365521,0.730478,0.008432
0.050000,0.496601,4.735242,0.021333,0.117389,0.402531,0.740196,0.011821
0.050000,0.503559,4.735339,0.028292,0.139170,0.435614,0.661672,0.015904
0.050000,0.511688,4.735488,0.036423,0.162619,0.468969,0.667086,0.020766
0.050000,0.521066,4.735709,0.045803,0.187616,0.499944,0.619503,0.026504
0.050000,0.531764,4.736029,0.056506,0.214048,0.528641,0.573950,0.033225
0.050000,0.543844,4.736477,0.068594,0.241759,0.554218,0.511527,0.041049
0.050000,0.557358,4.737093,0.082122,0.270576,0.576338,0.442409,0.050116
0.050000,0.572349,4.737923,0.097136,0.300265,0.593786,0.348950,0.060588
0.050000,0.588842,4.739023,0.113666,0.330597,0.606638,0.257058,0.072654
0.050000,0.606845,4.740458,0.131725,0.361197,0.612004,0.107317,0.086533
0.050000,0.626300,4.742300,0.151267,0.390838,0.592820,-0.383693,0.102450
0.050000,0.647080,4.744625,0.172177,0.418195,0.547142,-0.913560,0.120630
0.050000,0.669035,4.747515,0.194322,0.442890,0.493900,-1.064836,0.141339
0.050000,0.691988,4.751053,0.217546,0.464481,0.431808,-1.241843,0.164889
0.050000,0.715730,4.755326,0.241669,0.482463,0.359657,-1.443005,0.191643
0.050000,0.740016,4.760415,0.266483,0.496280,0.276328,-1.666594,0.222012
0.050000,0.764570,4.766395,0.291755,0.505439,0.183182,-1.862918,0.256465
0.050000,0.789084,4.773328,0.317229,0.509495,0.081129,-2.041062,0.295513
0.050000,0.813226,4.781251,0.342639,0.508182,-0.026269,-2.147963,0.339689
0.050000,0.836667,4.790183,0.367724,0.501705,-0.129545,-2.065513,0.389514
0.050000,0.859110,4.800120,0.392268,0.490892,-0.216246,-1.734017,0.445418
0.050000,0.880339,4.811060,0.416151,0.477654,-0.264763,-0.970337,0.507644
0.050000,0.900278,4.823046,0.439415,0.465278,-0.247526,0.344743,0.576107
0.050000,0.919036,4.836232,0.462343,0.458570,-0.134166,2.267191,0.650239
0.050000,0.936918,4.850974,0.485519,0.463511,0.098827,4.659862,0.728876
0.050000,0.954373,4.867895,0.509830,0.486213,0.454046,7.104379,0.810241
0.050000,0.971868,4.887889,0.536397,0.531339,0.902524,8.969556,0.892092
0.050000,0.989743,4.912019,0.566427,0.600601,1.385237,9.654260,0.972015
0.050000,1.008114,4.941351,0.601036,0.692192,1.831819,8.931639,1.047780
0.050000,1.026857,4.976772,0.641111,0.801488,2.185908,7.081787,1.117614
0.050000,1.045673,5.018848,0.687202,0.921834,2.406928,4.420395,1.180291
0.050000,1.064198,5.067784,0.739528,1.046507,2.493451,1.730461,1.235127
0.050000,1.082121,5.123508,0.798063,1.170714,2.484142,-0.186181,1.281920
0.050000,1.099250,5.185763,0.862632,1.291371,2.413146,-1.419907,1.320775
0.050000,1.115535,5.254202,0.932982,1.406991,2.312401,-2.014920,1.351945
0.050000,1.131069,5.328459,1.008846,1.517290,2.205989,-2.128233,1.375712
0.050000,1.146083,5.408200,1.089988,1.622844,2.111075,-1.898277,1.392301
0.050000,1.160937,5.493152,1.176229,1.724808,2.039269,-1.436115,1.401820
0.050000,1.176118,5.583119,1.267467,1.824772,1.999294,-0.799504,1.404218
0.050000,1.192253,5.677991,1.363702,1.924688,1.998308,-0.019730,1.399249
0.050000,1.210130,5.777744,1.465044,2.026855,2.043351,0.900862,1.386437
0.050000,1.230741,5.882432,1.571742,2.133951,2.141911,1.971216,1.365038
0.050000,1.255342,5.992157,1.684191,2.248979,2.300561,3.172993,1.334006
0.050000,1.285529,6.107010,1.802945,2.375079,2.522011,4.428996,1.291981
0.050000,1.323324,6.226944,1.928693,2.514962,2.797657,5.512929,1.237328
0.050000,1.371224,6.351528,2.062168,2.669500,3.090757,5.861998,1.168325
0.050000,1.432105,6.479547,2.203926,2.835154,3.313072,4.446293,1.083600
0.050000,1.508808,6.608473,2.353943,3.000348,3.303880,-0.183836,0.982938
0.050000,1.603226,6.734096,2.511093,3.142995,2.852947,-9.018669,0.868341
0.050000,1.715095,6.850864,2.672800,3.234150,1.823087,-20.597185,0.744719
0.050000,1.831540,6.946382,2.823410,3.012199,-4.439001,-125.241772,0.636723
0.050000,1.927018,7.014464,2.940675,2.345300,-13.337997,-177.979909,0.602181
0.050000,2.024680,7.079151,3.057817,2.342842,-0.049148,265.776977,0.567885
0.050000,2.124293,7.140351,3.174728,2.338216,-0.092525,-0.867542,0.534053
0.050000,2.225607,7.198013,3.291302,2.331483,-0.134662,-0.842743,0.500894
0.050000,2.328368,7.252124,3.407439,2.322737,-0.174917,-0.805094,0.468610
0.050000,2.432319,7.302713,3.523047,2.312150,-0.211751,-0.736682,0.437385
0.050000,2.537212,7.349844,3.638042,2.299908,-0.244832,-0.661624,0.407386
0.050000,2.642811,7.393617,3.752354,2.286240,-0.273367,-0.570696,0.378754
0.050000,2.748896,7.434163,3.865923,2.271379,-0.297207,-0.476808,0.351609
0.050000,2.855266,7.471636,3.978701,2.255561,-0.316373,-0.383314,0.326047
0.050000,2.961744,7.506210,4.090651,2.239005,-0.331109,-0.294730,0.302141
0.050000,3.068172,7.538075,4.201747,2.221916,-0.341781,-0.213425,0.279945
0.050000,3.174414,7.567431,4.311971,2.204471,-0.348908,-0.142553,0.259494
0.050000,3.280355,7.594484,4.421311,2.186818,-0.353055,-0.082930,0.240809
0.050000,3.385898,7.619444,4.529765,2.169079,-0.354779,-0.034492,0.223899
0.050000,3.490962,7.642518,4.637333,2.151346,-0.354649,0.002612,0.208762
0.050000,3.595478,7.663916,4.744017,2.133688,-0.353176,0.029448,0.195392
0.050000,3.699392,7.683841,4.849824,2.116146,-0.350826,0.047007,0.183776
0.050000,3.802659,7.702494,4.954762,2.098747,-0.347986,0.056796,0.173900
0.050000,3.905239,7.720069,5.058837,2.081497,-0.345004,0.059644,0.165750
0.050000,4.007100,7.736758,5.162056,2.064389,-0.342158,0.056918,0.159311
0.050000,4.108215,7.752744,5.264426,2.047406,-0.339667,0.049819,0.154570
0.050000,4.208556,7.768207,5.365952,2.030521,-0.337700,0.039350,0.151518
0.050000,4.308100,7.783323,5.466638,2.013702,-0.336376,0.026476,0.150148
0.050000,4.406822,7.798259,5.566483,1.996913,-0.335771,0.012088,0.150456
0.050000,4.504697,7.813183,5.665489,1.980117,-0.335920,-0.002972,0.152444
0.050000,4.601697,7.828254,5.763653,1.963277,-0.336814,-0.017882,0.156117
0.050000,4.697792,7.843629,5.860971,1.946356,-0.338405,-0.031820,0.161481
0.050000,4.792951,7.859461,5.957437,1.929326,-0.340601,-0.043927,0.168548
0.050000,4.887135,7.875899,6.053045,1.912163,-0.343266,-0.053288,0.177331
0.050000,4.980306,7.893087,6.147788,1.894852,-0.346211,-0.058907,0.187845
0.050000,5.076401,7.911183,6.245572,1.955689,1.216726,31.258735,0.181407
0.050000,5.180141,7.929636,6.350941,2.107370,3.033627,36.338021,0.170669
0.050000,5.284010,7.946969,6.456245,2.106093,-0.025535,-61.183229,0.160058
0.050000,5.387988,7.963196,6.561483,2.104749,-0.026884,-0.026976,0.149583
0.050000,5.492061,7.978329,6.666650,2.103340,-0.028190,-0.026122,0.139248
0.050000,5.596210,7.992385,6.771743,2.101867,-0.029443,-0.025073,0.129060
0.050000,5.700420,8.005376,6.876760,2.100338,-0.030586,-0.022855,0.119025
0.050000,5.804676,8.017321,6.981698,2.098751,-0.031751,-0.023299,0.109149
0.050000,5.908962,8.028236,7.086553,2.097112,-0.032771,-0.020394,0.099437
0.050000,6.013264,8.038138,7.191324,2.095424,-0.033768,-0.019936,0.089894
0.050000,6.117569,8.047046,7.296009,2.093688,-0.034710,-0.018856,0.080525
0.050000,6.221863,8.054978,7.400604,2.091910,-0.035562,-0.017036,0.071333
0.050000,6.326134,8.061955,7.505109,2.090093,-0.036349,-0.015737,0.062323
0.050000,6.430371,8.067997,7.609521,2.088237,-0.037107,-0.015157,0.053498
0.050000,6.534563,8.073124,7.713838,2.086348,-0.037781,-0.013492,0.044863
