dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000020,0.001974,0.098684,4.934211,6.282190
0.020000,0.000000,0.000000,0.000099,0.005921,0.197368,4.934211,6.282202
0.020000,0.000000,0.000000,0.000276,0.011842,0.296053,4.934211,6.282232
0.020000,0.000000,0.000000,0.000592,0.019737,0.394737,4.934211,6.282283
0.020000,0.000000,0.000000,0.001086,0.029605,0.493421,4.934211,6.282364
0.020000,0.000000,0.000000,0.001796,0.041447,0.592105,4.934211,6.282480
0.020000,0.000000,0.000000,0.002763,0.055263,0.690789,4.934211,6.282639
0.020000,0.000000,0.000000,0.004026,0.071053,0.789474,4.934211,6.282846
0.020000,0.000000,0.000000,0.005625,0.088816,0.888158,4.934211,6.283108
0.020000,0.001503,0.000000,0.007599,0.108553,0.986842,4.934211,0.000247
0.020000,0.003892,0.000001,0.009987,0.130263,1.085526,4.934211,0.000639
0.020000,0.006733,0.000004,0.012829,0.153947,1.184211,4.934211,0.001106
0.020000,0.010069,0.000008,0.016164,0.179605,1.282895,4.934211,0.001656
0.020000,0.013938,0.000016,0.020033,0.207237,1.381579,4.934211,0.002294
0.020000,0.018378,0.000028,0.024474,0.236842,1.480263,4.934211,0.003028
0.020000,0.023431,0.000045,0.029526,0.268421,1.578947,4.934211,0.003866
0.020000,0.029135,0.000070,0.035230,0.301974,1.677632,4.934211,0.004814
0.020000,0.035529,0.000104,0.041625,0.337500,1.776316,4.934211,0.005880
0.020000,0.042654,0.000150,0.048750,0.375000,1.875000,4.934211,0.007071
0.020000,0.050549,0.000211,0.056645,0.414474,1.973684,4.934211,0.008397
0.020000,0.059252,0.000291,0.065349,0.455921,2.072368,4.934211,0.009864
0.020000,0.068804,0.000393,0.074901,0.499342,2.171053,4.934211,0.011481
0.020000,0.079244,0.000522,0.085342,0.544737,2.269737,4.934211,0.013258
0.020000,0.090611,0.000684,0.096711,0.592105,2.368421,4.934211,0.015203
0.020000,0.102945,0.000884,0.109046,0.641447,2.467105,4.934211,0.017326
0.020000,0.116285,0.001131,0.122388,0.692763,2.565789,4.934211,0.019637
0.020000,0.130670,0.001431,0.136776,0.746053,2.664474,4.934211,0.022147
0.020000,0.146140,0.001795,0.152250,0.801316,2.763158,4.934211,0.024866
0.020000,0.162732,0.002232,0.168849,0.858553,2.861842,4.934211,0.027807
0.020000,0.180488,0.002754,0.186612,0.917763,2.960526,4.934211,0.030981
0.020000,0.199445,0.003374,0.205579,0.978947,3.059211,4.934211,0.034402
0.020000,0.219642,0.004106,0.225789,1.042105,3.157895,4.934211,0.038084
0.020000,0.241119,0.004967,0.247283,1.107237,3.256579,4.934211,0.042042
0.020000,0.263912,0.005974,0.270099,1.174342,3.355263,4.934211,0.046290
0.020000,0.288061,0.007148,0.294276,1.243421,3.453947,4.934211,0.050847
0.020000,0.313604,0.008510,0.319855,1.314474,3.552632,4.934211,0.055730
0.020000,0.340578,0.010086,0.346875,1.387500,3.651316,4.934211,0.060959
0.020000,0.369020,0.011901,0.375375,1.462500,3.750000,4.934211,0.066553
0.020000,0.398947,0.013986,0.405375,1.537500,3.750000,0.000000,0.072533
0.020000,0.430357,0.016368,0.436875,1.612500,3.750000,0.000000,0.078912
0.020000,0.463225,0.019080,0.469855,1.685526,3.651316,-4.934211,0.085705
0.020000,0.497509,0.022149,0.504276,1.756579,3.552632,-4.934211,0.092921
0.020000,0.533164,0.025609,0.540099,1.825658,3.453947,-4.934211,0.100572
0.020000,0.570145,0.029492,0.577283,1.892763,3.355263,-4.934211,0.108667
