dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000379,-0.381000,0.000020,0.001974,0.098684,4.934211,6.282190
0.020000,-0.000374,-0.381000,0.000025,0.000246,-0.086373,-9.252865,6.282202
0.020000,-0.000363,-0.381000,0.000036,0.000554,0.015390,5.088158,6.282232
0.020000,-0.000344,-0.381000,0.000055,0.000985,0.021549,0.307964,6.282283
0.020000,-0.000313,-0.381000,0.000086,0.001539,0.027714,0.308215,6.282364
0.020000,-0.000269,-0.381000,0.000131,0.002217,0.033886,0.308624,6.282480
0.020000,-0.000208,-0.381000,0.000191,0.003018,0.040071,0.309234,6.282639
0.020000,-0.000129,-0.381000,0.000270,0.003944,0.046272,0.310083,6.282846
0.020000,-0.000029,-0.381000,0.000370,0.004994,0.052497,0.311213,6.283108
0.020000,0.001597,-0.381000,0.001996,0.081334,3.816993,188.224809,0.000247
0.020000,0.004135,-0.380999,0.004534,0.126888,2.277720,-76.963630,0.000639
0.020000,0.007155,-0.380996,0.007554,0.150988,1.204994,-53.636321,0.001106
0.020000,0.010700,-0.380991,0.011099,0.177264,1.313825,5.441564,0.001656
0.020000,0.014812,-0.380983,0.015211,0.205578,1.415682,5.092865,0.002294
0.020000,0.019532,-0.380970,0.019931,0.235998,1.520980,5.264877,0.003028
0.020000,0.024904,-0.380952,0.025303,0.268602,1.630215,5.461731,0.003866
0.020000,0.030969,-0.380926,0.031368,0.303261,1.732947,5.136639,0.004814
0.020000,0.037769,-0.380889,0.038169,0.340036,1.838758,5.290522,0.005880
0.020000,0.045348,-0.380840,0.045747,0.378932,1.944785,5.301378,0.007071
0.020000,0.053748,-0.380775,0.054148,0.420014,2.054127,5.467078,0.008397
0.020000,0.063010,-0.380691,0.063410,0.463139,2.156219,5.104576,0.009864
0.020000,0.073179,-0.380582,0.073579,0.508452,2.265667,5.472420,0.011481
0.020000,0.084295,-0.380445,0.084697,0.555861,2.370433,5.238321,0.013258
0.020000,0.096403,-0.380272,0.096806,0.605466,2.480243,5.490462,0.015203
0.020000,0.109546,-0.380059,0.109950,0.657222,2.587800,5.377883,0.017326
0.020000,0.123767,-0.379796,0.124174,0.711157,2.696775,5.448758,0.019637
0.020000,0.139108,-0.379475,0.139518,0.767221,2.803210,5.321748,0.022147
0.020000,0.155613,-0.379087,0.156028,0.825483,2.913099,5.494442,0.024866
0.020000,0.173325,-0.378621,0.173746,0.885932,3.022447,5.467405,0.027807
0.020000,0.192290,-0.378063,0.192719,0.948630,3.134886,5.621935,0.030981
0.020000,0.212550,-0.377401,0.212990,1.013552,3.246079,5.559669,0.034402
0.020000,0.234149,-0.376617,0.234603,1.080668,3.355846,5.488335,0.038084
0.020000,0.257132,-0.375696,0.257605,1.150064,3.469752,5.695319,0.042042
0.020000,0.281542,-0.374618,0.282039,1.221721,3.582892,5.656994,0.046290
0.020000,0.307426,-0.373360,0.307953,1.295695,3.698703,5.790519,0.050847
0.020000,0.334826,-0.371898,0.335392,1.371950,3.812716,5.700668,0.055730
0.020000,0.363789,-0.370207,0.364404,1.450605,3.932753,6.001848,0.060959
0.020000,0.394358,-0.368255,0.395035,1.531576,4.048577,5.791221,0.066553
0.020000,0.426558,-0.366013,0.427313,1.613893,4.115853,3.363779,0.072533
0.020000,0.460391,-0.363446,0.461244,1.696530,4.131817,0.798216,0.078912
0.020000,0.495839,-0.360522,0.496812,1.778400,4.093537,-1.914017,0.085705
0.020000,0.532861,-0.357207,0.533983,1.858529,4.006420,-4.355830,0.092921
0.020000,0.571417,-0.353466,0.572720,1.936854,3.916256,-4.508221,0.100572
0.020000,0.611466,-0.349261,0.612988,2.013426,3.828616,-4.381999,0.108667
0.020000,0.652965,-0.344554,0.654753,2.088262,3.741762,-4.342719,0.117220
0.020000,0.695872,-0.339306,0.697981,2.161374,3.655642,-4.306002,0.126245
0.020000,0.740145,-0.333473,0.742636,2.232761,3.569338,-4.315176,0.135753
0.020000,0.785739,-0.327014,0.788685,2.302457,3.484780,-4.227919,0.145761
0.020000,0.832610,-0.319882,0.836095,2.370506,3.402458,-4.116099,0.156282
0.020000,0.880710,-0.312031,0.884832,2.436855,3.317436,-4.251074,0.167334
0.020000,0.929992,-0.303414,0.934862,2.501497,3.232130,-4.265305,0.178931
0.020000,0.980408,-0.293980,0.986153,2.564528,3.151527,-4.030163,0.191092
0.020000,1.031906,-0.283678,1.038671,2.625922,3.069731,-4.089777,0.203832
0.020000,1.084433,-0.272456,1.092384,2.685628,2.985258,-4.223673,0.217169
0.020000,1.137935,-0.260260,1.147258,2.743718,2.904536,-4.036087,0.231121
0.020000,1.192354,-0.247036,1.203261,2.800138,2.820964,-4.178596,0.245703
0.020000,1.247631,-0.232728,1.260359,2.854900,2.738133,-4.141564,0.260933
0.020000,1.303701,-0.217280,1.318519,2.908006,2.655314,-4.140930,0.276827
0.020000,1.360500,-0.200634,1.377707,2.959395,2.569403,-4.295563,0.293399
0.020000,1.417959,-0.182734,1.437889,3.009107,2.485620,-4.189139,0.310663
0.020000,1.476004,-0.163524,1.499030,3.057065,2.397912,-4.385437,0.328631
0.020000,1.534558,-0.142947,1.561094,3.103191,2.306287,-4.581218,0.347312
0.020000,1.593539,-0.120950,1.624044,3.147506,2.215750,-4.526879,0.366713
0.020000,1.652863,-0.097479,1.687842,3.189896,2.119510,-4.811968,0.386837
0.020000,1.712439,-0.072486,1.752449,3.230316,2.020994,-4.925817,0.407685
0.020000,1.772172,-0.045923,1.817822,3.268657,1.917061,-5.196646,0.429252
0.020000,1.831965,-0.017748,1.883920,3.304903,1.812305,-5.237788,0.451528
0.020000,1.891712,0.012075,1.950696,3.338828,1.696227,-5.803917,0.474499
0.020000,1.951305,0.043578,2.018104,3.370402,1.578708,-5.875963,0.498143
0.020000,2.010635,0.076784,2.086094,3.399484,1.454123,-6.229205,0.522433
0.020000,2.069584,0.111708,2.154613,3.425935,1.322548,-6.578794,0.547335
0.020000,2.128037,0.148358,2.223605,3.449626,1.184529,-6.900953,0.572807
0.020000,2.185875,0.186731,2.293014,3.470450,1.041199,-7.166459,0.598803
0.020000,2.242977,0.226812,2.362779,3.488224,0.888685,-7.625696,0.625266
0.020000,2.299224,0.268575,2.432836,3.502860,0.731797,-7.844419,0.652135
0.020000,2.354502,0.311985,2.503121,3.514248,0.569406,-8.119567,0.679342
0.020000,2.408695,0.356992,2.573566,3.522262,0.400694,-8.435603,0.706815
0.020000,2.461695,0.403537,2.644103,3.526837,0.228745,-8.597455,0.734477
0.020000,2.513417,0.451563,2.714684,3.529072,0.111786,-5.847907,0.762256
0.020000,2.563799,0.501023,2.785286,3.530094,0.051096,-3.034544,0.790088
0.020000,2.612782,0.551863,2.855884,3.529887,-0.010349,-3.072225,0.817910
0.020000,2.660314,0.604024,2.926453,3.528454,-0.071635,-3.064312,0.845656
0.020000,2.706343,0.657432,2.996959,3.525309,-0.157271,-4.281808,0.873260
0.020000,2.750811,0.711993,3.067346,3.519328,-0.299061,-7.089469,0.900647
0.020000,2.793661,0.767596,3.137545,3.509932,-0.469790,-8.536462,0.927742
0.020000,2.834849,0.824127,3.207489,3.497216,-0.635809,-8.300936,0.954473
0.020000,2.874343,0.881467,3.277115,3.481284,-0.796602,-8.039684,0.980776
0.020000,2.912122,0.939498,3.346359,3.462221,-0.953149,-7.827351,1.006590
0.020000,2.948175,0.998100,3.415163,3.440216,-1.100265,-7.355800,1.031863
0.020000,2.982503,1.057155,3.483470,3.415359,-1.242829,-7.128200,1.056550
0.020000,3.015117,1.116545,3.551226,3.387773,-1.379307,-6.823880,1.080612
0.020000,3.046033,1.176157,3.618378,3.357624,-1.507433,-6.406286,1.104017
0.020000,3.075281,1.235880,3.684879,3.325010,-1.630688,-6.162773,1.126739
0.020000,3.102891,1.295609,3.750681,3.290102,-1.745412,-5.736212,1.148762
0.020000,3.128904,1.355241,3.815739,3.252926,-1.858792,-5.668993,1.170070
0.020000,3.153364,1.414678,3.880012,3.213665,-1.963078,-5.214271,1.190657
0.020000,3.176317,1.473828,3.943460,3.172364,-2.065013,-5.096776,1.210520
0.020000,3.197816,1.532602,4.006042,3.129133,-2.161558,-4.827254,1.229660
0.020000,3.217913,1.590915,4.067721,3.083948,-2.259262,-4.885177,1.248081
0.020000,3.236663,1.648689,4.128462,3.037011,-2.346837,-4.378765,1.265792
0.020000,3.254123,1.705847,4.188227,2.988274,-2.436848,-4.500531,1.282804
0.020000,3.270349,1.762319,4.246983,2.937815,-2.522946,-4.304909,1.299127
0.020000,3.285398,1.818034,4.304695,2.885602,-2.610669,-4.386159,1.314777
0.020000,3.299327,1.872929,4.361331,2.831757,-2.692238,-4.078456,1.329768
0.020000,3.312192,1.926943,4.416855,2.776218,-2.776966,-4.236378,1.344118
0.020000,3.324049,1.980016,4.471236,2.719046,-2.858623,-4.082881,1.357841
0.020000,3.334951,2.032090,4.524440,2.660191,-2.942738,-4.205745,1.370957
0.020000,3.344952,2.083114,4.576434,2.599723,-3.023405,-4.033356,1.383481
0.020000,3.354104,2.133034,4.627186,2.537587,-3.106768,-4.168120,1.395431
0.020000,3.362457,2.181800,4.676663,2.473840,-3.187379,-4.030553,1.406824
0.020000,3.370061,2.229363,4.724830,2.408345,-3.274756,-4.368872,1.417676
0.020000,3.376963,2.275677,4.771655,2.341262,-3.354153,-3.969838,1.428004
0.020000,3.383209,2.320696,4.817105,2.272502,-3.437969,-4.190791,1.437822
0.020000,3.388844,2.364373,4.861144,2.201965,-3.526854,-4.444279,1.447146
0.020000,3.393910,2.406667,4.903741,2.129819,-3.607282,-4.021385,1.455990
0.020000,3.398448,2.447534,4.944859,2.055920,-3.694985,-4.385130,1.464368
0.020000,3.402499,2.486933,4.984465,1.980322,-3.779887,-4.245134,1.472292
0.020000,3.406100,2.524820,5.022523,1.902896,-3.871320,-4.571611,1.479774
0.020000,3.409287,2.561156,5.058999,1.823787,-3.955439,-4.205948,1.486826
0.020000,3.412095,2.595901,5.093857,1.742901,-4.044271,-4.441622,1.493457
0.020000,3.414558,2.629022,5.127069,1.660615,-4.114297,-3.501287,1.499679
0.020000,3.416709,2.660511,5.158632,1.578127,-4.124404,-0.505355,1.505507
0.020000,3.418580,2.690380,5.188559,1.496361,-4.088314,1.804496,1.510957
0.020000,3.420202,2.718662,5.216888,1.416425,-3.996810,4.575180,1.516049
0.020000,3.421603,2.745400,5.243663,1.338752,-3.883631,5.658947,1.520803
0.020000,3.422810,2.770641,5.268933,1.263498,-3.762694,6.046871,1.525237
0.020000,3.423845,2.794430,5.292743,1.190540,-3.647896,5.739886,1.529371
0.020000,3.424729,2.816809,5.315140,1.119839,-3.535052,5.642212,1.533218
0.020000,3.425482,2.837824,5.336169,1.051437,-3.420142,5.745513,1.536797
0.020000,3.426119,2.857519,5.355874,0.985240,-3.309805,5.516819,1.540119
0.020000,3.426656,2.875937,5.374300,0.921324,-3.195804,5.700077,1.543200
0.020000,3.427105,2.893123,5.391492,0.859594,-3.086517,5.464365,1.546052
0.020000,3.427480,2.909120,5.407493,0.800063,-2.976535,5.499104,1.548687
0.020000,3.427791,2.923972,5.422349,0.742759,-2.865197,5.566876,1.551117
0.020000,3.428046,2.937722,5.436101,0.687627,-2.756623,5.428704,1.553352
0.020000,3.428254,2.950414,5.448794,0.634640,-2.649350,5.363638,1.555403
0.020000,3.428423,2.962089,5.460470,0.583817,-2.541126,5.411215,1.557280
0.020000,3.428559,2.972791,5.471174,0.535176,-2.432095,5.451562,1.558991
0.020000,3.428666,2.982564,5.480947,0.488681,-2.324725,5.368491,1.560548
0.020000,3.428751,2.991450,5.489833,0.444286,-2.219758,5.248335,1.561957
0.020000,3.428817,2.999490,5.497874,0.402047,-2.111923,5.391733,1.563227
0.020000,3.428868,3.006729,5.505113,0.361952,-2.004757,5.358304,1.564367
0.020000,3.428906,3.013208,5.511592,0.323966,-1.899314,5.272164,1.565384
0.020000,3.428935,3.018970,5.517354,0.288099,-1.793370,5.297186,1.566286
0.020000,3.428956,3.024057,5.522442,0.254358,-1.687026,5.317198,1.567080
0.020000,3.428971,3.028512,5.526896,0.222746,-1.580578,5.322400,1.567775
0.020000,3.428981,3.032375,5.530759,0.193150,-1.479806,5.038598,1.568376
