dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000455,2.000000,0.000040,0.004000,0.200000,10.000000,0.000455
0.020000,-0.000440,2.000000,0.000055,0.000740,-0.163011,-18.150559,0.000440
0.020000,-0.000407,2.000000,0.000088,0.001664,0.046220,10.461547,0.000407
0.020000,-0.000348,2.000000,0.000147,0.002957,0.064662,0.922120,0.000348
0.020000,-0.000255,2.000000,0.000240,0.004618,0.083035,0.918628,0.000255
0.020000,-0.000122,2.000000,0.000372,0.006644,0.101293,0.912912,0.000122
0.020000,0.000692,2.000000,0.001186,0.040700,1.702818,80.076274,6.283127
0.020000,0.003487,1.999999,0.003982,0.139776,4.953770,162.547591,6.282891
0.020000,0.007025,1.999998,0.007519,0.176871,1.854781,-154.949473,6.282594
0.020000,0.011391,1.999995,0.011886,0.218309,2.071899,10.855904,6.282228
0.020000,0.016629,1.999988,0.017124,0.261897,2.179379,5.374020,6.281790
0.020000,0.022738,1.999978,0.023232,0.305444,2.177358,-0.101042,6.281281
0.020000,0.029717,1.999963,0.030211,0.348945,2.175028,-0.116500,6.280702
0.020000,0.037564,1.999941,0.038059,0.392392,2.172390,-0.131919,6.280054
0.020000,0.046280,1.999911,0.046775,0.435778,2.169258,-0.156609,6.279339
0.020000,0.055862,1.999870,0.056357,0.479098,2.166003,-0.162748,6.278557
0.020000,0.066308,1.999817,0.066804,0.522343,2.162275,-0.186395,6.277710
0.020000,0.077618,1.999750,0.078114,0.565508,2.158239,-0.201784,6.276800
0.020000,0.089790,1.999666,0.090285,0.608586,2.153897,-0.217105,6.275828
0.020000,0.102821,1.999564,0.103317,0.651571,2.149247,-0.232519,6.274797
0.020000,0.116709,1.999440,0.117206,0.694453,2.144097,-0.257494,6.273708
0.020000,0.131453,1.999292,0.131950,0.737230,2.138871,-0.261306,6.272563
0.020000,0.147050,1.999117,0.147548,0.779893,2.133144,-0.286364,6.271365
0.020000,0.163498,1.998912,0.163997,0.822435,2.127110,-0.301666,6.270116
0.020000,0.180793,1.998675,0.181294,0.864851,2.120776,-0.316712,6.268819
0.020000,0.198934,1.998402,0.199437,0.907134,2.114143,-0.331671,6.267477
0.020000,0.217916,1.998090,0.218422,0.949275,2.107059,-0.354192,6.266091
0.020000,0.237739,1.997737,0.238248,0.991272,2.099836,-0.361150,6.264666
0.020000,0.258397,1.997339,0.258910,1.033114,2.092127,-0.385445,6.263203
0.020000,0.279889,1.996894,0.280406,1.074797,2.084157,-0.398497,6.261708
0.020000,0.302209,1.996397,0.302732,1.116314,2.075846,-0.415530,6.260181
0.020000,0.325356,1.995847,0.325885,1.157660,2.067276,-0.428498,6.258628
0.020000,0.349325,1.995239,0.349862,1.198828,2.058401,-0.443760,6.257051
0.020000,0.374112,1.994571,0.374658,1.239808,2.049023,-0.468911,6.255455
0.020000,0.399714,1.993840,0.400270,1.280600,2.039572,-0.472558,6.253843
0.020000,0.426125,1.993044,0.426694,1.321193,2.029682,-0.494466,6.252219
0.020000,0.453343,1.992178,0.453926,1.361583,2.019502,-0.509012,6.250588
0.020000,0.481363,1.991241,0.481961,1.401764,2.009041,-0.523050,6.248953
0.020000,0.510180,1.990231,0.510795,1.441727,1.998159,-0.544109,6.247318
0.020000,0.539789,1.989144,0.540425,1.481471,1.987196,-0.548145,6.245689
0.020000,0.570187,1.987979,0.570845,1.520985,1.975669,-0.576356,6.244069
0.020000,0.601367,1.986733,0.602050,1.560266,1.964045,-0.581187,6.242464
0.020000,0.633326,1.985406,0.634036,1.599306,1.952044,-0.600069,6.240877
0.020000,0.666057,1.983994,0.666798,1.638101,1.939724,-0.616020,6.239315
0.020000,0.699557,1.982498,0.700331,1.676643,1.927107,-0.630831,6.237782
0.020000,0.733819,1.980915,0.734629,1.714929,1.914283,-0.641197,6.236284
0.020000,0.768838,1.979246,0.769688,1.752949,1.901022,-0.663038,6.234825
0.020000,0.804609,1.977489,0.805502,1.790700,1.887553,-0.673477,6.233411
0.020000,0.841126,1.975645,0.842066,1.828176,1.873784,-0.688443,6.232047
0.020000,0.878383,1.973713,0.879373,1.865370,1.859694,-0.704472,6.230740
0.020000,0.916375,1.971695,0.917419,1.902275,1.845260,-0.721740,6.229495
0.020000,0.955096,1.969591,0.956197,1.938888,1.830654,-0.730259,6.228317
0.020000,0.994539,1.967402,0.995701,1.975199,1.815575,-0.753964,6.227213
0.020000,1.034699,1.965131,1.035925,2.011206,1.800329,-0.762319,6.226189
0.020000,1.075569,1.962779,1.076863,2.046900,1.784699,-0.781506,6.225251
0.020000,1.117144,1.960350,1.118508,2.082275,1.768767,-0.796573,6.224405
0.020000,1.159416,1.957846,1.160855,2.117326,1.752519,-0.812415,6.223659
0.020000,1.202380,1.955271,1.203896,2.152044,1.735905,-0.830690,6.223018
0.020000,1.246029,1.952630,1.247624,2.186424,1.719030,-0.843758,6.222489
0.020000,1.290356,1.949927,1.292033,2.220460,1.701753,-0.863841,6.222080
0.020000,1.335354,1.947167,1.337116,2.254142,1.684141,-0.880618,6.221797
0.020000,1.381017,1.944356,1.382865,2.287466,1.666180,-0.898018,6.221648
0.020000,1.427337,1.941501,1.429274,2.320423,1.647847,-0.916656,6.221639
0.020000,1.474309,1.938609,1.476334,2.353006,1.629133,-0.935729,6.221779
0.020000,1.521923,1.935688,1.524038,2.385206,1.610037,-0.954774,6.222075
0.020000,1.570174,1.932746,1.572378,2.417017,1.590529,-0.975389,6.222535
0.020000,1.619053,1.929793,1.621347,2.448429,1.570624,-0.995246,6.223166
0.020000,1.668554,1.926838,1.670936,2.479435,1.550298,-1.016306,6.223978
0.020000,1.718668,1.923892,1.721136,2.510026,1.529531,-1.038383,6.224977
0.020000,1.769387,1.920966,1.771940,2.540192,1.508302,-1.061441,6.226173
0.020000,1.820704,1.918072,1.823339,2.569926,1.486693,-1.080463,6.227575
0.020000,1.872611,1.915224,1.875323,2.599216,1.464510,-1.109140,6.229190
0.020000,1.925098,1.912434,1.927884,2.628055,1.441929,-1.129027,6.231029
0.020000,1.978157,1.909719,1.981013,2.656432,1.418858,-1.153574,6.233101
0.020000,2.031779,1.907092,2.034699,2.684337,1.395281,-1.178822,6.235414
0.020000,2.085918,1.904572,2.088897,2.709855,1.275900,-5.969067,6.237977
0.020000,2.140488,1.902180,2.143519,2.731111,1.062798,-10.655096,6.240795
0.020000,2.195405,1.899934,2.198482,2.748157,0.852292,-10.525291,6.243871
0.020000,2.250587,1.897854,2.253703,2.761054,0.644819,-10.373647,6.247210
0.020000,2.305952,1.895960,2.309100,2.769857,0.440174,-10.232250,6.250813
0.020000,2.361418,1.894270,2.364593,2.774630,0.238654,-10.076042,6.254680
0.020000,2.416908,1.892802,2.420101,2.775437,0.040318,-9.916800,6.258812
