dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.000000,0.000040,0.004000,0.200000,10.000000,0.000455
0.020000,0.000000,1.000000,0.000200,0.012000,0.400000,10.000000,0.000440
0.020000,0.000000,1.000000,0.000560,0.024000,0.600000,10.000000,0.000407
0.020000,0.000000,1.000000,0.001200,0.040000,0.800000,10.000000,0.000348
0.020000,0.000000,1.000000,0.002200,0.060000,1.000000,10.000000,0.000255
0.020000,0.000000,1.000000,0.003640,0.084000,1.200000,10.000000,0.000122
0.020000,0.000633,1.000000,0.005600,0.112000,1.400000,10.000000,6.283127
0.020000,0.003193,1.000000,0.008160,0.144000,1.600000,10.000000,6.282891
0.020000,0.006433,0.999998,0.011400,0.180000,1.800000,10.000000,6.282594
0.020000,0.010433,0.999995,0.015400,0.220000,2.000000,10.000000,6.282228
0.020000,0.015233,0.999989,0.020200,0.260000,2.000000,0.000000,6.281790
0.020000,0.020833,0.999980,0.025800,0.300000,2.000000,0.000000,6.281281
0.020000,0.027233,0.999966,0.032200,0.340000,2.000000,-0.000000,6.280702
0.020000,0.034433,0.999946,0.039400,0.380000,2.000000,0.000000,6.280054
0.020000,0.042433,0.999918,0.047400,0.420000,2.000000,0.000000,6.279339
0.020000,0.051233,0.999881,0.056200,0.460000,2.000000,0.000000,6.278557
0.020000,0.060833,0.999832,0.065800,0.500000,2.000000,-0.000000,6.277710
0.020000,0.071233,0.999770,0.076200,0.540000,2.000000,0.000000,6.276800
0.020000,0.082433,0.999693,0.087400,0.580000,2.000000,-0.000000,6.275828
0.020000,0.094432,0.999599,0.099400,0.620000,2.000000,0.000000,6.274797
0.020000,0.107232,0.999485,0.112200,0.660000,2.000000,-0.000000,6.273708
0.020000,0.120831,0.999348,0.125800,0.700000,2.000000,-0.000000,6.272563
0.020000,0.135230,0.999186,0.140200,0.740000,2.000000,0.000000,6.271365
0.020000,0.150429,0.998997,0.155400,0.780000,2.000000,0.000000,6.270116
0.020000,0.166427,0.998778,0.171400,0.820000,2.000000,-0.000000,6.268819
0.020000,0.183226,0.998525,0.188200,0.860000,2.000000,0.000000,6.267477
0.020000,0.200823,0.998236,0.205800,0.900000,2.000000,-0.000000,6.266091
0.020000,0.219220,0.997909,0.224200,0.940000,2.000000,0.000000,6.264666
0.020000,0.238417,0.997539,0.243400,0.980000,2.000000,-0.000000,6.263203
0.020000,0.258412,0.997124,0.263400,1.020000,2.000000,0.000000,6.261708
0.020000,0.279207,0.996662,0.284200,1.060000,2.000000,0.000000,6.260181
0.020000,0.300801,0.996148,0.305800,1.100000,2.000000,-0.000000,6.258628
0.020000,0.323194,0.995580,0.328200,1.140000,2.000000,0.000000,6.257051
0.020000,0.346386,0.994956,0.351400,1.180000,2.000000,-0.000000,6.255455
0.020000,0.370376,0.994271,0.375400,1.220000,2.000000,0.000000,6.253843
0.020000,0.395164,0.993523,0.400200,1.260000,2.000000,0.000000,6.252219
0.020000,0.420752,0.992709,0.425800,1.300000,2.000000,-0.000000,6.250588
0.020000,0.447137,0.991827,0.452200,1.340000,2.000000,0.000000,6.248953
0.020000,0.474320,0.990874,0.479400,1.380000,2.000000,0.000000,6.247318
0.020000,0.502301,0.989847,0.507400,1.420000,2.000000,0.000000,6.245689
0.020000,0.531080,0.988744,0.536200,1.460000,2.000000,0.000000,6.244069
0.020000,0.560657,0.987562,0.565800,1.500000,2.000000,0.000000,6.242464
0.020000,0.591030,0.986301,0.596200,1.540000,2.000000,0.000000,6.240877
0.020000,0.622201,0.984956,0.627400,1.580000,2.000000,-0.000000,6.239315
0.020000,0.654169,0.983528,0.659400,1.620000,2.000000,0.000000,6.237782
0.020000,0.686935,0.982015,0.692200,1.660000,2.000000,-0.000000,6.236284
0.020000,0.720496,0.980415,0.725800,1.700000,2.000000,-0.000000,6.234825
0.020000,0.754855,0.978727,0.760200,1.740000,2.000000,0.000000,6.233411
0.020000,0.790010,0.976952,0.795400,1.780000,2.000000,0.000000,6.232047
0.020000,0.825962,0.975088,0.831400,1.820000,2.000000,-0.000000,6.230740
0.020000,0.862710,0.973136,0.868200,1.860000,2.000000,0.000000,6.229495
0.020000,0.900255,0.971096,0.905800,1.900000,2.000000,0.000000,6.228317
0.020000,0.938596,0.968968,0.944200,1.940000,2.000000,0.000000,6.227213
0.020000,0.977733,0.966755,0.983400,1.980000,2.000000,-0.000000,6.226189
0.020000,1.017667,0.964457,1.023400,2.020000,2.000000,0.000000,6.225251
0.020000,1.058398,0.962077,1.064200,2.060000,2.000000,-0.000000,6.224405
0.020000,1.099925,0.959617,1.105800,2.100000,2.000000,-0.000000,6.223659
0.020000,1.142249,0.957081,1.148200,2.140000,2.000000,0.000000,6.223018
0.020000,1.185370,0.954471,1.191400,2.180000,2.000000,-0.000000,6.222489
0.020000,1.229288,0.951793,1.235400,2.220000,2.000000,-0.000000,6.222080
0.020000,1.274004,0.949050,1.280200,2.260000,2.000000,0.000000,6.221797
0.020000,1.319518,0.946249,1.325800,2.300000,2.000000,0.000000,6.221648
0.020000,1.365830,0.943395,1.372200,2.340000,2.000000,-0.000000,6.221639
0.020000,1.412941,0.940494,1.419400,2.380000,2.000000,0.000000,6.221779
0.020000,1.460851,0.937555,1.467400,2.420000,2.000000,0.000000,6.222075
0.020000,1.509561,0.934585,1.516200,2.460000,2.000000,0.000000,6.222535
0.020000,1.559070,0.931594,1.565800,2.500000,2.000000,0.000000,6.223166
0.020000,1.609381,0.928590,1.616200,2.540000,2.000000,0.000000,6.223978
0.020000,1.660493,0.925585,1.667400,2.580000,2.000000,0.000000,6.224977
0.020000,1.712406,0.922590,1.719400,2.620000,2.000000,0.000000,6.226173
0.020000,1.765123,0.919618,1.772200,2.660000,2.000000,0.000000,6.227575
0.020000,1.818642,0.916681,1.825800,2.700000,2.000000,0.000000,6.229190
0.020000,1.872965,0.913794,1.880200,2.740000,2.000000,0.000000,6.231029
0.020000,1.928093,0.910973,1.935400,2.780000,2.000000,0.000000,6.233101
0.020000,1.984026,0.908233,1.991400,2.820000,2.000000,0.000000,6.235414
0.020000,2.040725,0.905594,2.048160,2.856000,1.800000,-10.000000,6.237977
0.020000,2.098110,0.903078,2.105600,2.888000,1.600000,-10.000000,6.240795
0.020000,2.156101,0.900706,2.163640,2.916000,1.400000,-10.000000,6.243871
0.020000,2.214619,0.898501,2.222200,2.940000,1.200000,-10.000000,6.247210
0.020000,2.273585,0.896484,2.281200,2.960000,1.000000,-10.000000,6.250813
0.020000,2.332917,0.894676,2.340560,2.976000,0.800000,-10.000000,6.254680
0.020000,2.392536,0.893099,2.400200,2.988000,0.600000,-10.000000,6.258812
0.020000,2.452362,0.891770,2.460040,2.996000,0.400000,-10.000000,6.263205
0.020000,2.512312,0.890711,2.520000,3.000000,0.200000,-10.000000,6.267857
0.020000,2.572307,0.889937,2.580000,3.000000,0.000000,-10.000000,6.272762
0.020000,2.632305,0.889465,2.640000,3.000000,0.000000,0.000000,6.277919
0.020000,2.692305,0.889310,2.700000,3.000000,0.000000,0.000000,0.000142
