dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000455,0.000000,0.000040,0.004000,0.200000,10.000000,0.000455
0.020000,0.000440,0.000000,0.000055,0.000740,-0.163011,-18.150559,0.000440
0.020000,0.000407,0.000000,0.000088,0.001664,0.046220,10.461547,0.000407
0.020000,0.000348,0.000000,0.000147,0.002957,0.064662,0.922120,0.000348
0.020000,0.000255,0.000000,0.000240,0.004618,0.083035,0.918628,0.000255
0.020000,0.000122,0.000000,0.000372,0.006644,0.101293,0.912912,0.000122
0.020000,0.000575,-0.000000,0.000825,0.022637,0.799663,34.918491,6.283127
0.020000,0.002900,-0.000000,0.003150,0.116224,4.679316,193.982636,6.282891
0.020000,0.005842,-0.000002,0.006092,0.147129,1.545262,-156.702699,6.282594
0.020000,0.009476,-0.000005,0.009726,0.181691,1.728131,9.143456,6.282228
0.020000,0.013838,-0.000010,0.014088,0.218103,1.820593,4.623130,6.281790
0.020000,0.018929,-0.000018,0.019179,0.254555,1.822604,0.100519,6.281281
0.020000,0.024750,-0.000031,0.025000,0.291055,1.824971,0.118391,6.280702
0.020000,0.031302,-0.000049,0.031553,0.327609,1.827697,0.136282,6.280054
0.020000,0.038587,-0.000075,0.038837,0.364221,1.830625,0.146407,6.279339
0.020000,0.046605,-0.000109,0.046855,0.400902,1.834065,0.171998,6.278557
0.020000,0.055358,-0.000153,0.055608,0.437657,1.837724,0.182934,6.277710
0.020000,0.064847,-0.000209,0.065098,0.474492,1.841738,0.200728,6.276800
0.020000,0.075075,-0.000279,0.075326,0.511414,1.846109,0.218542,6.275828
0.020000,0.086044,-0.000366,0.086295,0.548431,1.850834,0.236235,6.274797
0.020000,0.097754,-0.000470,0.098006,0.585546,1.855750,0.245812,6.273708
0.020000,0.110209,-0.000596,0.110461,0.622770,1.861213,0.273150,6.272563
0.020000,0.123410,-0.000744,0.123663,0.660107,1.866864,0.282516,6.271365
0.020000,0.137360,-0.000917,0.137615,0.697564,1.872864,0.300009,6.270116
0.020000,0.152062,-0.001119,0.152318,0.735149,1.879216,0.317636,6.268819
0.020000,0.167518,-0.001352,0.167775,0.772867,1.885921,0.335247,6.267477
0.020000,0.183730,-0.001618,0.183989,0.810724,1.892847,0.346294,6.266091
0.020000,0.200702,-0.001920,0.200964,0.848729,1.900257,0.370493,6.264666
0.020000,0.218436,-0.002261,0.218702,0.886886,1.907852,0.379761,6.263203
0.020000,0.236936,-0.002645,0.237206,0.925203,1.915822,0.398486,6.261708
0.020000,0.256205,-0.003074,0.256479,0.963685,1.924095,0.413655,6.260181
0.020000,0.276246,-0.003550,0.276526,1.002339,1.932739,0.432178,6.258628
0.020000,0.297063,-0.004078,0.297350,1.041174,1.941710,0.448581,6.257051
0.020000,0.318659,-0.004660,0.318954,1.080190,1.950834,0.456195,6.255455
0.020000,0.341038,-0.005299,0.341342,1.119400,1.960481,0.482330,6.253843
0.020000,0.364204,-0.005998,0.364518,1.158807,1.970329,0.492419,6.252219
0.020000,0.388160,-0.006759,0.388486,1.198417,1.980504,0.508729,6.250588
0.020000,0.412911,-0.007587,0.413251,1.238237,1.991010,0.525329,6.248953
0.020000,0.438460,-0.008483,0.438816,1.278271,2.001721,0.535544,6.247318
0.020000,0.464813,-0.009450,0.465187,1.318530,2.012935,0.560678,6.245689
0.020000,0.491974,-0.010491,0.492367,1.359014,2.024219,0.564208,6.244069
0.020000,0.519946,-0.011609,0.520362,1.399734,2.035987,0.588384,6.242464
0.020000,0.548735,-0.012805,0.549176,1.440694,2.047985,0.599937,6.240877
0.020000,0.578345,-0.014081,0.578814,1.481899,2.060265,0.613971,6.239315
0.020000,0.608782,-0.015441,0.609281,1.523356,2.072844,0.628942,6.237782
0.020000,0.640050,-0.016885,0.640582,1.565072,2.085802,0.647928,6.236284
0.020000,0.672155,-0.018416,0.672723,1.607051,2.098931,0.656441,6.234825
0.020000,0.705101,-0.020034,0.705709,1.649299,2.112438,0.675347,6.233411
0.020000,0.738895,-0.021741,0.739546,1.691824,2.126242,0.690203,6.232047
0.020000,0.773541,-0.023537,0.774238,1.734631,2.140325,0.704166,6.230740
0.020000,0.809045,-0.025423,0.809793,1.777724,2.154667,0.717089,6.229495
